admitted_sessions_max,admitted_sessions_mean,admitted_sessions_min,admitted_sessions_std,admitted_success_rate_max,admitted_success_rate_mean,admitted_success_rate_min,admitted_success_rate_std,avoided_replay_steps_max,avoided_replay_steps_mean,avoided_replay_steps_min,avoided_replay_steps_std,cascade_failed_max,cascade_failed_mean,cascade_failed_min,cascade_failed_std,concurrency,duplicate_side_effect_max,duplicate_side_effect_mean,duplicate_side_effect_min,duplicate_side_effect_std,effective_goodput_max,effective_goodput_mean,effective_goodput_min,effective_goodput_std,failure_rate,p95_ms_max,p95_ms_mean,p95_ms_min,p95_ms_std,post_resume_success_max,post_resume_success_mean,post_resume_success_min,post_resume_success_std,rejected_s0_max,rejected_s0_mean,rejected_s0_min,rejected_s0_std,resume_attempted_max,resume_attempted_mean,resume_attempted_min,resume_attempted_std,resume_recovered_max,resume_recovered_mean,resume_recovered_min,resume_recovered_std,runs,step0_reject_rate_max,step0_reject_rate_mean,step0_reject_rate_min,step0_reject_rate_std,success_max,success_mean,success_min,success_std,variant,wasted_service_ms_max,wasted_service_ms_mean,wasted_service_ms_min,wasted_service_ms_std,wasted_tool_calls_max,wasted_tool_calls_mean,wasted_tool_calls_min,wasted_tool_calls_std,workflow_success_rate_max,workflow_success_rate_mean,workflow_success_rate_min,workflow_success_rate_std
194.0,190.8,187.0,2.48998,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,15.1193,12.14226,9.3066,2.518975,0.0,754.378,723.9668,683.186,29.940717,0.0,0.0,0.0,0.0,13.0,9.2,6.0,2.48998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.065,0.046,0.03,0.01245,194.0,190.8,187.0,2.48998,ng,0.0,0.0,0.0,0.0,13.0,9.2,6.0,2.48998,0.97,0.954,0.935,0.01245
195.0,184.0,149.0,19.77372,0.952128,0.91143,0.872483,0.029533,0.0,0.0,0.0,0.0,20.0,16.0,9.0,4.358899,20,0.0,0.0,0.0,0.0,19.0207,17.70522,16.227,1.17051,0.1,661.846,612.0126,556.582,40.195689,0.0,0.0,0.0,0.0,51.0,16.0,5.0,19.77372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.255,0.08,0.025,0.098869,179.0,168.0,130.0,21.295539,ng,6014.1,5000.88,3407.7,965.116015,129.0,80.4,53.0,30.11312,0.895,0.84,0.65,0.106478
193.0,191.4,189.0,1.67332,0.82199,0.810887,0.801047,0.008699,0.0,0.0,0.0,0.0,38.0,36.2,34.0,1.788854,20,0.0,0.0,0.0,0.0,29.7449,24.94664,22.013,3.683197,0.2,434.33,316.085,238.113,97.238638,0.0,0.0,0.0,0.0,11.0,8.6,7.0,1.67332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.055,0.043,0.035,0.008367,157.0,155.2,153.0,1.788854,ng,11589.4,8922.16,6891.0,2284.364431,180.0,161.6,137.0,16.920402,0.785,0.776,0.765,0.008944
138.0,114.8,98.0,16.02186,0.76087,0.620557,0.540816,0.082876,0.0,0.0,0.0,0.0,49.0,42.6,33.0,5.94138,50,0.0,0.0,0.0,0.0,37.3119,25.37838,19.0916,7.015634,0.0,278.884,245.0664,229.487,19.809003,0.0,0.0,0.0,0.0,102.0,85.2,62.0,16.02186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.51,0.426,0.31,0.080109,105.0,72.2,53.0,19.929877,ng,8296.3,6893.64,4152.5,1684.035134,271.0,243.2,213.0,27.662249,0.525,0.361,0.265,0.099649
122.0,107.0,87.0,13.209845,0.631148,0.459898,0.08046,0.221918,0.0,0.0,0.0,0.0,80.0,55.6,45.0,14.518953,50,0.0,0.0,0.0,0.0,46.9957,26.11098,11.4055,13.238532,0.1,227.284,215.2934,200.028,13.634339,0.0,0.0,0.0,0.0,113.0,93.0,78.0,13.209845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.565,0.465,0.39,0.066049,77.0,51.4,7.0,27.005555,ng,14609.2,8896.96,5789.0,3351.926265,368.0,292.2,255.0,43.717273,0.385,0.257,0.035,0.135028
146.0,122.6,103.0,17.357995,0.541096,0.451398,0.354331,0.088073,0.0,0.0,0.0,0.0,82.0,66.6,56.0,9.939819,50,0.0,0.0,0.0,0.0,25.9702,19.99346,14.5575,4.848552,0.2,238.617,225.678,211.013,12.638809,0.0,0.0,0.0,0.0,97.0,77.4,54.0,17.357995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.485,0.387,0.27,0.08679,79.0,56.0,40.0,17.0,ng,13648.5,9875.98,6607.4,2967.875839,372.0,309.2,281.0,37.592552,0.395,0.28,0.2,0.085
90.0,86.2,84.0,2.280351,0.593023,0.419167,0.033333,0.223079,0.0,0.0,0.0,0.0,87.0,50.4,35.0,20.947554,100,0.0,0.0,0.0,0.0,55.6374,24.46966,4.5982,19.243014,0.0,213.99,196.2984,161.147,22.326717,0.0,0.0,0.0,0.0,116.0,113.8,110.0,2.280351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.58,0.569,0.55,0.011402,51.0,35.8,3.0,19.07092,ng,7502.7,4924.0,1818.4,2471.181494,337.0,266.4,214.0,45.615787,0.255,0.179,0.015,0.095355
90.0,82.2,76.0,5.449771,0.679012,0.536145,0.423529,0.099142,0.0,0.0,0.0,0.0,49.0,38.2,26.0,8.927486,100,0.0,0.0,0.0,0.0,69.3345,27.49396,13.7714,23.517646,0.1,230.611,210.4106,192.928,14.311248,0.0,0.0,0.0,0.0,124.0,117.8,110.0,5.449771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.62,0.589,0.55,0.027249,55.0,44.0,36.0,8.093207,ng,6844.4,4563.48,1916.2,2401.103682,289.0,246.6,194.0,41.125418,0.275,0.22,0.18,0.040466
95.0,82.8,69.0,12.637247,0.685714,0.446286,0.290698,0.153674,0.0,0.0,0.0,0.0,62.0,47.0,22.0,17.705931,100,0.0,0.0,0.0,0.0,72.3928,29.16818,10.4213,26.030035,0.2,220.001,203.5418,185.612,14.556498,0.0,0.0,0.0,0.0,131.0,117.2,105.0,12.637247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.655,0.586,0.525,0.063186,48.0,35.8,25.0,8.467585,ng,6000.7,3836.08,1740.3,1580.581992,280.0,252.0,203.0,29.308702,0.24,0.179,0.125,0.042338
42.0,35.0,31.0,4.527693,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,10.8001,7.99714,6.5418,1.712103,0.0,710.546,669.3906,600.145,45.839548,0.0,0.0,0.0,0.0,169.0,165.0,158.0,4.527693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.845,0.825,0.79,0.022638,42.0,35.0,31.0,4.527693,plangate_adaptive,0.0,0.0,0.0,0.0,169.0,165.0,158.0,4.527693,0.21,0.175,0.155,0.022638
36.0,34.2,32.0,1.788854,0.916667,0.876207,0.84375,0.029152,0.0,0.0,0.0,0.0,5.0,4.2,3.0,0.83666,20,0.0,0.0,0.0,0.0,10.7172,9.91032,9.146,0.592729,0.1,604.754,573.7568,505.416,44.383239,0.0,0.0,0.0,0.0,168.0,165.8,164.0,1.788854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.84,0.829,0.82,0.008944,33.0,30.0,27.0,2.44949,plangate_adaptive,2975.4,1920.68,1367.6,645.093088,195.0,184.8,175.0,8.955445,0.165,0.15,0.135,0.012247
41.0,37.2,36.0,2.167948,0.837838,0.800765,0.75,0.037274,0.0,0.0,0.0,0.0,9.0,7.4,6.0,1.341641,20,0.0,0.0,0.0,0.0,11.4413,10.51212,9.4567,0.981138,0.2,523.861,489.5428,446.98,33.706232,0.0,0.0,0.0,0.0,164.0,162.8,159.0,2.167948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.82,0.814,0.795,0.01084,33.0,29.8,27.0,2.387467,plangate_adaptive,4019.9,2978.42,1869.5,889.141303,206.0,195.2,188.0,7.259477,0.165,0.149,0.135,0.011937
30.0,30.0,30.0,0.0,1.0,0.946667,0.866667,0.055777,0.0,0.0,0.0,0.0,4.0,1.6,0.0,1.67332,50,0.0,0.0,0.0,0.0,12.4405,10.8327,9.1104,1.300295,0.0,550.696,368.646,241.675,143.281326,0.0,0.0,0.0,0.0,170.0,170.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.85,0.85,0.85,0.0,30.0,28.4,26.0,1.67332,plangate_adaptive,372.1,108.88,0.0,163.63162,180.0,174.8,170.0,5.01996,0.15,0.142,0.13,0.008367
30.0,30.0,30.0,0.0,0.966667,0.933333,0.9,0.02357,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.707107,50,0.0,0.0,0.0,0.0,16.8688,12.24878,9.8211,2.769823,0.1,452.006,286.7476,184.961,104.001554,0.0,0.0,0.0,0.0,170.0,170.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.85,0.85,0.85,0.0,29.0,28.0,27.0,0.707107,plangate_adaptive,1539.1,642.84,223.3,538.77581,185.0,179.4,175.0,3.847077,0.145,0.14,0.135,0.003536
31.0,30.4,30.0,0.547723,0.9,0.789677,0.733333,0.06789,0.0,0.0,0.0,0.0,8.0,6.4,3.0,2.073644,50,0.0,0.0,0.0,0.0,12.4397,9.4908,7.0389,2.179318,0.2,255.244,238.6114,223.852,12.354103,0.0,0.0,0.0,0.0,170.0,169.6,169.0,0.547723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.85,0.848,0.845,0.002739,27.0,24.0,22.0,2.0,plangate_adaptive,1680.1,1304.96,907.2,338.881149,203.0,195.0,184.0,7.582875,0.135,0.12,0.11,0.01
30.0,30.0,30.0,0.0,1.0,0.96,0.9,0.043461,0.0,0.0,0.0,0.0,3.0,1.2,0.0,1.30384,100,0.0,0.0,0.0,0.0,12.4282,10.5129,9.2265,1.213528,0.0,549.771,391.603,249.507,140.156879,0.0,0.0,0.0,0.0,170.0,170.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.85,0.85,0.85,0.0,30.0,28.8,27.0,1.30384,plangate_adaptive,722.7,184.54,0.0,312.262811,184.0,174.2,170.0,5.761944,0.15,0.144,0.135,0.006519
