cascade_failed_max,cascade_failed_mean,cascade_failed_min,cascade_failed_std,concurrency,failure_rate,recoverable_failures_max,recoverable_failures_mean,recoverable_failures_min,recoverable_failures_std,rejected_s0_max,rejected_s0_mean,rejected_s0_min,rejected_s0_std,runs,session_mode,side_effects_committed_max,side_effects_committed_mean,side_effects_committed_min,side_effects_committed_std,success_max,success_mean,success_min,success_std,terminal_failures_max,terminal_failures_mean,terminal_failures_min,terminal_failures_std,variant,wasted_service_ms_max,wasted_service_ms_mean,wasted_service_ms_min,wasted_service_ms_std,wasted_tool_calls_max,wasted_tool_calls_mean,wasted_tool_calls_min,wasted_tool_calls_std,workflow_type
0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.224745,5,ps,164.0,128.0,100.0,24.0,41.0,32.0,25.0,6.0,0.0,0.0,0.0,0.0,ng,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.224745,order
2.0,1.4,0.0,0.894427,20,0.1,1.0,0.8,0.0,0.447214,7.0,3.2,1.0,2.387467,5,ps,152.0,118.0,76.0,29.257478,38.0,29.4,19.0,7.231874,1.0,0.4,0.0,0.547723,ng,420.8,239.2,0.0,176.302368,12.0,7.8,4.0,3.271085,order
12.0,9.0,7.0,1.870829,20,0.2,8.0,6.0,5.0,1.224745,3.0,1.4,0.0,1.516575,5,ps,106.0,100.8,96.0,3.701351,24.0,23.2,21.0,1.30384,4.0,3.0,2.0,1.0,ng,5321.6,2659.26,1023.6,1635.464621,57.0,40.4,26.0,11.036304,order
10.0,6.8,3.0,2.774887,50,0.0,0.0,0.0,0.0,0.0,17.0,12.8,10.0,2.949576,5,ps,90.0,63.6,46.0,17.840964,22.0,15.2,11.0,4.658326,0.0,0.0,0.0,0.0,ng,2045.9,969.0,402.0,632.678327,51.0,34.8,25.0,10.256705,order
14.0,8.2,6.0,3.34664,50,0.1,3.0,1.2,0.0,1.30384,20.0,13.8,7.0,5.215362,5,ps,51.0,35.6,2.0,19.62906,12.0,8.2,0.0,4.91935,1.0,0.2,0.0,0.447214,ng,3625.7,1598.38,815.2,1162.143069,67.0,41.4,24.0,16.195678,order
16.0,9.0,6.0,4.242641,50,0.2,4.0,1.8,0.0,1.48324,24.0,16.6,10.0,5.639149,5,ps,60.0,40.4,29.0,12.441865,14.0,9.4,7.0,3.04959,3.0,1.0,0.0,1.224745,ng,3559.9,1580.22,459.1,1250.018479,70.0,46.0,36.0,13.928388,order
15.0,8.2,4.0,4.207137,100,0.0,0.0,0.0,0.0,0.0,31.0,22.6,18.0,5.029911,5,ps,48.0,34.6,9.0,15.372053,12.0,8.4,2.0,3.911521,0.0,0.0,0.0,0.0,ng,1780.4,992.74,699.2,450.788274,71.0,45.6,32.0,14.959947,order
12.0,8.4,6.0,2.302173,100,0.1,2.0,1.0,0.0,1.0,27.0,23.4,19.0,3.646917,5,ps,58.0,40.8,29.0,11.649034,14.0,9.2,6.0,3.114482,1.0,0.6,0.0,0.547723,ng,1861.5,1257.38,708.0,508.787841,59.0,51.6,39.0,8.294577,order
8.0,4.6,2.0,2.302173,100,0.2,1.0,0.6,0.0,0.547723,31.0,19.6,12.0,7.162402,5,ps,47.0,33.6,16.0,13.011533,11.0,8.2,4.0,3.03315,1.0,0.4,0.0,0.547723,ng,907.0,550.14,272.1,241.868793,43.0,32.8,23.0,8.074652,order
0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,2.0,1.4,0.0,0.894427,5,react,128.0,108.0,68.0,24.166092,32.0,27.0,17.0,6.041523,0.0,0.0,0.0,0.0,ng,0.0,0.0,0.0,0.0,2.0,1.4,0.0,0.894427,order
