run_id,seed,variant,repeat,sessions,total_sessions,concurrency,failure_rate,workflow_type,session_mode,success,cascade_failed,rejected_s0,side_effects_committed,recoverable_failures,terminal_failures,wasted_service_ms,wasted_tool_calls
ng_C20_fr0.0_r0,20260622,ng,0,200,200,20,0.0,order,ps,29,0,1,116,0,0,0.0,1
ng_C20_fr0.0_r0,20260622,ng,0,200,200,20,0.0,order,react,26,0,0,104,0,0,0.0,0
ng_C20_fr0.0_r0,20260622,ng,0,200,200,20,0.0,support,ps,28,0,7,84,0,0,0.0,7
ng_C20_fr0.0_r0,20260622,ng,0,200,200,20,0.0,support,react,43,0,0,129,0,0,0.0,0
ng_C20_fr0.0_r0,20260622,ng,0,200,200,20,0.0,travel,ps,29,0,2,116,0,0,0.0,2
ng_C20_fr0.0_r0,20260622,ng,0,200,200,20,0.0,travel,react,32,0,3,128,0,0,0.0,3
ng_C20_fr0.0_r1,20260719,ng,1,200,200,20,0.0,order,ps,34,0,0,136,0,0,0.0,0
ng_C20_fr0.0_r1,20260719,ng,1,200,200,20,0.0,order,react,17,0,2,68,0,0,0.0,2
ng_C20_fr0.0_r1,20260719,ng,1,200,200,20,0.0,support,ps,35,0,1,105,0,0,0.0,1
ng_C20_fr0.0_r1,20260719,ng,1,200,200,20,0.0,support,react,31,0,0,93,0,0,0.0,0
ng_C20_fr0.0_r1,20260719,ng,1,200,200,20,0.0,travel,ps,41,0,3,164,0,0,0.0,3
ng_C20_fr0.0_r1,20260719,ng,1,200,200,20,0.0,travel,react,36,0,0,144,0,0,0.0,0
ng_C20_fr0.0_r2,20260816,ng,2,200,200,20,0.0,order,ps,31,0,3,124,0,0,0.0,3
ng_C20_fr0.0_r2,20260816,ng,2,200,200,20,0.0,order,react,32,0,1,128,0,0,0.0,1
ng_C20_fr0.0_r2,20260816,ng,2,200,200,20,0.0,support,ps,28,0,2,84,0,0,0.0,2
ng_C20_fr0.0_r2,20260816,ng,2,200,200,20,0.0,support,react,36,0,1,108,0,0,0.0,1
ng_C20_fr0.0_r2,20260816,ng,2,200,200,20,0.0,travel,ps,34,0,0,136,0,0,0.0,0
ng_C20_fr0.0_r2,20260816,ng,2,200,200,20,0.0,travel,react,30,0,2,120,0,0,0.0,2
ng_C20_fr0.0_r3,20260913,ng,3,200,200,20,0.0,order,ps,25,0,1,100,0,0,0.0,1
ng_C20_fr0.0_r3,20260913,ng,3,200,200,20,0.0,order,react,29,0,2,116,0,0,0.0,2
ng_C20_fr0.0_r3,20260913,ng,3,200,200,20,0.0,support,ps,26,0,0,78,0,0,0.0,0
ng_C20_fr0.0_r3,20260913,ng,3,200,200,20,0.0,support,react,46,0,2,138,0,0,0.0,2
ng_C20_fr0.0_r3,20260913,ng,3,200,200,20,0.0,travel,ps,30,0,1,120,0,0,0.0,1
ng_C20_fr0.0_r3,20260913,ng,3,200,200,20,0.0,travel,react,35,0,3,140,0,0,0.0,3
ng_C20_fr0.0_r4,20261010,ng,4,200,200,20,0.0,order,ps,41,0,0,164,0,0,0.0,0
ng_C20_fr0.0_r4,20261010,ng,4,200,200,20,0.0,order,react,31,0,2,124,0,0,0.0,2
ng_C20_fr0.0_r4,20261010,ng,4,200,200,20,0.0,support,ps,23,0,1,69,0,0,0.0,1
ng_C20_fr0.0_r4,20261010,ng,4,200,200,20,0.0,support,react,34,0,2,102,0,0,0.0,2
ng_C20_fr0.0_r4,20261010,ng,4,200,200,20,0.0,travel,ps,28,0,1,112,0,0,0.0,1
ng_C20_fr0.0_r4,20261010,ng,4,200,200,20,0.0,travel,react,34,0,3,136,0,0,0.0,3
ng_C20_fr0.1_r0,20260722,ng,0,200,200,20,0.1,order,ps,38,0,4,152,0,0,0.0,4
ng_C20_fr0.1_r0,20260722,ng,0,200,200,20,0.1,order,react,25,1,2,100,1,0,322.2,6
ng_C20_fr0.1_r0,20260722,ng,0,200,200,20,0.1,support,ps,35,2,4,105,1,1,520.2,12
ng_C20_fr0.1_r0,20260722,ng,0,200,200,20,0.1,support,react,30,2,1,92,1,1,1037.0,11
ng_C20_fr0.1_r0,20260722,ng,0,200,200,20,0.1,travel,ps,25,1,0,100,0,1,43.6,3
ng_C20_fr0.1_r0,20260722,ng,0,200,200,20,0.1,travel,react,26,3,1,109,3,0,1484.6,17
