comparison,concurrency,failure_rate,mean_delta,metric,n_ng,n_plangate_adaptive,n_plangate_adaptive_react_recovery,n_plangate_no_capacity_step0,n_plangate_strict,ng_ci_high,ng_ci_low,ng_mean,plangate_adaptive_ci_high,plangate_adaptive_ci_low,plangate_adaptive_mean,plangate_adaptive_react_recovery_ci_high,plangate_adaptive_react_recovery_ci_low,plangate_adaptive_react_recovery_mean,plangate_no_capacity_step0_ci_high,plangate_no_capacity_step0_ci_low,plangate_no_capacity_step0_mean,plangate_strict_ci_high,plangate_strict_ci_low,plangate_strict_mean
adaptive_vs_strict,20,0.0,1.0,rejected_s0,,5,,,5,,,,168.2,161.4,165.0,,,,,,,166.4,161.6,164.0
adaptive_vs_strict,20,0.0,0.005,step0_reject_rate,,5,,,5,,,,0.841,0.807,0.825,,,,,,,0.832,0.808,0.82
adaptive_vs_strict,20,0.0,0.0,cascade_failed,,5,,,5,,,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
adaptive_vs_strict,20,0.0,0.0,wasted_service_ms,,5,,,5,,,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
adaptive_vs_strict,20,0.0,-0.005,workflow_success_rate,,5,,,5,,,,0.193,0.159,0.175,,,,,,,0.192,0.168,0.18
adaptive_vs_strict,20,0.0,0.0,admitted_success_rate,,5,,,5,,,,1.0,1.0,1.0,,,,,,,1.0,1.0,1.0
adaptive_vs_strict,20,0.0,-23.1042,p95_ms,,5,,,5,,,,701.8572,628.7374,669.3906,,,,,,,713.6428,669.3632,692.4948
adaptive_vs_strict,20,0.1,-1.2,rejected_s0,,5,,,5,,,,167.2,164.4,165.8,,,,,,,168.2,165.4,167.0
adaptive_vs_strict,20,0.1,-0.006,step0_reject_rate,,5,,,5,,,,0.836,0.822,0.829,,,,,,,0.841,0.827,0.835
adaptive_vs_strict,20,0.1,0.6,cascade_failed,,5,,,5,,,,4.8,3.6,4.2,,,,,,,4.4,2.8,3.6
adaptive_vs_strict,20,0.1,379.12,wasted_service_ms,,5,,,5,,,,2475.24,1499.24,1920.68,,,,,,,2993.62,423.32,1541.56
adaptive_vs_strict,20,0.1,0.003,workflow_success_rate,,5,,,5,,,,0.16,0.141,0.15,,,,,,,0.153,0.141,0.147
adaptive_vs_strict,20,0.1,-0.015095,admitted_success_rate,,5,,,5,,,,0.898366,0.854434,0.876207,,,,,,,0.91908,0.868589,0.891302
adaptive_vs_strict,20,0.1,-54.9684,p95_ms,,5,,,5,,,,604.133,534.548,573.7568,,,,,,,654.7982,601.2404,628.7252
adaptive_vs_strict,20,0.2,-1.0,rejected_s0,,5,,,5,,,,164.0,160.8,162.8,,,,,,,165.6,162.2,163.8
adaptive_vs_strict,20,0.2,-0.005,step0_reject_rate,,5,,,5,,,,0.82,0.804,0.814,,,,,,,0.828,0.811,0.819
