run_id,seed,variant,repeat,sessions,total_sessions,concurrency,failure_rate,workflow_mix,backend_workers,queue_timeout_ms,resume_backoff_s,continuation_concurrency,success,workflow_success_rate,admitted_sessions,admitted_success_rate,rejected_s0,step0_reject_rate,cascade_failed,partial,client_rc,client_timed_out,error,side_effects_committed,duplicate_side_effect,recoverable_failures,terminal_failures,resume_attempted,resume_recovered,react_recovered_success,avoided_replay_steps,resume_continuation_started,resume_continuation_completed,post_resume_success,post_resume_cascade,wasted_service_ms,wasted_tool_calls,sla_violation_count,p50_ms,p95_ms,effective_goodput,p_and_s_sessions,react_sessions,travel_sessions,order_sessions,support_sessions
ng_C20_fr0.0_r0,20260622,ng,0,200,200,20,0.0,"travel=1/3,order=1/3,support=1/3",unlimited,n/a,0,20,187,0.935,187,1.0,13,0.065,0,0,0,0,,677,0,0,0,0,0,0,0,0,0,0,0,0.0,13,0,213.663,754.378,9.3066,96,104,66,56,78
ng_C20_fr0.0_r1,20260719,ng,1,200,200,20,0.0,"travel=1/3,order=1/3,support=1/3",unlimited,n/a,0,20,194,0.97,194,1.0,6,0.03,0,0,0,0,,710,0,0,0,0,0,0,0,0,0,0,0,0.0,6,0,188.996,742.535,10.3371,114,86,80,53,67
ng_C20_fr0.0_r2,20260816,ng,2,200,200,20,0.0,"travel=1/3,order=1/3,support=1/3",unlimited,n/a,0,20,191,0.955,191,1.0,9,0.045,0,0,0,0,,700,0,0,0,0,0,0,0,0,0,0,0,0.0,9,0,142.895,737.467,11.5895,98,102,66,67,67
ng_C20_fr0.0_r3,20260913,ng,3,200,200,20,0.0,"travel=1/3,order=1/3,support=1/3",unlimited,n/a,0,20,191,0.955,191,1.0,9,0.045,0,0,0,0,,692,0,0,0,0,0,0,0,0,0,0,0,0.0,9,0,84.218,683.186,14.3588,83,117,69,57,74
ng_C20_fr0.0_r4,20261010,ng,4,200,200,20,0.0,"travel=1/3,order=1/3,support=1/3",unlimited,n/a,0,20,191,0.955,191,1.0,9,0.045,0,0,0,0,,707,0,0,0,0,0,0,0,0,0,0,0,0.0,9,0,78.945,702.268,15.1193,94,106,66,74,60
ng_C20_fr0.1_r0,20260722,ng,0,200,200,20,0.1,"travel=1/3,order=1/3,support=1/3",unlimited,n/a,0,20,179,0.895,188,0.952128,12,0.06,9,0,0,0,,658,0,6,3,0,0,0,0,0,0,0,0,3407.7,53,0,62.85,634.743,16.7642,109,91,56,70,74
ng_C20_fr0.1_r1,20260819,ng,1,200,200,20,0.1,"travel=1/3,order=1/3,support=1/3",unlimited,n/a,0,20,178,0.89,193,0.92228,7,0.035,15,0,0,0,,666,0,11,4,0,0,0,0,0,0,0,0,5091.1,60,0,65.48,661.846,16.227,102,98,76,66,58
ng_C20_fr0.1_r2,20260916,ng,2,200,200,20,0.1,"travel=1/3,order=1/3,support=1/3",unlimited,n/a,0,20,175,0.875,195,0.897436,5,0.025,20,0,0,0,,653,0,14,6,0,0,0,0,0,0,0,0,5117.5,87,0,51.332,592.414,18.0699,107,93,69,63,68
ng_C20_fr0.1_r3,20261013,ng,3,200,200,20,0.1,"travel=1/3,order=1/3,support=1/3",unlimited,n/a,0,20,178,0.89,195,0.912821,5,0.025,17,0,0,0,,662,0,10,7,0,0,0,0,0,0,0,0,5374.0,73,0,56.104,614.478,18.4443,106,94,63,64,73
ng_C20_fr0.1_r4,20261110,ng,4,200,200,20,0.1,"travel=1/3,order=1/3,support=1/3",unlimited,n/a,0,20,130,0.65,149,0.872483,51,0.255,19,0,0,0,,487,0,9,2,0,0,0,0,0,0,0,0,6014.1,129,0,46.368,556.582,19.0207,93,107,66,66,68
