store,repeat,table_name,row_count,unique_idempotency_keys,duplicate_idempotency_keys,duplicate_side_effect_rows,db_integrity_check
redis,0,orders,5,5,0,0,ok
redis,0,reservations,4,4,0,0,ok
redis,0,payments,2,2,0,0,ok
redis,0,tickets,0,0,0,0,ok
redis,0,idempotency_keys,11,11,0,0,ok
redis,0,workflow_events,0,0,0,0,ok
memory,0,orders,9,9,0,0,ok
memory,0,reservations,8,8,0,0,ok
memory,0,payments,2,2,0,0,ok
memory,0,tickets,0,0,0,0,ok
memory,0,idempotency_keys,19,19,0,0,ok
memory,0,workflow_events,0,0,0,0,ok
