store,repeat,table_name,row_count,unique_idempotency_keys,duplicate_idempotency_keys,duplicate_side_effect_rows,db_integrity_check
redis,0,orders,15,15,0,0,ok
redis,0,reservations,15,15,0,0,ok
redis,0,payments,0,0,0,0,ok
redis,0,tickets,0,0,0,0,ok
redis,0,idempotency_keys,30,30,0,0,ok
redis,0,workflow_events,0,0,0,0,ok
memory,0,orders,15,15,0,0,ok
memory,0,reservations,15,15,0,0,ok
memory,0,payments,0,0,0,0,ok
memory,0,tickets,0,0,0,0,ok
memory,0,idempotency_keys,30,30,0,0,ok
memory,0,workflow_events,0,0,0,0,ok
