store,repeat,table_name,row_count,unique_idempotency_keys,duplicate_idempotency_keys,duplicate_side_effect_rows,db_integrity_check
redis,0,orders,53,53,0,0,ok
redis,0,reservations,34,34,0,0,ok
redis,0,payments,16,16,0,0,ok
redis,0,tickets,22,22,0,0,ok
redis,0,idempotency_keys,125,125,0,0,ok
redis,0,workflow_events,0,0,0,0,ok
memory,0,orders,96,96,0,0,ok
memory,0,reservations,65,65,0,0,ok
memory,0,payments,36,36,0,0,ok
memory,0,tickets,56,56,0,0,ok
memory,0,idempotency_keys,253,253,0,0,ok
memory,0,workflow_events,0,0,0,0,ok
