store,repeat,probe_id,session_id,workflow_id,workflow_type,failure_gateway,resume_gateway,cross_gateway,failure_after_step,side_effect_before_failure_present,resume_attempted,resume_recovered,resume_mode_react_client_cooperative,resume_current_step_gt_zero,resume_requires_client_continuation,resume_continuation_completed,post_resume_success,avoided_replay_steps,replayed_completed_side_effects,state_miss,final_state_consistent,failure_safe_state,passed
redis,1,0,sess-recovery-probe-redis-r1-p0,wf-recovery-probe-redis-r1-p0,order,http://10.10.1.2:19001,http://10.10.1.3:19002,True,1,True,True,True,True,True,True,True,True,0,0,False,True,True,True
redis,1,1,sess-recovery-probe-redis-r1-p1,wf-recovery-probe-redis-r1-p1,order,http://10.10.1.4:19003,http://10.10.1.2:19001,True,1,True,True,True,True,True,True,True,True,0,0,False,True,True,True
redis,1,2,sess-recovery-probe-redis-r1-p2,wf-recovery-probe-redis-r1-p2,order,http://10.10.1.4:19003,http://10.10.1.3:19002,True,1,True,True,True,True,True,True,True,True,0,0,False,True,True,True
redis,2,0,sess-recovery-probe-redis-r2-p0,wf-recovery-probe-redis-r2-p0,order,http://10.10.1.4:19003,http://10.10.1.3:19002,True,1,True,True,True,True,True,True,True,True,0,0,False,True,True,True
redis,2,1,sess-recovery-probe-redis-r2-p1,wf-recovery-probe-redis-r2-p1,order,http://10.10.1.4:19003,http://10.10.1.3:19002,True,1,True,True,True,True,True,True,True,True,0,0,False,True,True,True
redis,2,2,sess-recovery-probe-redis-r2-p2,wf-recovery-probe-redis-r2-p2,order,http://10.10.1.4:19003,http://10.10.1.3:19002,True,1,True,True,True,True,True,True,True,True,0,0,False,True,True,True
redis,3,0,sess-recovery-probe-redis-r3-p0,wf-recovery-probe-redis-r3-p0,order,http://10.10.1.3:19002,http://10.10.1.2:19001,True,1,True,True,True,True,True,True,True,True,0,0,False,True,True,True
redis,3,1,sess-recovery-probe-redis-r3-p1,wf-recovery-probe-redis-r3-p1,order,http://10.10.1.4:19003,http://10.10.1.2:19001,True,1,True,True,True,True,True,True,True,True,0,0,False,True,True,True
redis,3,2,sess-recovery-probe-redis-r3-p2,wf-recovery-probe-redis-r3-p2,order,http://10.10.1.4:19003,http://10.10.1.2:19001,True,1,True,True,True,True,True,True,True,True,0,0,False,True,True,True
memory,1,0,sess-recovery-probe-memory-r1-p0,wf-recovery-probe-memory-r1-p0,order,http://10.10.1.4:19003,http://10.10.1.2:19001,True,1,True,True,False,False,False,False,True,True,0,0,True,True,False,False
memory,1,1,sess-recovery-probe-memory-r1-p1,wf-recovery-probe-memory-r1-p1,order,http://10.10.1.2:19001,http://10.10.1.3:19002,True,1,True,True,False,False,False,False,True,True,0,0,True,True,False,False
memory,1,2,sess-recovery-probe-memory-r1-p2,wf-recovery-probe-memory-r1-p2,order,http://10.10.1.2:19001,http://10.10.1.3:19002,True,1,True,True,False,False,False,False,True,True,0,0,True,True,False,False
memory,2,0,sess-recovery-probe-memory-r2-p0,wf-recovery-probe-memory-r2-p0,order,http://10.10.1.2:19001,http://10.10.1.3:19002,True,1,True,True,False,False,False,False,True,True,0,0,True,True,False,False
memory,2,1,sess-recovery-probe-memory-r2-p1,wf-recovery-probe-memory-r2-p1,order,http://10.10.1.4:19003,http://10.10.1.2:19001,True,1,True,True,False,False,False,False,True,True,0,0,True,True,False,False
memory,2,2,sess-recovery-probe-memory-r2-p2,wf-recovery-probe-memory-r2-p2,order,http://10.10.1.3:19002,http://10.10.1.2:19001,True,1,True,True,False,False,False,False,True,True,0,0,True,True,False,False
memory,3,0,sess-recovery-probe-memory-r3-p0,wf-recovery-probe-memory-r3-p0,order,http://10.10.1.3:19002,http://10.10.1.4:19003,True,1,True,True,False,False,False,False,True,True,0,0,True,True,False,False
memory,3,1,sess-recovery-probe-memory-r3-p1,wf-recovery-probe-memory-r3-p1,order,http://10.10.1.3:19002,http://10.10.1.4:19003,True,1,True,True,False,False,False,False,True,True,0,0,True,True,False,False
memory,3,2,sess-recovery-probe-memory-r3-p2,wf-recovery-probe-memory-r3-p2,order,http://10.10.1.4:19003,http://10.10.1.2:19001,True,1,True,True,False,False,False,False,True,True,0,0,True,True,False,False
