admitted_success_rate_max,admitted_success_rate_mean,admitted_success_rate_min,admitted_success_rate_std,avoided_replay_steps_max,avoided_replay_steps_mean,avoided_replay_steps_min,avoided_replay_steps_std,cascade_failed_max,cascade_failed_mean,cascade_failed_min,cascade_failed_std,concurrency,duplicate_side_effect_max,duplicate_side_effect_mean,duplicate_side_effect_min,duplicate_side_effect_std,effective_goodput_max,effective_goodput_mean,effective_goodput_min,effective_goodput_std,failure_rate,governance_intensity,p95_ms_max,p95_ms_mean,p95_ms_min,p95_ms_std,p99_ms_max,p99_ms_mean,p99_ms_min,p99_ms_std,post_resume_success_max,post_resume_success_mean,post_resume_success_min,post_resume_success_std,react_recovered_success_max,react_recovered_success_mean,react_recovered_success_min,react_recovered_success_std,rejected_s0_capacity_max,rejected_s0_capacity_mean,rejected_s0_capacity_min,rejected_s0_capacity_std,rejected_s0_max,rejected_s0_mean,rejected_s0_min,rejected_s0_std,resume_attempted_max,resume_attempted_mean,resume_attempted_min,resume_attempted_std,resume_recovered_max,resume_recovered_mean,resume_recovered_min,resume_recovered_std,runs,success_max,success_mean,success_min,success_std,variant,wasted_service_ms_max,wasted_service_ms_mean,wasted_service_ms_min,wasted_service_ms_std,wasted_tool_calls_max,wasted_tool_calls_mean,wasted_tool_calls_min,wasted_tool_calls_std,workflow_success_rate_max,workflow_success_rate_mean,workflow_success_rate_min,workflow_success_rate_std
1.0,0.9,0.7,0.173205,0.0,0.0,0.0,0.0,9.0,3.0,0.0,5.196152,50,0.0,0.0,0.0,0.0,10.1953,9.227133,7.297,1.671547,0.0,default,701.79,677.635333,648.022,27.296469,778.994,773.328333,768.423,5.326358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,170.0,170.0,0.0,170.0,170.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,30.0,27.0,21.0,5.196152,plangate_adaptive_default,57.8,19.266667,0.0,33.370846,189.0,176.333333,170.0,10.969655,0.15,0.135,0.105,0.025981
0.933333,0.911111,0.9,0.019245,0.0,0.0,0.0,0.0,3.0,2.666667,2.0,0.57735,50,0.0,0.0,0.0,0.0,10.6889,9.671767,9.1199,0.881927,0.1,default,690.392,650.044333,586.907,55.378814,775.951,765.394333,752.72,11.759389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,170.0,170.0,0.0,170.0,170.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,28.0,27.333333,27.0,0.57735,plangate_adaptive_default,3066.4,2220.833333,1343.0,862.15297,187.0,185.0,182.0,2.645751,0.14,0.136667,0.135,0.002887
0.866667,0.758781,0.7,0.093557,0.0,0.0,0.0,0.0,9.0,7.333333,4.0,2.886751,50,0.0,0.0,0.0,0.0,9.6773,8.423033,6.786,1.483168,0.2,default,602.296,572.203,554.752,26.171991,776.197,743.272,710.677,32.761247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,169.666667,169.0,0.57735,170.0,169.666667,169.0,0.57735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,26.0,23.0,21.0,2.645751,plangate_adaptive_default,2658.1,2416.133333,1940.2,412.189766,210.0,200.666667,189.0,10.692677,0.13,0.115,0.105,0.013229
1.0,0.966667,0.9,0.057735,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.732051,100,0.0,0.0,0.0,0.0,10.3106,9.8682,9.4567,0.427788,0.0,default,648.983,629.471667,614.531,17.674935,792.344,787.165,777.218,8.616805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,170.0,170.0,0.0,170.0,170.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,30.0,29.0,27.0,1.732051,plangate_adaptive_default,7.0,2.333333,0.0,4.041452,176.0,172.0,170.0,3.464102,0.15,0.145,0.135,0.00866
0.933333,0.855555,0.733333,0.107152,0.0,0.0,0.0,0.0,8.0,4.333333,2.0,3.21455,100,0.0,0.0,0.0,0.0,9.7466,8.982633,8.1712,0.788772,0.1,default,608.586,594.588333,585.031,12.389388,777.169,753.204667,736.789,21.22199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,170.0,170.0,0.0,170.0,170.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,28.0,25.666667,22.0,3.21455,plangate_adaptive_default,1941.1,997.966667,365.1,832.552133,199.0,188.333333,182.0,9.291573,0.14,0.128333,0.11,0.016073
0.9,0.855556,0.766667,0.07698,0.0,0.0,0.0,0.0,7.0,4.333333,3.0,2.309401,100,0.0,0.0,0.0,0.0,9.6276,8.719267,7.8435,0.892496,0.2,default,655.482,592.762333,499.899,82.054847,785.032,778.24,771.817,6.615223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,170.0,170.0,0.0,170.0,170.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,27.0,25.666667,23.0,2.309401,plangate_adaptive_default,2248.0,1658.766667,941.1,662.848583,207.0,193.333333,186.0,11.846237,0.135,0.128333,0.115,0.011547
0.84,0.789022,0.730769,0.054978,0.0,0.0,0.0,0.0,14.0,11.0,8.0,3.0,50,0.0,0.0,0.0,0.0,13.5509,12.815233,11.8241,0.891295,0.0,light,718.508,708.464667,693.804,12.983132,794.432,789.739667,781.644,7.040614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,148.0,146.0,2.0,150.0,148.0,146.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,43.0,41.0,38.0,2.645751,plangate_adaptive_light,145.0,117.566667,101.7,23.855048,177.0,172.0,169.0,4.358899,0.215,0.205,0.19,0.013229
0.857143,0.801162,0.770833,0.048537,0.0,0.0,0.0,0.0,11.0,9.666667,7.0,2.309401,50,0.0,0.0,0.0,0.0,13.8747,12.835067,12.2973,0.900528,0.1,light,691.442,674.526333,660.757,15.582582,789.112,779.542333,774.331,8.298542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,151.333333,151.0,0.57735,152.0,151.333333,151.0,0.57735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,42.0,39.0,37.0,2.645751,plangate_adaptive_light,2125.4,1918.966667,1506.4,357.293246,185.0,183.0,181.0,2.0,0.21,0.195,0.185,0.013229
0.77551,0.706687,0.615385,0.082395,0.0,0.0,0.0,0.0,20.0,14.666667,11.0,4.725816,50,0.0,0.0,0.0,0.0,11.7221,11.101267,9.9119,1.030354,0.2,light,696.287,649.400667,623.675,40.668858,789.006,775.837333,752.707,20.095533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,150.333333,148.0,2.081666,152.0,150.333333,148.0,2.081666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,38.0,35.0,32.0,3.0,plangate_adaptive_light,4980.2,4267.433333,3698.4,652.876147,220.0,207.0,195.0,12.529964,0.19,0.175,0.16,0.015
1.0,0.965278,0.916667,0.043368,0.0,0.0,0.0,0.0,4.0,1.666667,0.0,2.081666,100,0.0,0.0,0.0,0.0,16.4604,15.084333,13.2052,1.6849,0.0,light,689.568,671.617333,648.641,20.921229,789.766,787.064667,782.231,4.195735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,152.0,152.0,0.0,152.0,152.0,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,48.0,46.333333,44.0,2.081666,plangate_adaptive_light,351.8,203.6,0.0,182.325752,164.0,157.333333,152.0,6.110101,0.24,0.231667,0.22,0.010408
