run_id,seed,variant,governance_intensity,repeat,concurrency,failure_rate,category_type,category_name,sessions,success,partial,cascade_failed,rejected_s0,side_effects_committed,wasted_service_ms,wasted_tool_calls,p50_ms,p95_ms
plangate_adaptive_light_C50_fr0.0_r0,20260652,plangate_adaptive_light,light,0,50,0.0,mode,ps,97,21,0,2,74,76,4.5,78,99.681,746.22
plangate_adaptive_light_C50_fr0.0_r0,20260652,plangate_adaptive_light,light,0,50,0.0,mode,react,103,21,0,6,76,80,140.4,91,95.945,681.956
plangate_adaptive_light_C50_fr0.0_r0,20260652,plangate_adaptive_light,light,0,50,0.0,workflow,order,58,13,0,2,43,52,6.7,47,134.156,672.921
plangate_adaptive_light_C50_fr0.0_r0,20260652,plangate_adaptive_light,light,0,50,0.0,workflow,support,66,12,0,0,54,36,0.0,54,55.303,697.918
plangate_adaptive_light_C50_fr0.0_r0,20260652,plangate_adaptive_light,light,0,50,0.0,workflow,travel,76,17,0,6,53,68,138.3,68,85.145,728.932
plangate_adaptive_light_C50_fr0.0_r1,20260749,plangate_adaptive_light,light,1,50,0.0,mode,ps,108,23,0,4,81,85,16.9,89,71.184,736.357
plangate_adaptive_light_C50_fr0.0_r1,20260749,plangate_adaptive_light,light,1,50,0.0,mode,react,92,15,0,10,67,56,84.8,88,72.455,711.043
plangate_adaptive_light_C50_fr0.0_r1,20260749,plangate_adaptive_light,light,1,50,0.0,workflow,order,74,16,0,7,51,64,32.7,65,115.331,731.364
plangate_adaptive_light_C50_fr0.0_r1,20260749,plangate_adaptive_light,light,1,50,0.0,workflow,support,64,11,0,5,48,33,61.3,59,57.614,691.933
plangate_adaptive_light_C50_fr0.0_r1,20260749,plangate_adaptive_light,light,1,50,0.0,workflow,travel,62,11,0,2,49,44,7.7,53,63.921,759.133
plangate_adaptive_light_C50_fr0.0_r2,20260846,plangate_adaptive_light,light,2,50,0.0,mode,ps,107,22,0,7,78,80,21.3,92,72.045,715.197
plangate_adaptive_light_C50_fr0.0_r2,20260846,plangate_adaptive_light,light,2,50,0.0,mode,react,93,21,0,4,68,80,84.7,78,80.907,693.671
plangate_adaptive_light_C50_fr0.0_r2,20260846,plangate_adaptive_light,light,2,50,0.0,workflow,order,58,11,0,1,46,44,2.4,48,124.437,654.327
plangate_adaptive_light_C50_fr0.0_r2,20260846,plangate_adaptive_light,light,2,50,0.0,workflow,support,68,12,0,8,48,36,97.1,66,60.219,694.448
plangate_adaptive_light_C50_fr0.0_r2,20260846,plangate_adaptive_light,light,2,50,0.0,workflow,travel,74,20,0,2,52,80,6.5,56,79.289,740.167
plangate_adaptive_light_C50_fr0.1_r0,20260752,plangate_adaptive_light,light,0,50,0.1,mode,ps,114,33,0,2,79,123,149.9,85,87.799,674.224
plangate_adaptive_light_C50_fr0.1_r0,20260752,plangate_adaptive_light,light,0,50,0.1,mode,react,86,9,0,5,72,39,1975.5,96,36.922,604.08
plangate_adaptive_light_C50_fr0.1_r0,20260752,plangate_adaptive_light,light,0,50,0.1,workflow,order,55,12,0,0,43,48,0.0,43,99.545,655.167
plangate_adaptive_light_C50_fr0.1_r0,20260752,plangate_adaptive_light,light,0,50,0.1,workflow,support,77,11,0,2,64,35,1453.8,74,46.071,607.142
plangate_adaptive_light_C50_fr0.1_r0,20260752,plangate_adaptive_light,light,0,50,0.1,workflow,travel,68,19,0,5,44,79,671.6,64,81.109,676.933
plangate_adaptive_light_C50_fr0.1_r1,20260849,plangate_adaptive_light,light,1,50,0.1,mode,ps,95,16,0,4,75,60,1285.0,89,56.227,591.301
plangate_adaptive_light_C50_fr0.1_r1,20260849,plangate_adaptive_light,light,1,50,0.1,mode,react,105,21,0,7,77,77,221.3,94,64.875,696.696
plangate_adaptive_light_C50_fr0.1_r1,20260849,plangate_adaptive_light,light,1,50,0.1,workflow,order,56,18,0,2,36,72,259.8,41,122.978,671.853
plangate_adaptive_light_C50_fr0.1_r1,20260849,plangate_adaptive_light,light,1,50,0.1,workflow,support,82,13,0,5,64,41,1040.7,79,51.622,611.866
plangate_adaptive_light_C50_fr0.1_r1,20260849,plangate_adaptive_light,light,1,50,0.1,workflow,travel,62,6,0,4,52,24,205.8,63,10.292,705.745
plangate_adaptive_light_C50_fr0.1_r2,20260946,plangate_adaptive_light,light,2,50,0.1,mode,ps,109,18,0,7,84,69,2087.9,109,47.322,633.883
plangate_adaptive_light_C50_fr0.1_r2,20260946,plangate_adaptive_light,light,2,50,0.1,mode,react,91,20,0,4,67,72,37.2,76,75.507,707.236
plangate_adaptive_light_C50_fr0.1_r2,20260946,plangate_adaptive_light,light,2,50,0.1,workflow,order,63,8,0,5,50,33,723.2,63,39.519,594.231
plangate_adaptive_light_C50_fr0.1_r2,20260946,plangate_adaptive_light,light,2,50,0.1,workflow,support,75,14,0,3,58,44,1176.9,71,60.777,603.917
plangate_adaptive_light_C50_fr0.1_r2,20260946,plangate_adaptive_light,light,2,50,0.1,workflow,travel,62,16,0,3,43,64,225.0,51,73.115,737.499
plangate_adaptive_light_C50_fr0.2_r0,20260852,plangate_adaptive_light,light,0,50,0.2,mode,ps,97,20,0,5,72,79,1418.3,92,70.071,735.227
plangate_adaptive_light_C50_fr0.2_r0,20260852,plangate_adaptive_light,light,0,50,0.2,mode,react,103,18,0,6,79,70,2280.1,103,41.331,674.139
plangate_adaptive_light_C50_fr0.2_r0,20260852,plangate_adaptive_light,light,0,50,0.2,workflow,order,69,15,0,2,52,62,1504.3,62,94.102,655.151
plangate_adaptive_light_C50_fr0.2_r0,20260852,plangate_adaptive_light,light,0,50,0.2,workflow,support,70,9,0,4,57,28,613.4,72,31.952,493.933
plangate_adaptive_light_C50_fr0.2_r0,20260852,plangate_adaptive_light,light,0,50,0.2,workflow,travel,61,14,0,5,42,59,1580.8,61,67.017,767.233
plangate_adaptive_light_C50_fr0.2_r1,20260949,plangate_adaptive_light,light,1,50,0.2,mode,ps,103,20,0,3,80,73,1140.2,94,40.358,647.539
plangate_adaptive_light_C50_fr0.2_r1,20260949,plangate_adaptive_light,light,1,50,0.2,mode,react,97,15,0,10,72,65,2983.5,112,32.978,592.938
plangate_adaptive_light_C50_fr0.2_r1,20260949,plangate_adaptive_light,light,1,50,0.2,workflow,order,67,12,0,4,51,52,2037.4,71,38.443,622.859
plangate_adaptive_light_C50_fr0.2_r1,20260949,plangate_adaptive_light,light,1,50,0.2,workflow,support,65,12,0,5,48,38,394.7,64,36.336,607.052
plangate_adaptive_light_C50_fr0.2_r1,20260949,plangate_adaptive_light,light,1,50,0.2,workflow,travel,68,11,0,4,53,48,1691.6,71,9.909,641.575
plangate_adaptive_light_C50_fr0.2_r2,20261046,plangate_adaptive_light,light,2,50,0.2,mode,ps,93,18,0,8,67,69,2469.2,94,34.87,726.227
plangate_adaptive_light_C50_fr0.2_r2,20261046,plangate_adaptive_light,light,2,50,0.2,mode,react,107,14,0,12,81,57,2511.0,126,38.398,573.084
plangate_adaptive_light_C50_fr0.2_r2,20261046,plangate_adaptive_light,light,2,50,0.2,workflow,order,65,9,0,4,52,37,1419.8,65,33.733,679.656
plangate_adaptive_light_C50_fr0.2_r2,20261046,plangate_adaptive_light,light,2,50,0.2,workflow,support,58,10,0,8,40,36,2721.1,75,43.038,622.109
plangate_adaptive_light_C50_fr0.2_r2,20261046,plangate_adaptive_light,light,2,50,0.2,workflow,travel,77,13,0,8,56,53,839.3,80,16.991,622.594
plangate_adaptive_light_C100_fr0.0_r0,20260702,plangate_adaptive_light,light,0,100,0.0,mode,ps,105,25,0,3,77,89,350.6,87,66.026,688.482
plangate_adaptive_light_C100_fr0.0_r0,20260702,plangate_adaptive_light,light,0,100,0.0,mode,react,95,19,0,1,75,73,1.2,77,71.556,701.558
plangate_adaptive_light_C100_fr0.0_r0,20260702,plangate_adaptive_light,light,0,100,0.0,workflow,order,74,15,0,1,58,60,1.2,60,69.191,659.521
