run_id,seed,variant,governance_intensity,repeat,sessions,concurrency,failure_rate,session_cap,adaptive_green_wait_ms,adaptive_yellow_wait_ms,adaptive_red_wait_ms,actual_gateway_flags,success,workflow_success_rate,admitted_sessions,admitted_success_rate,rejected_s0,rejected_s0_capacity,step0_reject_rate,partial,cascade_failed,client_rc,client_timed_out,error,side_effects_committed,duplicate_side_effect,recoverable_failures,terminal_failures,resume_attempted,resume_recovered,react_recovered_success,avoided_replay_steps,resume_continuation_started,resume_continuation_completed,post_resume_success,post_resume_cascade,wasted_service_ms,wasted_tool_calls,sla_violation_count,p50_ms,p95_ms,p99_ms,effective_goodput,p_and_s_sessions,react_sessions,travel_sessions,order_sessions,support_sessions
plangate_adaptive_light_C50_fr0.0_r0,20260652,plangate_adaptive_light,light,0,200,50,0.0,48,100,25,0,"session_cap=48,green=100,yellow=25,red=0",42,0.21,50,0.84,150,150,0.75,0,8,0,0,,156,0,0,0,0,0,0,0,0,0,0,0,145.0,169,0,95.945,713.082,781.644,13.0707,97,103,76,58,66
plangate_adaptive_light_C50_fr0.0_r1,20260749,plangate_adaptive_light,light,1,200,50,0.0,48,100,25,0,"session_cap=48,green=100,yellow=25,red=0",38,0.19,52,0.730769,148,148,0.74,0,14,0,0,,141,0,0,0,0,0,0,0,0,0,0,0,101.7,177,0,71.808,718.508,794.432,11.8241,108,92,62,74,64
plangate_adaptive_light_C50_fr0.0_r2,20260846,plangate_adaptive_light,light,2,200,50,0.0,48,100,25,0,"session_cap=48,green=100,yellow=25,red=0",43,0.215,54,0.796296,146,146,0.73,0,11,0,0,,160,0,0,0,0,0,0,0,0,0,0,0,106.0,170,0,76.019,693.804,793.143,13.5509,107,93,74,58,68
plangate_adaptive_light_C50_fr0.1_r0,20260752,plangate_adaptive_light,light,0,200,50,0.1,48,100,25,0,"session_cap=48,green=100,yellow=25,red=0",42,0.21,49,0.857143,151,151,0.755,0,7,0,0,,162,0,4,1,0,0,0,0,0,0,0,0,2125.4,181,0,75.841,660.757,774.331,13.8747,114,86,68,55,77
plangate_adaptive_light_C50_fr0.1_r1,20260849,plangate_adaptive_light,light,1,200,50,0.1,48,100,25,0,"session_cap=48,green=100,yellow=25,red=0",37,0.185,48,0.770833,152,152,0.76,0,11,0,0,,137,0,2,1,0,0,0,0,0,0,0,0,1506.4,183,0,56.599,671.38,775.184,12.3332,95,105,62,56,82
plangate_adaptive_light_C50_fr0.1_r2,20260946,plangate_adaptive_light,light,2,200,50,0.1,48,100,25,0,"session_cap=48,green=100,yellow=25,red=0",38,0.19,49,0.77551,151,151,0.755,0,11,0,0,,141,0,5,0,0,0,0,0,0,0,0,0,2125.1,185,0,60.665,691.442,789.112,12.2973,109,91,62,63,75
plangate_adaptive_light_C50_fr0.2_r0,20260852,plangate_adaptive_light,light,0,200,50,0.2,48,100,25,0,"session_cap=48,green=100,yellow=25,red=0",38,0.19,49,0.77551,151,151,0.755,0,11,0,0,,149,0,8,3,0,0,0,0,0,0,0,0,3698.4,195,0,53.229,696.287,785.799,11.7221,97,103,61,69,70
plangate_adaptive_light_C50_fr0.2_r1,20260949,plangate_adaptive_light,light,1,200,50,0.2,48,100,25,0,"session_cap=48,green=100,yellow=25,red=0",35,0.175,48,0.729167,152,152,0.76,0,13,0,0,,138,0,7,3,0,0,0,0,0,0,0,0,4123.7,206,0,36.134,628.24,752.707,11.6698,103,97,68,67,65
plangate_adaptive_light_C50_fr0.2_r2,20261046,plangate_adaptive_light,light,2,200,50,0.2,48,100,25,0,"session_cap=48,green=100,yellow=25,red=0",32,0.16,52,0.615385,148,148,0.74,0,20,0,0,,126,0,10,2,0,0,0,0,0,0,0,0,4980.2,220,0,35.107,623.675,789.006,9.9119,93,107,77,65,58
plangate_adaptive_light_C100_fr0.0_r0,20260702,plangate_adaptive_light,light,0,200,100,0.0,48,100,25,0,"session_cap=48,green=100,yellow=25,red=0",44,0.22,48,0.916667,152,152,0.76,0,4,0,0,,162,0,0,0,0,0,0,0,0,0,0,0,351.8,164,0,67.333,689.568,782.231,13.2052,105,95,65,74,61
