gateway,run_idx,sweep_key,sweep_val,success,rejected_s0,cascade_failed,raw_goodput,effective_goodput,raw_goodput_s,effective_goodput_s,p50_ms,p95_ms,p99_ms,e2e_p50_ms,e2e_p95_ms,e2e_p99_ms,jfi_steps,jfi_latency,csv,error
plangate_full,1,,,76,424,0,753.0,753.0,52.59,52.59,2.4,807.5,962.5,1442.7,2886.4,3830.3,0.9111,0.7418,plangate_full_run1.csv,
plangate_full,2,,,93,407,0,791.0,791.0,48.28,48.28,3.6,806.4,878.0,973.9,2734.1,3697.7,0.9203,0.6826,plangate_full_run2.csv,
plangate_full,3,,,97,403,0,1003.0,1003.0,62.24,62.24,5.5,935.5,1085.4,1783.9,3786.6,5262.5,0.9189,0.7342,plangate_full_run3.csv,
plangate_full,4,,,101,399,0,974.0,974.0,57.29,57.29,5.6,911.3,1080.7,1640.7,3532.4,4285.8,0.9265,0.7414,plangate_full_run4.csv,
plangate_full,5,,,86,414,0,803.0,803.0,56.52,56.52,4.2,811.3,962.6,1248.1,3069.7,3867.9,0.931,0.7198,plangate_full_run5.csv,
wo_commitment,1,,,79,421,0,721.0,721.0,50.3,50.3,2.4,806.5,929.9,1202.4,2674.1,2852.6,0.9221,0.7399,wo_commitment_run1.csv,
wo_commitment,2,,,88,412,0,854.0,854.0,50.76,50.76,4.3,806.6,915.1,1148.4,3134.3,3923.3,0.9174,0.6741,wo_commitment_run2.csv,
wo_commitment,3,,,83,417,0,719.0,719.0,53.65,53.65,3.1,806.8,971.9,1141.9,2875.8,3365.6,0.9261,0.7047,wo_commitment_run3.csv,
wo_commitment,4,,,89,411,0,779.0,779.0,54.23,54.23,3.6,806.2,891.8,1133.9,2725.4,3588.7,0.9237,0.7233,wo_commitment_run4.csv,
wo_commitment,5,,,72,428,0,728.0,728.0,44.26,44.26,2.3,806.5,840.1,1280.8,2602.1,3698.3,0.9252,0.7394,wo_commitment_run5.csv,
wo_amendment,1,,,97,403,0,943.0,943.0,63.17,63.17,5.5,1023.5,1433.0,2190.3,4335.0,5943.9,0.922,0.7418,wo_amendment_run1.csv,
wo_amendment,2,,,76,424,0,841.0,841.0,54.92,54.92,3.1,861.8,1370.2,1963.1,4005.2,5430.6,0.9387,0.7847,wo_amendment_run2.csv,
wo_amendment,3,,,92,408,0,918.0,918.0,58.41,58.41,4.5,1023.3,1291.1,1928.3,3635.9,4699.6,0.9189,0.7611,wo_amendment_run3.csv,
wo_amendment,4,,,92,408,0,821.0,821.0,57.88,57.88,5.0,806.7,872.7,995.6,2782.0,3767.4,0.9214,0.6954,wo_amendment_run4.csv,
wo_amendment,5,,,81,419,0,725.0,725.0,49.36,49.36,2.6,806.4,836.9,1051.4,2736.4,3571.3,0.9186,0.6525,wo_amendment_run5.csv,
wo_recovery,1,,,91,409,0,895.0,895.0,54.59,54.59,5.2,812.3,1029.8,1609.5,3389.7,3928.0,0.9356,0.7218,wo_recovery_run1.csv,
wo_recovery,2,,,93,406,1,854.0,853.0,57.35,57.28,5.3,975.1,1325.2,1781.1,4415.5,5044.8,0.9118,0.7057,wo_recovery_run2.csv,
wo_recovery,3,,,92,408,0,827.0,827.0,57.03,57.03,4.3,806.6,908.8,992.7,2789.4,3926.1,0.9113,0.6569,wo_recovery_run3.csv,
wo_recovery,4,,,74,426,0,721.0,721.0,51.69,51.69,2.3,807.0,929.9,1137.6,3232.4,3809.8,0.9186,0.7163,wo_recovery_run4.csv,
wo_recovery,5,,,90,410,0,881.0,881.0,57.42,57.42,5.3,933.7,1181.6,1885.5,3525.3,4326.3,0.9239,0.7388,wo_recovery_run5.csv,
