gateway,repeat,selected_tasks,duration_s,success,success_rate,abd,abd_total,cascade_failed,cascade_rate,all_rejected,step0_rejected,effective_goodput_s,p50_ms,p95_ms,client_rc,client_timed_out,error,backend_mode,task_set_sha256
ng,1,30,10.836,30,100.0,0.0,0.0,0,0.0,0,0,52.142158,183.508,914.982,0,0,,mock_sterile_single_machine,a02b549c93adb060dd08a005eeab57c1a57740849803264f93d613661f720311
ng,2,30,11.419,30,100.0,0.0,0.0,0,0.0,0,0,49.479219,188.924,888.661,0,0,,mock_sterile_single_machine,a02b549c93adb060dd08a005eeab57c1a57740849803264f93d613661f720311
ng,3,30,12.152,30,100.0,0.0,0.0,0,0.0,0,0,46.164674,188.438,896.165,0,0,,mock_sterile_single_machine,a02b549c93adb060dd08a005eeab57c1a57740849803264f93d613661f720311
static,1,30,10.896,30,100.0,0.0,0.0,0,0.0,0,0,51.853719,164.264,884.295,0,0,,mock_sterile_single_machine,a02b549c93adb060dd08a005eeab57c1a57740849803264f93d613661f720311
static,2,30,10.783,30,100.0,0.0,0.0,0,0.0,0,0,52.397372,165.581,893.559,0,0,,mock_sterile_single_machine,a02b549c93adb060dd08a005eeab57c1a57740849803264f93d613661f720311
static,3,30,12.038,30,100.0,0.0,0.0,0,0.0,0,0,46.603181,187.523,938.208,0,0,,mock_sterile_single_machine,a02b549c93adb060dd08a005eeab57c1a57740849803264f93d613661f720311
pp,1,30,11.23,30,100.0,0.0,0.0,0,0.0,0,0,50.312772,176.954,901.419,0,0,,mock_sterile_single_machine,a02b549c93adb060dd08a005eeab57c1a57740849803264f93d613661f720311
pp,2,30,11.1,30,100.0,0.0,0.0,0,0.0,0,0,50.901658,173.546,927.674,0,0,,mock_sterile_single_machine,a02b549c93adb060dd08a005eeab57c1a57740849803264f93d613661f720311
pp,3,30,12.248,30,100.0,0.0,0.0,0,0.0,0,0,45.803471,182.823,894.327,0,0,,mock_sterile_single_machine,a02b549c93adb060dd08a005eeab57c1a57740849803264f93d613661f720311
rajomon,1,30,10.949,30,100.0,0.0,0.0,0,0.0,0,0,51.603954,179.246,900.101,0,0,,mock_sterile_single_machine,a02b549c93adb060dd08a005eeab57c1a57740849803264f93d613661f720311
rajomon,2,30,10.763,30,100.0,0.0,0.0,0,0.0,0,0,52.492806,186.558,912.352,0,0,,mock_sterile_single_machine,a02b549c93adb060dd08a005eeab57c1a57740849803264f93d613661f720311
rajomon,3,30,11.856,30,100.0,0.0,0.0,0,0.0,0,0,47.315842,202.818,902.081,0,0,,mock_sterile_single_machine,a02b549c93adb060dd08a005eeab57c1a57740849803264f93d613661f720311
plangate_relaxed,1,30,10.101,27,90.0,10.0,10.0,3,10.0,0,0,50.686089,165.744,918.627,0,0,,mock_sterile_single_machine,a02b549c93adb060dd08a005eeab57c1a57740849803264f93d613661f720311
plangate_relaxed,2,30,6.422,14,46.667,39.13,39.13,9,30.0,7,7,42.977518,156.466,886.053,0,0,,mock_sterile_single_machine,a02b549c93adb060dd08a005eeab57c1a57740849803264f93d613661f720311
plangate_relaxed,3,30,8.921,17,56.667,15.0,15.0,3,10.0,10,10,37.439809,155.944,808.176,0,0,,mock_sterile_single_machine,a02b549c93adb060dd08a005eeab57c1a57740849803264f93d613661f720311
