run_id,seed,variant,repeat,sessions,total_sessions,concurrency,failure_rate,success,workflow_success_rate,admitted_sessions,admitted_success_rate,rejected_s0,step0_reject_rate,cascade_failed,partial,client_rc,client_timed_out,error,elapsed_s,throughput_workflows_s,effective_goodput,p50_ms,p95_ms,p99_ms,gateway_pid,backend_pid,resource_sample_interval_s,gateway_process_samples,backend_process_samples,gateway_cpu_delta_s,gateway_cpu_user_s,gateway_cpu_system_s,gateway_peak_rss_mb,gateway_avg_rss_mb,backend_cpu_delta_s,backend_peak_rss_mb,backend_avg_rss_mb,state_ops_available,state_store_ops,reservation_ops,checkpoint_writes,checkpoint_reads,checkpoint_deletes,commitment_token_validations,react_session_creates,react_session_releases,resume_attempted,resume_recovered,post_resume_success,duplicate_side_effect,side_effects_committed
baseline_gateway_C20_r0,20260622,baseline_gateway,0,1000,1000,20,0.0,1000,1.0,1000,1.0,0,0.0,0,0,0,0,,2.7568,362.7431,362.7431,10.652,22.62,77.003,38100,19724,0.2,13,13,3.2656,1.8438,1.4219,21.19,19.25,0.0,3.39,3.39,False,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1000
baseline_gateway_C20_r1,20260719,baseline_gateway,1,1000,1000,20,0.0,1000,1.0,1000,1.0,0,0.0,0,0,0,0,,2.4054,415.7357,415.7357,10.298,21.737,27.253,46400,19724,0.2,12,12,4.6094,3.0,1.6094,21.35,19.27,0.0,3.39,3.39,False,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1000
baseline_gateway_C20_r2,20260816,baseline_gateway,2,1000,1000,20,0.0,1000,1.0,1000,1.0,0,0.0,0,0,0,0,,2.328,429.5488,429.5488,10.138,20.587,27.932,15272,19724,0.2,12,12,4.0469,2.5469,1.5,20.95,19.13,0.0,3.39,3.39,False,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1000
baseline_gateway_C20_r3,20260913,baseline_gateway,3,1000,1000,20,0.0,1000,1.0,1000,1.0,0,0.0,0,0,0,0,,2.5095,398.491,398.491,10.943,21.777,26.476,47852,19724,0.2,12,12,4.1562,2.4375,1.7188,22.04,19.48,0.0,3.39,3.39,False,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1000
baseline_gateway_C20_r4,20261010,baseline_gateway,4,1000,1000,20,0.0,1000,1.0,1000,1.0,0,0.0,0,0,0,0,,2.3103,432.8521,432.8521,10.017,21.111,24.472,37620,19724,0.2,11,11,3.2656,2.0625,1.2031,21.65,19.4,0.0,3.39,3.39,False,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1000
baseline_gateway_C50_r0,20260652,baseline_gateway,0,1000,1000,50,0.0,1000,1.0,1000,1.0,0,0.0,0,0,0,0,,1.9101,523.5192,523.5192,20.13,42.393,66.185,11952,19724,0.2,10,10,4.0938,2.375,1.7188,30.53,26.37,0.0,3.36,3.36,False,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1000
baseline_gateway_C50_r1,20260749,baseline_gateway,1,1000,1000,50,0.0,1000,1.0,1000,1.0,0,0.0,0,0,0,0,,1.908,524.116,524.116,20.41,46.178,64.983,55596,19724,0.2,10,10,3.5156,2.0625,1.4531,29.58,25.99,0.0,3.36,3.36,False,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1000
baseline_gateway_C50_r2,20260846,baseline_gateway,2,1000,1000,50,0.0,1000,1.0,1000,1.0,0,0.0,0,0,0,0,,1.7842,560.4846,560.4846,18.944,38.66,68.773,31520,19724,0.2,9,9,4.2656,2.7344,1.5312,28.92,25.41,0.0,3.36,3.36,False,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1000
baseline_gateway_C50_r3,20260943,baseline_gateway,3,1000,1000,50,0.0,1000,1.0,1000,1.0,0,0.0,0,0,0,0,,1.7528,570.5043,570.5043,19.499,40.229,55.26,5988,19724,0.2,9,9,3.9531,2.4531,1.5,30.29,26.01,0.0,3.36,3.36,False,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1000
baseline_gateway_C50_r4,20261040,baseline_gateway,4,1000,1000,50,0.0,1000,1.0,1000,1.0,0,0.0,0,0,0,0,,1.8216,548.9574,548.9574,19.735,39.997,64.784,15604,19724,0.2,9,9,3.7656,2.125,1.6406,29.7,25.31,0.0,3.36,3.36,False,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1000
baseline_gateway_C100_r0,20260702,baseline_gateway,0,1000,1000,100,0.0,1000,1.0,1000,1.0,0,0.0,0,0,0,0,,1.7624,567.4219,567.4219,37.562,84.016,158.433,23072,19724,0.2,9,9,3.4688,2.0312,1.4375,41.79,34.86,0.0,3.36,3.36,False,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1000
baseline_gateway_C100_r1,20260799,baseline_gateway,1,1000,1000,100,0.0,1000,1.0,1000,1.0,0,0.0,0,0,0,0,,1.7696,565.1113,565.1113,38.171,85.661,180.136,36536,19724,0.2,9,9,4.4375,2.5625,1.875,40.45,33.97,0.0,3.36,3.36,False,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1000
baseline_gateway_C100_r2,20260896,baseline_gateway,2,1000,1000,100,0.0,1000,1.0,1000,1.0,0,0.0,0,0,0,0,,1.7871,559.566,559.566,36.927,86.089,161.899,23364,19724,0.2,9,9,4.0469,2.5156,1.5312,40.86,33.6,0.0,3.36,3.36,False,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1000
baseline_gateway_C100_r3,20260993,baseline_gateway,3,1000,1000,100,0.0,1000,1.0,1000,1.0,0,0.0,0,0,0,0,,1.9023,525.6823,525.6823,38.988,88.213,139.679,42720,19724,0.2,10,10,4.5625,2.6562,1.9062,42.34,35.59,0.0,3.36,3.36,False,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1000
baseline_gateway_C100_r4,20261090,baseline_gateway,4,1000,1000,100,0.0,1000,1.0,1000,1.0,0,0.0,0,0,0,0,,1.842,542.8817,542.8817,39.855,87.395,167.932,44568,19724,0.2,9,9,3.0781,1.6562,1.4219,40.37,33.92,0.0,3.36,3.36,False,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1000
plangate_adaptive_C20_r0,20260622,plangate_adaptive,0,1000,1000,20,0.0,1000,1.0,1000,1.0,0,0.0,0,0,0,0,,2.3671,422.4609,422.4609,9.65,20.3,24.725,22808,27616,0.2,12,12,4.9688,3.2969,1.6719,26.09,21.96,0.0,3.39,3.39,False,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1000
plangate_adaptive_C20_r1,20260719,plangate_adaptive,1,1000,1000,20,0.0,1000,1.0,1000,1.0,0,0.0,0,0,0,0,,2.2064,453.229,453.229,9.934,19.369,24.271,40076,27616,0.2,11,11,4.5156,2.7031,1.8125,25.36,21.49,0.0,3.39,3.39,False,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1000
plangate_adaptive_C20_r2,20260816,plangate_adaptive,2,1000,1000,20,0.0,1000,1.0,1000,1.0,0,0.0,0,0,0,0,,2.3037,434.0814,434.0814,10.092,20.842,26.654,43740,27616,0.2,12,12,4.375,3.0312,1.3438,26.61,21.99,0.0,3.39,3.39,False,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1000
plangate_adaptive_C20_r3,20260913,plangate_adaptive,3,1000,1000,20,0.0,1000,1.0,1000,1.0,0,0.0,0,0,0,0,,2.5743,388.4616,388.4616,11.425,22.132,27.86,36352,27616,0.2,13,13,5.7031,3.8594,1.8438,27.4,22.01,0.0,3.39,3.39,False,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1000
plangate_adaptive_C20_r4,20261010,plangate_adaptive,4,1000,1000,20,0.0,1000,1.0,1000,1.0,0,0.0,0,0,0,0,,2.2511,444.2221,444.2221,9.869,21.116,26.847,51584,27616,0.2,11,11,4.3438,2.5469,1.7969,25.9,21.71,0.0,3.39,3.39,False,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1000
plangate_adaptive_C50_r0,20260652,plangate_adaptive,0,1000,1000,50,0.0,1000,1.0,1000,1.0,0,0.0,0,0,0,0,,1.8479,541.1422,541.1422,19.828,39.088,60.46,43332,27616,0.2,9,9,3.5,2.25,1.25,33.99,28.72,0.0,3.36,3.36,False,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1000
plangate_adaptive_C50_r1,20260749,plangate_adaptive,1,1000,1000,50,0.0,1000,1.0,1000,1.0,0,0.0,0,0,0,0,,1.8062,553.6617,553.6617,19.394,38.834,66.496,11140,27616,0.2,9,9,4.2656,2.7812,1.4844,34.28,28.83,0.0,3.36,3.36,False,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1000
plangate_adaptive_C50_r2,20260846,plangate_adaptive,2,1000,1000,50,0.0,1000,1.0,1000,1.0,0,0.0,0,0,0,0,,1.8526,539.7743,539.7743,19.936,42.635,71.843,20668,27616,0.2,9,9,4.4062,2.9531,1.4531,34.54,28.34,0.0,3.36,3.36,False,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1000
plangate_adaptive_C50_r3,20260943,plangate_adaptive,3,1000,1000,50,0.0,1000,1.0,1000,1.0,0,0.0,0,0,0,0,,1.8388,543.825,543.825,19.983,39.721,70.822,40108,27616,0.2,9,9,4.4219,2.8594,1.5625,34.81,29.2,0.0,3.36,3.36,False,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1000
plangate_adaptive_C50_r4,20261040,plangate_adaptive,4,1000,1000,50,0.0,1000,1.0,1000,1.0,0,0.0,0,0,0,0,,1.9728,506.8933,506.8933,20.65,48.483,80.135,11500,27616,0.2,10,10,5.4531,3.75,1.7031,34.18,28.23,0.0,3.36,3.36,False,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1000
