gateway,run_idx,success,partial,all_rejected,error,cascade_failed,effective_goodput,effective_goodput_s,recovery_attempts,recovery_success,amendment_attempts,amendment_success,commitment_issued,v2_commitment_issued,commitment_required,client_rc,client_timed_out,csv,failure_rate,amendment_rate
plangate_full,1,190,10,0,,10,190,9.6356,27,17,2,2,192,2,1,0,0,results\p3_failure_amendment_grid\F0.1_A0.1\plangate_full\run1\plangate_ar\sessions.csv,0.1,0.1
plangate_full,2,175,25,0,,25,175,9.5273,42,17,2,2,178,2,1,0,0,results\p3_failure_amendment_grid\F0.1_A0.1\plangate_full\run2\plangate_ar\sessions.csv,0.1,0.1
plangate_full,3,189,11,0,,11,189,10.4191,30,19,2,2,190,2,1,0,0,results\p3_failure_amendment_grid\F0.1_A0.1\plangate_full\run3\plangate_ar\sessions.csv,0.1,0.1
wo_amendment,1,193,5,2,,7,193,10.594,25,18,2,0,195,0,1,0,0,results\p3_failure_amendment_grid\F0.1_A0.1\wo_amendment\run1\plangate_ar\sessions.csv,0.1,0.1
wo_amendment,2,185,13,2,,15,185,10.1507,31,16,2,0,189,0,1,0,0,results\p3_failure_amendment_grid\F0.1_A0.1\wo_amendment\run2\plangate_ar\sessions.csv,0.1,0.1
wo_amendment,3,187,11,2,,13,187,10.2667,28,15,2,0,192,0,1,0,0,results\p3_failure_amendment_grid\F0.1_A0.1\wo_amendment\run3\plangate_ar\sessions.csv,0.1,0.1
wo_commitment,1,188,10,2,,12,188,10.3806,29,17,0,0,0,0,0,0,0,results\p3_failure_amendment_grid\F0.1_A0.1\wo_commitment\run1\plangate_ar\sessions.csv,0.1,0.1
wo_commitment,2,185,13,2,,15,185,10.1234,23,8,0,0,0,0,0,0,0,results\p3_failure_amendment_grid\F0.1_A0.1\wo_commitment\run2\plangate_ar\sessions.csv,0.1,0.1
wo_commitment,3,189,9,2,,11,189,10.4016,29,18,0,0,0,0,0,0,0,results\p3_failure_amendment_grid\F0.1_A0.1\wo_commitment\run3\plangate_ar\sessions.csv,0.1,0.1
wo_recovery,1,162,36,2,,38,162,28.7381,38,0,2,0,180,0,1,0,0,results\p3_failure_amendment_grid\F0.1_A0.1\wo_recovery\run1\plangate_ar\sessions.csv,0.1,0.1
wo_recovery,2,175,23,2,,25,175,31.9953,25,0,2,0,195,0,1,0,0,results\p3_failure_amendment_grid\F0.1_A0.1\wo_recovery\run2\plangate_ar\sessions.csv,0.1,0.1
wo_recovery,3,174,24,2,,26,174,31.4757,26,0,2,0,197,0,1,0,0,results\p3_failure_amendment_grid\F0.1_A0.1\wo_recovery\run3\plangate_ar\sessions.csv,0.1,0.1
plangate_full,1,188,11,1,,12,188,10.3574,31,19,4,3,189,3,1,0,0,results\p3_failure_amendment_grid\F0.1_A0.2\plangate_full\run1\plangate_ar\sessions.csv,0.1,0.2
plangate_full,2,195,5,0,,5,195,10.8703,24,19,4,4,195,4,1,0,0,results\p3_failure_amendment_grid\F0.1_A0.2\plangate_full\run2\plangate_ar\sessions.csv,0.1,0.2
plangate_full,3,192,8,0,,8,192,10.388,28,20,4,4,192,4,1,0,0,results\p3_failure_amendment_grid\F0.1_A0.2\plangate_full\run3\plangate_ar\sessions.csv,0.1,0.2
wo_amendment,1,176,20,4,,24,176,9.4747,33,9,4,0,186,0,1,0,0,results\p3_failure_amendment_grid\F0.1_A0.2\wo_amendment\run1\plangate_ar\sessions.csv,0.1,0.2
wo_amendment,2,173,23,4,,27,173,9.5815,39,12,4,0,181,0,1,0,0,results\p3_failure_amendment_grid\F0.1_A0.2\wo_amendment\run2\plangate_ar\sessions.csv,0.1,0.2
wo_amendment,3,188,8,4,,12,188,10.394,28,16,4,0,192,0,1,0,0,results\p3_failure_amendment_grid\F0.1_A0.2\wo_amendment\run3\plangate_ar\sessions.csv,0.1,0.2
wo_commitment,1,175,21,4,,25,175,9.578,39,14,0,0,0,0,0,0,0,results\p3_failure_amendment_grid\F0.1_A0.2\wo_commitment\run1\plangate_ar\sessions.csv,0.1,0.2
wo_commitment,2,176,20,4,,24,176,9.6428,38,14,0,0,0,0,0,0,0,results\p3_failure_amendment_grid\F0.1_A0.2\wo_commitment\run2\plangate_ar\sessions.csv,0.1,0.2
wo_commitment,3,177,19,4,,23,177,9.6938,39,16,0,0,0,0,0,0,0,results\p3_failure_amendment_grid\F0.1_A0.2\wo_commitment\run3\plangate_ar\sessions.csv,0.1,0.2
wo_recovery,1,175,21,4,,25,175,34.4761,25,0,4,0,194,0,1,0,0,results\p3_failure_amendment_grid\F0.1_A0.2\wo_recovery\run1\plangate_ar\sessions.csv,0.1,0.2
wo_recovery,2,99,97,4,,101,99,19.7108,101,0,4,0,119,0,1,0,0,results\p3_failure_amendment_grid\F0.1_A0.2\wo_recovery\run2\plangate_ar\sessions.csv,0.1,0.2
wo_recovery,3,172,24,4,,28,172,30.1564,28,0,4,0,194,0,1,0,0,results\p3_failure_amendment_grid\F0.1_A0.2\wo_recovery\run3\plangate_ar\sessions.csv,0.1,0.2
plangate_full,1,192,8,0,,8,192,10.6276,45,37,4,4,194,4,1,0,0,results\p3_failure_amendment_grid\F0.2_A0.1\plangate_full\run1\plangate_ar\sessions.csv,0.2,0.1
plangate_full,2,190,10,0,,10,190,10.5209,46,36,4,4,191,4,1,0,0,results\p3_failure_amendment_grid\F0.2_A0.1\plangate_full\run2\plangate_ar\sessions.csv,0.2,0.1
plangate_full,3,184,15,1,,16,184,10.0904,52,36,4,3,188,3,1,0,0,results\p3_failure_amendment_grid\F0.2_A0.1\plangate_full\run3\plangate_ar\sessions.csv,0.2,0.1
wo_amendment,1,188,8,4,,12,188,10.3799,48,36,4,0,192,0,1,0,0,results\p3_failure_amendment_grid\F0.2_A0.1\wo_amendment\run1\plangate_ar\sessions.csv,0.2,0.1
wo_amendment,2,184,12,4,,16,184,10.0366,50,34,4,0,190,0,1,0,0,results\p3_failure_amendment_grid\F0.2_A0.1\wo_amendment\run2\plangate_ar\sessions.csv,0.2,0.1
wo_amendment,3,182,14,4,,18,182,9.9552,49,31,4,0,191,0,1,0,0,results\p3_failure_amendment_grid\F0.2_A0.1\wo_amendment\run3\plangate_ar\sessions.csv,0.2,0.1
