gateway,run_idx,success,partial,all_rejected,error,cascade_failed,effective_goodput,effective_goodput_s,recovery_attempts,recovery_success,amendment_attempts,amendment_success,commitment_issued,v2_commitment_issued,commitment_required,client_rc,client_timed_out,csv
plangate_full,1,195,5,0,,5,195,10.6796,45,40,8,8,196,8,1,0,0,D:\mcp版本备份\mcp-governance-main - A\results\p3_failure_mechanism_ablation\plangate_full\run1\plangate_ar\sessions.csv
plangate_full,2,189,10,1,,11,189,10.3266,48,37,8,7,192,7,1,0,0,D:\mcp版本备份\mcp-governance-main - A\results\p3_failure_mechanism_ablation\plangate_full\run2\plangate_ar\sessions.csv
plangate_full,3,193,7,0,,7,193,10.6341,44,37,8,8,196,8,1,0,0,D:\mcp版本备份\mcp-governance-main - A\results\p3_failure_mechanism_ablation\plangate_full\run3\plangate_ar\sessions.csv
wo_commitment,1,179,13,8,,21,179,9.7292,50,29,0,0,0,0,0,0,0,D:\mcp版本备份\mcp-governance-main - A\results\p3_failure_mechanism_ablation\wo_commitment\run1\plangate_ar\sessions.csv
wo_commitment,2,179,13,8,,21,179,9.756,49,28,0,0,0,0,0,0,0,D:\mcp版本备份\mcp-governance-main - A\results\p3_failure_mechanism_ablation\wo_commitment\run2\plangate_ar\sessions.csv
wo_commitment,3,178,14,8,,22,178,9.7552,50,28,0,0,0,0,0,0,0,D:\mcp版本备份\mcp-governance-main - A\results\p3_failure_mechanism_ablation\wo_commitment\run3\plangate_ar\sessions.csv
wo_amendment,1,180,12,8,,20,180,9.911,47,27,8,0,193,0,1,0,0,D:\mcp版本备份\mcp-governance-main - A\results\p3_failure_mechanism_ablation\wo_amendment\run1\plangate_ar\sessions.csv
wo_amendment,2,183,9,8,,17,183,9.981,48,31,8,0,192,0,1,0,0,D:\mcp版本备份\mcp-governance-main - A\results\p3_failure_mechanism_ablation\wo_amendment\run2\plangate_ar\sessions.csv
wo_amendment,3,186,6,8,,14,186,10.223,45,31,8,0,195,0,1,0,0,D:\mcp版本备份\mcp-governance-main - A\results\p3_failure_mechanism_ablation\wo_amendment\run3\plangate_ar\sessions.csv
wo_recovery,1,159,33,8,,41,159,28.3009,41,0,8,0,196,0,1,0,0,D:\mcp版本备份\mcp-governance-main - A\results\p3_failure_mechanism_ablation\wo_recovery\run1\plangate_ar\sessions.csv
wo_recovery,2,159,33,8,,41,159,29.4119,41,0,8,0,197,0,1,0,0,D:\mcp版本备份\mcp-governance-main - A\results\p3_failure_mechanism_ablation\wo_recovery\run2\plangate_ar\sessions.csv
wo_recovery,3,156,36,8,,44,156,28.7561,44,0,8,0,197,0,1,0,0,D:\mcp版本备份\mcp-governance-main - A\results\p3_failure_mechanism_ablation\wo_recovery\run3\plangate_ar\sessions.csv
