ci95_high_a,ci95_high_b,ci95_high_delta,ci95_low_a,ci95_low_b,ci95_low_delta,comparison,concurrency,delta,failure_rate,mean_a,mean_b,metric,metric_a_source,metric_b_source,n_a,n_b,variant_a,variant_b
31.4,29.6,4.0,30.2,27.2,1.0,request_queue_limit_vs_adaptive,50,2.4,0.0,30.8,28.4,success,success,success,5,5,request_queue_limit,plangate_adaptive
90.8,2.8,89.2,78.8,0.4,77.2,request_queue_limit_vs_adaptive,50,83.0,0.0,84.6,1.6,cascade_failed,cascade_failed,cascade_failed,5,5,request_queue_limit,plangate_adaptive
11741.06,256.66,11626.94,10448.36,1.06,10306.08,request_queue_limit_vs_adaptive,50,10959.12,0.0,11068.0,108.88,wasted_service_ms,wasted_service_ms,wasted_service_ms,5,5,request_queue_limit,plangate_adaptive
169.8,170.0,-0.2,168.6,170.0,-1.4,request_queue_limit_vs_adaptive,50,-0.8,0.0,169.2,170.0,rejected_events,request_level_rejected,rejected_s0,5,5,request_queue_limit,plangate_adaptive
27.8,25.8,4.6,26.2,22.6,1.2,request_queue_limit_vs_adaptive,50,3.0,0.2,27.0,24.0,success,success,success,5,5,request_queue_limit,plangate_adaptive
87.6,7.8,81.8,71.4,4.6,65.2,request_queue_limit_vs_adaptive,50,73.4,0.2,79.8,6.4,cascade_failed,cascade_failed,cascade_failed,5,5,request_queue_limit,plangate_adaptive
16343.96,1562.64,15117.84,14257.0,1042.3,12887.14,request_queue_limit_vs_adaptive,50,13995.52,0.2,15300.48,1304.96,wasted_service_ms,wasted_service_ms,wasted_service_ms,5,5,request_queue_limit,plangate_adaptive
165.0,170.0,-4.6,161.4,169.2,-8.2,request_queue_limit_vs_adaptive,50,-6.4,0.2,163.2,169.6,rejected_events,request_level_rejected,rejected_s0,5,5,request_queue_limit,plangate_adaptive
33.0,29.8,4.8,31.6,27.8,2.4,request_queue_limit_vs_adaptive,100,3.6,0.0,32.4,28.8,success,success,success,5,5,request_queue_limit,plangate_adaptive
75.0,2.2,73.8,64.0,0.2,62.8,request_queue_limit_vs_adaptive,100,68.6,0.0,69.8,1.2,cascade_failed,cascade_failed,cascade_failed,5,5,request_queue_limit,plangate_adaptive
6677.8,472.6,6549.98,5901.92,1.02,5622.4,request_queue_limit_vs_adaptive,100,6115.92,0.0,6300.46,184.54,wasted_service_ms,wasted_service_ms,wasted_service_ms,5,5,request_queue_limit,plangate_adaptive
168.4,170.0,-1.6,167.0,170.0,-3.0,request_queue_limit_vs_adaptive,100,-2.4,0.0,167.6,170.0,rejected_events,request_level_rejected,rejected_s0,5,5,request_queue_limit,plangate_adaptive
28.2,26.4,3.8,24.8,23.6,-0.8,request_queue_limit_vs_adaptive,100,1.4,0.2,26.4,25.0,success,success,success,5,5,request_queue_limit,plangate_adaptive
76.6,7.0,72.2,72.0,3.6,66.4,request_queue_limit_vs_adaptive,100,69.4,0.2,74.6,5.2,cascade_failed,cascade_failed,cascade_failed,5,5,request_queue_limit,plangate_adaptive
12548.26,1902.0,11366.76,8136.0,627.14,7011.76,request_queue_limit_vs_adaptive,100,9355.12,0.2,10573.42,1218.3,wasted_service_ms,wasted_service_ms,wasted_service_ms,5,5,request_queue_limit,plangate_adaptive
166.6,170.0,-3.2,162.4,169.4,-7.4,request_queue_limit_vs_adaptive,100,-5.2,0.2,164.6,169.8,rejected_events,request_level_rejected,rejected_s0,5,5,request_queue_limit,plangate_adaptive
31.4,37.6,5.6,30.2,25.2,-6.8,request_queue_limit_vs_no_capacity,50,-1.0,0.0,30.8,31.8,success,success,success,5,5,request_queue_limit,plangate_no_capacity_step0
90.6,45.0,64.2,78.8,22.0,37.2,request_queue_limit_vs_no_capacity,50,51.6,0.0,84.6,33.0,cascade_failed,cascade_failed,cascade_failed,5,5,request_queue_limit,plangate_no_capacity_step0
11741.06,435070.24,-276479.6,10448.36,287578.32,-441468.92,request_queue_limit_vs_no_capacity,50,-350263.68,0.0,11068.0,361331.68,wasted_service_ms,wasted_service_ms,wasted_service_ms,5,5,request_queue_limit,plangate_no_capacity_step0
169.8,143.2,42.0,168.6,127.2,26.0,request_queue_limit_vs_no_capacity,50,34.0,0.0,169.2,135.2,rejected_events,request_level_rejected,rejected_s0,5,5,request_queue_limit,plangate_no_capacity_step0
27.8,20.0,10.8,26.2,16.4,6.8,request_queue_limit_vs_no_capacity,50,8.8,0.2,27.0,18.2,success,success,success,5,5,request_queue_limit,plangate_no_capacity_step0
87.4,79.8,16.4,72.4,67.0,-4.0,request_queue_limit_vs_no_capacity,50,6.0,0.2,79.8,73.8,cascade_failed,cascade_failed,cascade_failed,5,5,request_queue_limit,plangate_no_capacity_step0
16403.32,511055.14,-391171.54,14257.0,406826.66,-495357.8,request_queue_limit_vs_no_capacity,50,-439522.86,0.2,15300.48,454823.34,wasted_service_ms,wasted_service_ms,wasted_service_ms,5,5,request_queue_limit,plangate_no_capacity_step0
165.0,114.6,61.0,161.4,102.6,48.6,request_queue_limit_vs_no_capacity,50,55.2,0.2,163.2,108.0,rejected_events,request_level_rejected,rejected_s0,5,5,request_queue_limit,plangate_no_capacity_step0
33.0,32.4,8.8,31.6,23.6,0.0,request_queue_limit_vs_no_capacity,100,4.4,0.0,32.4,28.0,success,success,success,5,5,request_queue_limit,plangate_no_capacity_step0
75.0,43.0,48.6,64.0,23.0,25.6,request_queue_limit_vs_no_capacity,100,38.0,0.0,69.8,31.8,cascade_failed,cascade_failed,cascade_failed,5,5,request_queue_limit,plangate_no_capacity_step0
6677.8,777844.3,-418466.14,5893.74,424833.58,-771602.48,request_queue_limit_vs_no_capacity,100,-585700.16,0.0,6300.46,592000.62,wasted_service_ms,wasted_service_ms,wasted_service_ms,5,5,request_queue_limit,plangate_no_capacity_step0
168.4,147.6,36.2,167.0,131.2,19.8,request_queue_limit_vs_no_capacity,100,27.4,0.0,167.6,140.2,rejected_events,request_level_rejected,rejected_s0,5,5,request_queue_limit,plangate_no_capacity_step0
28.2,24.2,6.0,24.8,21.2,1.4,request_queue_limit_vs_no_capacity,100,3.6,0.2,26.4,22.8,success,success,success,5,5,request_queue_limit,plangate_no_capacity_step0
76.6,48.4,49.6,72.2,25.4,25.8,request_queue_limit_vs_no_capacity,100,37.6,0.2,74.6,37.0,cascade_failed,cascade_failed,cascade_failed,5,5,request_queue_limit,plangate_no_capacity_step0
12548.26,674548.22,-405853.14,8256.88,416186.66,-663780.16,request_queue_limit_vs_no_capacity,100,-534794.02,0.2,10573.42,545367.44,wasted_service_ms,wasted_service_ms,wasted_service_ms,5,5,request_queue_limit,plangate_no_capacity_step0
166.6,152.0,36.8,162.4,128.4,12.2,request_queue_limit_vs_no_capacity,100,24.4,0.2,164.6,140.2,rejected_events,request_level_rejected,rejected_s0,5,5,request_queue_limit,plangate_no_capacity_step0
