run_id,seed,artifact,variant,repeat,sessions,concurrency,failure_rate,request_limit,request_queue_wait_ms,admission_scope,session_progress_available,recovery_enabled,continuation_value_enabled,success,partial,rejected,rejected_s0,request_level_rejected,cascade_failed,wasted_service_ms,wasted_tool_calls,workflow_success_rate,step0_reject_rate,admitted_sessions,admitted_success_rate,duplicate_side_effect,side_effects_committed,client_rc,client_timed_out,error,p50_ms,p95_ms,effective_goodput
request_queue_limit_C50_fr0.0_r0,20265605,request_level_baseline_v1,request_queue_limit,0,200,50,0.0,30,50,request,false,false,false,30,86,84,84,170,86,11776.0,312,0.15,0.42,116,0.258621,0,115,0,0,,86.846,625.209,9.2322
request_queue_limit_C50_fr0.0_r1,20265622,request_level_baseline_v1,request_queue_limit,1,200,50,0.0,30,50,request,false,false,false,31,80,89,89,169,80,10062.5,297,0.155,0.445,111,0.279279,0,117,0,0,,84.734,690.022,8.8407
request_queue_limit_C50_fr0.0_r2,20265639,request_level_baseline_v1,request_queue_limit,2,200,50,0.0,30,50,request,false,false,false,31,96,73,73,169,96,12078.5,326,0.155,0.365,127,0.244094,0,117,0,0,,83.766,646.746,9.2137
request_queue_limit_C50_fr0.0_r3,20265656,request_level_baseline_v1,request_queue_limit,3,200,50,0.0,30,50,request,false,false,false,30,85,85,85,170,85,10693.8,306,0.15,0.425,115,0.26087,0,111,0,0,,79.047,665.511,8.6986
request_queue_limit_C50_fr0.0_r4,20265673,request_level_baseline_v1,request_queue_limit,4,200,50,0.0,30,50,request,false,false,false,32,76,92,92,168,76,10729.2,289,0.16,0.46,108,0.296296,0,118,0,0,,84.42,656.144,8.8302
request_queue_limit_C50_fr0.2_r0,20265805,request_level_baseline_v1,request_queue_limit,0,200,50,0.2,30,50,request,false,false,false,26,94,80,80,161,94,16391.9,348,0.13,0.4,120,0.216667,0,117,0,0,,76.664,571.852,7.4452
request_queue_limit_C50_fr0.2_r1,20265822,request_level_baseline_v1,request_queue_limit,1,200,50,0.2,30,50,request,false,false,false,27,82,91,91,163,82,17002.0,323,0.135,0.455,109,0.247706,0,112,0,0,,77.669,559.655,8.3707
request_queue_limit_C50_fr0.2_r2,20265839,request_level_baseline_v1,request_queue_limit,2,200,50,0.2,30,50,request,false,false,false,26,67,107,107,165,67,14932.0,315,0.13,0.535,93,0.27957,0,101,0,0,,75.062,638.533,7.3935
request_queue_limit_C50_fr0.2_r3,20265856,request_level_baseline_v1,request_queue_limit,3,200,50,0.2,30,50,request,false,false,false,28,73,99,99,161,73,13557.8,300,0.14,0.495,101,0.277228,0,115,0,0,,76.822,618.944,7.4957
request_queue_limit_C50_fr0.2_r4,20265873,request_level_baseline_v1,request_queue_limit,4,200,50,0.2,30,50,request,false,false,false,28,83,89,89,166,83,14618.7,321,0.14,0.445,111,0.252252,0,109,0,0,,78.1,636.195,8.9116
request_queue_limit_C100_fr0.0_r0,20270605,request_level_baseline_v1,request_queue_limit,0,200,100,0.0,30,50,request,false,false,false,33,73,94,94,167,73,6849.4,250,0.165,0.47,106,0.311321,0,124,0,0,,130.191,623.498,9.4916
request_queue_limit_C100_fr0.0_r1,20270622,request_level_baseline_v1,request_queue_limit,1,200,100,0.0,30,50,request,false,false,false,33,75,92,92,167,75,6032.5,249,0.165,0.46,108,0.305556,0,121,0,0,,129.816,666.8,9.6827
request_queue_limit_C100_fr0.0_r2,20270639,request_level_baseline_v1,request_queue_limit,2,200,100,0.0,30,50,request,false,false,false,32,76,92,92,168,76,6367.4,254,0.16,0.46,108,0.296296,0,119,0,0,,120.102,674.603,9.6287
request_queue_limit_C100_fr0.0_r3,20270656,request_level_baseline_v1,request_queue_limit,3,200,100,0.0,30,50,request,false,false,false,33,60,107,107,167,60,5591.6,238,0.165,0.535,93,0.354839,0,120,0,0,,123.757,633.442,9.2242
request_queue_limit_C100_fr0.0_r4,20270673,request_level_baseline_v1,request_queue_limit,4,200,100,0.0,30,50,request,false,false,false,31,65,104,104,169,65,6661.4,245,0.155,0.52,96,0.322917,0,115,0,0,,127.008,661.851,9.3201
request_queue_limit_C100_fr0.2_r0,20270805,request_level_baseline_v1,request_queue_limit,0,200,100,0.2,30,50,request,false,false,false,24,75,101,101,166,75,13558.5,286,0.12,0.505,99,0.242424,0,97,0,0,,123.207,547.824,7.9001
request_queue_limit_C100_fr0.2_r1,20270822,request_level_baseline_v1,request_queue_limit,1,200,100,0.2,30,50,request,false,false,false,25,76,99,99,161,76,11048.4,287,0.125,0.495,101,0.247525,0,106,0,0,,97.779,436.477,8.4271
request_queue_limit_C100_fr0.2_r2,20270839,request_level_baseline_v1,request_queue_limit,2,200,100,0.2,30,50,request,false,false,false,27,74,99,99,165,74,10413.0,276,0.135,0.495,101,0.267327,0,106,0,0,,96.667,568.21,7.9615
request_queue_limit_C100_fr0.2_r3,20270856,request_level_baseline_v1,request_queue_limit,3,200,100,0.2,30,50,request,false,false,false,30,70,100,100,163,70,6194.4,254,0.15,0.5,100,0.3,0,112,0,0,,112.899,608.24,9.8591
request_queue_limit_C100_fr0.2_r4,20270873,request_level_baseline_v1,request_queue_limit,4,200,100,0.2,30,50,request,false,false,false,26,78,96,96,168,78,11652.8,282,0.13,0.48,104,0.25,0,102,0,0,,114.101,605.769,8.4823
