concurrency,gateway,runs,success_mean,partial_mean,all_rejected_mean,error_mean,abd_total_mean,success_rate_mean,cascade_agents_mean,cascade_steps_mean,eff_gps_mean,p50_ms_mean,p95_ms_mean,http_429_count_mean,client_rc_mean,client_timed_out_mean
8,ng,3,63.0,16.0,1.0,0.0,20.23,78.77,17.0,64.0,0.52,74217.33,199740.33,0.0,0.0,0.0
8,plangate_relaxed,3,62.33,15.67,2.0,0.0,20.1,77.93,17.67,56.33,0.53,83701.67,206334.67,0.0,0.0,0.0
8,pp,3,72.0,7.67,0.33,0.0,9.63,90.0,8.0,24.67,0.68,64711.33,205838.0,0.0,0.0,0.0
8,rajomon,3,73.0,6.33,0.67,0.0,7.97,91.27,7.0,25.33,0.67,71519.67,204916.33,0.0,0.0,0.0
8,static,3,70.0,9.33,0.67,0.0,11.73,87.5,10.0,32.67,0.6,80606.67,225401.33,0.0,0.0,0.0
12,ng,3,18.67,53.33,8.0,0.0,74.1,23.33,61.33,148.33,0.11,87580.33,178529.0,0.0,0.0,0.0
12,plangate_relaxed,3,25.33,46.33,8.33,0.0,64.5,31.67,54.67,131.67,0.17,82880.0,176168.0,0.0,0.0,0.0
12,pp,3,18.33,52.33,9.33,0.0,74.33,22.93,61.67,139.0,0.09,84800.0,176561.33,0.0,0.0,0.0
12,rajomon,3,30.33,43.67,6.0,0.0,59.23,37.9,49.67,132.0,0.21,89316.67,205281.67,0.0,0.0,0.0
12,static,3,22.67,51.67,5.67,0.0,69.57,28.33,57.33,138.33,0.14,78703.0,176399.33,0.0,0.0,0.0
16,ng,3,14.0,56.0,10.0,0.0,80.17,17.53,66.0,131.0,0.08,91864.33,187629.67,0.0,0.0,0.0
16,plangate_relaxed,3,20.33,51.0,8.67,0.0,71.67,25.4,59.67,139.33,0.13,74007.0,185684.67,0.0,0.0,0.0
16,pp,3,15.67,52.67,11.67,0.0,77.03,19.57,64.33,126.67,0.09,96259.0,226438.33,0.0,0.0,0.0
16,rajomon,3,13.0,55.0,12.0,0.0,80.97,16.27,67.0,141.33,0.07,81950.67,188057.0,0.0,0.0,0.0
16,static,3,12.0,49.33,18.67,0.0,80.5,15.03,68.0,128.0,0.05,76362.67,175818.0,0.0,0.0,0.0
20,ng,3,13.0,53.33,13.67,0.0,80.37,16.27,67.0,133.33,0.1,103317.33,186830.67,0.0,0.0,0.0
20,plangate_relaxed,3,22.67,49.33,8.0,0.0,68.43,28.3,57.33,134.33,0.2,88071.0,163655.67,0.0,0.0,0.0
20,pp,3,15.33,53.33,11.33,0.0,77.87,19.2,64.67,136.67,0.12,84559.33,157831.67,0.0,0.0,0.0
20,rajomon,3,18.67,50.33,11.0,0.0,73.0,23.33,61.33,145.67,0.14,90259.33,194178.0,0.0,0.0,0.0
20,static,3,12.67,56.67,10.67,0.0,81.73,15.83,67.33,141.67,0.1,93002.67,173918.33,0.0,0.0,0.0
