concurrency,gateway,run,success,partial,all_rejected,error,abd_total,success_rate,cascade_agents,cascade_steps,eff_gps,p50_ms,p95_ms,http_429_count,client_rc,client_timed_out,csv
8,ng,1,67,13,0,0,16.2,83.8,13,53,0.6,73103.0,199986.0,0,0,0,results\exp_selfhosted_vllm_profile_sweep\C8\ng\run1\steps.csv
8,ng,2,62,15,3,0,19.5,77.5,18,51,0.52,69245.0,216050.0,0,0,0,results\exp_selfhosted_vllm_profile_sweep\C8\ng\run2\steps.csv
8,ng,3,60,20,0,0,25.0,75.0,20,88,0.45,80304.0,183185.0,0,0,0,results\exp_selfhosted_vllm_profile_sweep\C8\ng\run3\steps.csv
8,plangate_relaxed,1,65,14,1,0,17.7,81.2,15,43,0.63,83083.0,214677.0,0,0,0,results\exp_selfhosted_vllm_profile_sweep\C8\plangate_relaxed\run1\steps.csv
8,plangate_relaxed,2,63,15,2,0,19.2,78.8,17,49,0.52,84543.0,186430.0,0,0,0,results\exp_selfhosted_vllm_profile_sweep\C8\plangate_relaxed\run2\steps.csv
8,plangate_relaxed,3,59,18,3,0,23.4,73.8,21,77,0.43,83479.0,217897.0,0,0,0,results\exp_selfhosted_vllm_profile_sweep\C8\plangate_relaxed\run3\steps.csv
8,pp,1,75,5,0,0,6.2,93.8,5,12,0.71,64715.0,208016.0,0,0,0,results\exp_selfhosted_vllm_profile_sweep\C8\pp\run1\steps.csv
8,pp,2,73,7,0,0,8.8,91.2,7,25,0.71,65697.0,209595.0,0,0,0,results\exp_selfhosted_vllm_profile_sweep\C8\pp\run2\steps.csv
8,pp,3,68,11,1,0,13.9,85.0,12,37,0.61,63722.0,199903.0,0,0,0,results\exp_selfhosted_vllm_profile_sweep\C8\pp\run3\steps.csv
8,rajomon,1,76,3,1,0,3.8,95.0,4,16,0.62,65258.0,225262.0,0,0,0,results\exp_selfhosted_vllm_profile_sweep\C8\rajomon\run1\steps.csv
8,rajomon,2,72,8,0,0,10.0,90.0,8,31,0.69,65523.0,213440.0,0,0,0,results\exp_selfhosted_vllm_profile_sweep\C8\rajomon\run2\steps.csv
8,rajomon,3,71,8,1,0,10.1,88.8,9,29,0.71,83778.0,176047.0,0,0,0,results\exp_selfhosted_vllm_profile_sweep\C8\rajomon\run3\steps.csv
8,static,1,71,8,1,0,10.1,88.8,9,22,0.64,85122.0,192865.0,0,0,0,results\exp_selfhosted_vllm_profile_sweep\C8\static\run1\steps.csv
8,static,2,66,14,0,0,17.5,82.5,14,54,0.51,82983.0,231138.0,0,0,0,results\exp_selfhosted_vllm_profile_sweep\C8\static\run2\steps.csv
8,static,3,73,6,1,0,7.6,91.2,7,22,0.65,73715.0,252201.0,0,0,0,results\exp_selfhosted_vllm_profile_sweep\C8\static\run3\steps.csv
12,ng,1,12,59,9,0,83.1,15.0,68,165,0.06,82132.0,170092.0,0,0,0,results\exp_selfhosted_vllm_profile_sweep\C12\ng\run1\steps.csv
12,ng,2,26,46,8,0,63.9,32.5,54,130,0.16,83100.0,173119.0,0,0,0,results\exp_selfhosted_vllm_profile_sweep\C12\ng\run2\steps.csv
12,ng,3,18,55,7,0,75.3,22.5,62,150,0.11,97509.0,192376.0,0,0,0,results\exp_selfhosted_vllm_profile_sweep\C12\ng\run3\steps.csv
12,plangate_relaxed,1,24,46,10,0,65.7,30.0,56,112,0.17,78474.0,191690.0,0,0,0,results\exp_selfhosted_vllm_profile_sweep\C12\plangate_relaxed\run1\steps.csv
12,plangate_relaxed,2,30,40,10,0,57.1,37.5,50,112,0.21,82168.0,192291.0,0,0,0,results\exp_selfhosted_vllm_profile_sweep\C12\plangate_relaxed\run2\steps.csv
12,plangate_relaxed,3,22,53,5,0,70.7,27.5,58,171,0.13,87998.0,144523.0,0,0,0,results\exp_selfhosted_vllm_profile_sweep\C12\plangate_relaxed\run3\steps.csv
12,pp,1,11,59,10,0,84.3,13.8,69,146,0.04,77970.0,113293.0,0,0,0,results\exp_selfhosted_vllm_profile_sweep\C12\pp\run1\steps.csv
12,pp,2,15,53,12,0,77.9,18.8,65,139,0.07,98658.0,180991.0,0,0,0,results\exp_selfhosted_vllm_profile_sweep\C12\pp\run2\steps.csv
12,pp,3,29,45,6,0,60.8,36.2,51,132,0.15,77772.0,235400.0,0,0,0,results\exp_selfhosted_vllm_profile_sweep\C12\pp\run3\steps.csv
12,rajomon,1,32,42,6,0,56.8,40.0,48,135,0.24,89846.0,213724.0,0,0,0,results\exp_selfhosted_vllm_profile_sweep\C12\rajomon\run1\steps.csv
12,rajomon,2,22,49,9,0,69.0,27.5,58,139,0.12,88798.0,175544.0,0,0,0,results\exp_selfhosted_vllm_profile_sweep\C12\rajomon\run2\steps.csv
12,rajomon,3,37,40,3,0,51.9,46.2,43,122,0.26,89306.0,226577.0,0,0,0,results\exp_selfhosted_vllm_profile_sweep\C12\rajomon\run3\steps.csv
12,static,1,28,48,4,0,63.2,35.0,52,124,0.21,90993.0,167181.0,0,0,0,results\exp_selfhosted_vllm_profile_sweep\C12\static\run1\steps.csv
12,static,2,21,52,7,0,71.2,26.2,59,146,0.11,71057.0,187163.0,0,0,0,results\exp_selfhosted_vllm_profile_sweep\C12\static\run2\steps.csv
12,static,3,19,55,6,0,74.3,23.8,61,145,0.09,74059.0,174854.0,0,0,0,results\exp_selfhosted_vllm_profile_sweep\C12\static\run3\steps.csv
16,ng,1,15,58,7,0,79.5,18.8,65,133,0.09,97991.0,164511.0,0,0,0,results\exp_selfhosted_vllm_profile_sweep\C16\ng\run1\steps.csv
16,ng,2,11,51,18,0,82.3,13.8,69,124,0.06,83455.0,199360.0,0,0,0,results\exp_selfhosted_vllm_profile_sweep\C16\ng\run2\steps.csv
16,ng,3,16,59,5,0,78.7,20.0,64,136,0.08,94147.0,199018.0,0,0,0,results\exp_selfhosted_vllm_profile_sweep\C16\ng\run3\steps.csv
16,plangate_relaxed,1,15,53,12,0,77.9,18.8,65,142,0.08,73208.0,176070.0,0,0,0,results\exp_selfhosted_vllm_profile_sweep\C16\plangate_relaxed\run1\steps.csv
16,plangate_relaxed,2,21,50,9,0,70.4,26.2,59,121,0.15,77179.0,210981.0,0,0,0,results\exp_selfhosted_vllm_profile_sweep\C16\plangate_relaxed\run2\steps.csv
16,plangate_relaxed,3,25,50,5,0,66.7,31.2,55,155,0.16,71634.0,170003.0,0,0,0,results\exp_selfhosted_vllm_profile_sweep\C16\plangate_relaxed\run3\steps.csv
16,pp,1,13,57,10,0,81.4,16.2,67,126,0.05,80317.0,171658.0,0,0,0,results\exp_selfhosted_vllm_profile_sweep\C16\pp\run1\steps.csv
16,pp,2,16,50,14,0,75.8,20.0,64,122,0.11,105993.0,210132.0,0,0,0,results\exp_selfhosted_vllm_profile_sweep\C16\pp\run2\steps.csv
16,pp,3,18,51,11,0,73.9,22.5,62,132,0.12,102467.0,297525.0,0,0,0,results\exp_selfhosted_vllm_profile_sweep\C16\pp\run3\steps.csv
16,rajomon,1,10,55,15,0,84.6,12.5,70,125,0.04,63461.0,295213.0,0,0,0,results\exp_selfhosted_vllm_profile_sweep\C16\rajomon\run1\steps.csv
16,rajomon,2,15,55,10,0,78.6,18.8,65,148,0.11,96067.0,156120.0,0,0,0,results\exp_selfhosted_vllm_profile_sweep\C16\rajomon\run2\steps.csv
16,rajomon,3,14,55,11,0,79.7,17.5,66,151,0.06,86324.0,112838.0,0,0,0,results\exp_selfhosted_vllm_profile_sweep\C16\rajomon\run3\steps.csv
16,static,1,11,50,19,0,82.0,13.8,69,132,0.04,76691.0,155833.0,0,0,0,results\exp_selfhosted_vllm_profile_sweep\C16\static\run1\steps.csv
16,static,2,14,53,13,0,79.1,17.5,66,127,0.05,74760.0,258731.0,0,0,0,results\exp_selfhosted_vllm_profile_sweep\C16\static\run2\steps.csv
