experiment,group_key,metric,n,mean,std,ci95_low,ci95_high,source_csv,descriptive_only,evidence_role
exp1_core,gateway=ng,success,5,28.200000,3.962323,24.800000,31.000000,artifact_results/mock_regression_p4_refresh_v1/exp1_core_summary.csv,false,core_or_boundary
exp1_core,gateway=ng,rejected_s0,5,308.400000,7.602631,301.600000,312.600000,artifact_results/mock_regression_p4_refresh_v1/exp1_core_summary.csv,false,core_or_boundary
exp1_core,gateway=ng,cascade_failed,5,163.400000,6.767570,158.400000,169.000000,artifact_results/mock_regression_p4_refresh_v1/exp1_core_summary.csv,false,core_or_boundary
exp1_core,gateway=ng,effective_goodput_s,5,16.348000,2.765080,14.226000,18.470000,artifact_results/mock_regression_p4_refresh_v1/exp1_core_summary.csv,false,core_or_boundary
exp1_core,gateway=ng,p50_ms,5,1015.540000,0.482701,1015.180000,1015.940000,artifact_results/mock_regression_p4_refresh_v1/exp1_core_summary.csv,false,core_or_boundary
exp1_core,gateway=ng,p95_ms,5,1984.100000,11.491301,1974.580000,1992.720000,artifact_results/mock_regression_p4_refresh_v1/exp1_core_summary.csv,false,core_or_boundary
exp1_core,gateway=plangate_full,success,5,84.400000,7.503333,78.400000,90.200000,artifact_results/mock_regression_p4_refresh_v1/exp1_core_summary.csv,false,core_or_boundary
exp1_core,gateway=plangate_full,rejected_s0,5,415.400000,7.829432,409.200000,421.800000,artifact_results/mock_regression_p4_refresh_v1/exp1_core_summary.csv,false,core_or_boundary
exp1_core,gateway=plangate_full,cascade_failed,5,0.200000,0.447214,0.000000,0.600000,artifact_results/mock_regression_p4_refresh_v1/exp1_core_summary.csv,false,core_or_boundary
exp1_core,gateway=plangate_full,effective_goodput_s,5,54.760000,7.113160,48.490000,59.794000,artifact_results/mock_regression_p4_refresh_v1/exp1_core_summary.csv,false,core_or_boundary
exp1_core,gateway=plangate_full,p50_ms,5,3.620000,1.084896,2.900000,4.560000,artifact_results/mock_regression_p4_refresh_v1/exp1_core_summary.csv,false,core_or_boundary
exp1_core,gateway=plangate_full,p95_ms,5,864.200000,91.316674,806.720000,947.840000,artifact_results/mock_regression_p4_refresh_v1/exp1_core_summary.csv,false,core_or_boundary
exp1_core,gateway=sbac,success,5,68.800000,1.643168,67.400000,69.800000,artifact_results/mock_regression_p4_refresh_v1/exp1_core_summary.csv,false,core_or_boundary
exp1_core,gateway=sbac,rejected_s0,5,383.600000,3.209361,381.200000,386.200000,artifact_results/mock_regression_p4_refresh_v1/exp1_core_summary.csv,false,core_or_boundary
exp1_core,gateway=sbac,cascade_failed,5,47.600000,3.209361,44.800000,49.400000,artifact_results/mock_regression_p4_refresh_v1/exp1_core_summary.csv,false,core_or_boundary
exp1_core,gateway=sbac,effective_goodput_s,5,45.358000,0.543434,45.000000,45.830000,artifact_results/mock_regression_p4_refresh_v1/exp1_core_summary.csv,false,core_or_boundary
exp1_core,gateway=sbac,p50_ms,5,371.040000,131.355312,263.940000,458.200000,artifact_results/mock_regression_p4_refresh_v1/exp1_core_summary.csv,false,core_or_boundary
exp1_core,gateway=sbac,p95_ms,5,1379.100000,31.231314,1355.500000,1402.660000,artifact_results/mock_regression_p4_refresh_v1/exp1_core_summary.csv,false,core_or_boundary
exp1_core,gateway=srl,success,5,43.200000,3.563706,40.400000,46.000000,artifact_results/mock_regression_p4_refresh_v1/exp1_core_summary.csv,false,core_or_boundary
exp1_core,gateway=srl,rejected_s0,5,314.000000,5.147815,310.000000,318.000000,artifact_results/mock_regression_p4_refresh_v1/exp1_core_summary.csv,false,core_or_boundary
exp1_core,gateway=srl,cascade_failed,5,142.800000,3.898718,140.000000,146.000000,artifact_results/mock_regression_p4_refresh_v1/exp1_core_summary.csv,false,core_or_boundary
exp1_core,gateway=srl,effective_goodput_s,5,24.856000,2.300985,23.188000,26.784000,artifact_results/mock_regression_p4_refresh_v1/exp1_core_summary.csv,false,core_or_boundary
exp1_core,gateway=srl,p50_ms,5,1014.580000,0.449444,1014.240000,1014.960000,artifact_results/mock_regression_p4_refresh_v1/exp1_core_summary.csv,false,core_or_boundary
exp1_core,gateway=srl,p95_ms,5,1913.180000,13.020637,1903.220000,1923.140000,artifact_results/mock_regression_p4_refresh_v1/exp1_core_summary.csv,false,core_or_boundary
exp4_ablation,gateway=plangate_full,success,5,88.600000,7.829432,82.400000,94.800000,artifact_results/mock_regression_p4_refresh_v1/exp4_ablation_summary.csv,false,core_or_boundary
exp4_ablation,gateway=plangate_full,cascade_failed,5,0.000000,0.000000,0.000000,0.000000,artifact_results/mock_regression_p4_refresh_v1/exp4_ablation_summary.csv,false,core_or_boundary
exp4_ablation,gateway=plangate_full,effective_goodput_s,5,56.846000,3.305901,54.350000,59.368000,artifact_results/mock_regression_p4_refresh_v1/exp4_ablation_summary.csv,false,core_or_boundary
exp4_ablation,gateway=plangate_full,p95_ms,5,880.920000,101.314471,814.280000,971.180000,artifact_results/mock_regression_p4_refresh_v1/exp4_ablation_summary.csv,false,core_or_boundary
exp4_ablation,gateway=wo_budgetlock,success,5,21.200000,1.923538,19.600000,22.400000,artifact_results/mock_regression_p4_refresh_v1/exp4_ablation_summary.csv,false,core_or_boundary
