experiment,evidence_role,source_artifact,comparison,metric,group_a,group_b,n_a,n_b,mean_a,mean_b,delta,relative_delta_pct,ci95_low_delta,ci95_high_delta,descriptive_only,interpretation,claim_boundary
business_workflow_service,core_service_workflow,business_workflow_service_v3,business_adaptive_vs_no_capacity_C50_F0.0,workflow_success_rate,plangate_adaptive,plangate_no_capacity_step0,5,5,0.142000,0.159000,-0.017000,-10.691824,-0.047000,0.016000,false,mixed_or_boundary,Primary governance trade-off; raw workflow success can favor no-capacity in some cells.
business_workflow_service,core_service_workflow,business_workflow_service_v3,business_adaptive_vs_strict_C50_F0.0,workflow_success_rate,plangate_adaptive,plangate_strict,5,5,0.142000,0.150000,-0.008000,-5.333333,-0.014000,-0.002000,false,negative_for_group_a,Adaptive-vs-strict boundary; use as trade-off evidence.
business_workflow_service,core_service_workflow,business_workflow_service_v3,business_adaptive_vs_no_capacity_C50_F0.0,admitted_success_rate,plangate_adaptive,plangate_no_capacity_step0,5,5,0.946667,0.508101,0.438566,86.314650,0.308363,0.583140,false,positive_for_group_a,Primary governance trade-off; raw workflow success can favor no-capacity in some cells.
business_workflow_service,core_service_workflow,business_workflow_service_v3,business_adaptive_vs_strict_C50_F0.0,admitted_success_rate,plangate_adaptive,plangate_strict,5,5,0.946667,1.000000,-0.053333,-5.333340,-0.093333,-0.013333,false,negative_for_group_a,Adaptive-vs-strict boundary; use as trade-off evidence.
business_workflow_service,core_service_workflow,business_workflow_service_v3,business_adaptive_vs_no_capacity_C50_F0.0,cascade_failed,plangate_adaptive,plangate_no_capacity_step0,5,5,1.600000,33.000000,-31.400000,-95.151515,-43.800000,-20.000000,false,positive_for_group_a,Primary governance trade-off; raw workflow success can favor no-capacity in some cells.
business_workflow_service,core_service_workflow,business_workflow_service_v3,business_adaptive_vs_strict_C50_F0.0,cascade_failed,plangate_adaptive,plangate_strict,5,5,1.600000,0.000000,1.600000,,0.400000,2.800000,false,negative_for_group_a,Adaptive-vs-strict boundary; use as trade-off evidence.
business_workflow_service,core_service_workflow,business_workflow_service_v3,business_adaptive_vs_no_capacity_C50_F0.0,wasted_service_ms,plangate_adaptive,plangate_no_capacity_step0,5,5,108.880000,361331.680000,-361222.800000,-99.969867,-434993.700000,-287533.680000,false,positive_for_group_a,Primary governance trade-off; raw workflow success can favor no-capacity in some cells.
business_workflow_service,core_service_workflow,business_workflow_service_v3,business_adaptive_vs_strict_C50_F0.0,wasted_service_ms,plangate_adaptive,plangate_strict,5,5,108.880000,0.000000,108.880000,,1.060000,256.660000,false,negative_for_group_a,Adaptive-vs-strict boundary; use as trade-off evidence.
business_workflow_service,core_service_workflow,business_workflow_service_v3,business_adaptive_vs_no_capacity_C50_F0.0,wasted_tool_calls,plangate_adaptive,plangate_no_capacity_step0,5,5,174.800000,242.400000,-67.600000,-27.887789,-98.400000,-45.800000,false,positive_for_group_a,Primary governance trade-off; raw workflow success can favor no-capacity in some cells.
business_workflow_service,core_service_workflow,business_workflow_service_v3,business_adaptive_vs_strict_C50_F0.0,wasted_tool_calls,plangate_adaptive,plangate_strict,5,5,174.800000,170.000000,4.800000,2.823529,0.800000,8.800000,false,negative_for_group_a,Adaptive-vs-strict boundary; use as trade-off evidence.
