experiment,gateway,sweep_key,sweep_val,runs,raw_goodput_s_mean,effective_goodput_s_mean,success_mean,rejected_s0_mean,cascade_failed_mean,p95_ms_mean,e2e_p95_ms_mean
Exp10_Adversarial,ng,,,5,37.89,18.186,30.4,308.8,160.8,1972.72,9191.14
Exp10_Adversarial,plangate_full,,,5,57.376,57.28,83.2,416.4,0.4,1039.88,8745.48
Exp10_Adversarial,sbac,,,5,53.808,44.702,62.8,386.8,50.4,1381.86,8582.44
Exp10_Adversarial,srl,,,5,47.582,23.068,39.4,321.8,138.8,1916.26,10436.32
Exp1_Core,ng,,,5,39.576,16.348,28.2,308.4,163.4,1984.1,6739.9
Exp1_Core,plangate_full,,,5,54.83,54.76,84.4,415.4,0.2,864.2,3237.66
Exp1_Core,sbac,,,5,55.192,45.358,68.8,383.6,47.6,1379.1,5776.82
Exp1_Core,srl,,,5,52.794,24.856,43.2,314,142.8,1913.18,7972.28
Exp5_ScaleConc,ng,conc,10,5,69.878,69.878,200,0,0,809.84,2759.78
Exp5_ScaleConc,ng,conc,20,5,68.052,68.052,199.8,0.2,0,1221.04,4932.12
Exp5_ScaleConc,ng,conc,40,5,58.064,43.202,99,29,72,1847.44,8606.64
Exp5_ScaleConc,ng,conc,60,5,55.248,32.518,55.4,61.4,83.2,1884.72,8187.68
Exp5_ScaleConc,plangate_full,conc,10,5,43.844,43.844,61.4,138.6,0,810.12,2767.46
Exp5_ScaleConc,plangate_full,conc,20,5,41.62,41.62,56.6,143.4,0,810.18,2885.66
Exp5_ScaleConc,plangate_full,conc,40,5,41.318,41.318,54.6,145.4,0,813.48,2916.48
Exp5_ScaleConc,plangate_full,conc,60,5,40.258,40.258,54.8,145.2,0,810.28,2915.54
Exp5_ScaleConc,sbac,conc,10,5,69.84,69.84,200,0,0,809.76,2761.08
Exp5_ScaleConc,sbac,conc,20,5,68.086,68.086,200,0,0,1217.3,4906.78
Exp5_ScaleConc,sbac,conc,40,5,57.888,42.39,98.4,30.8,70.8,1848.8,8490.08
Exp5_ScaleConc,sbac,conc,60,5,55.742,33.758,53,70,77,1881.48,8182.14
Exp5_ScaleConc,srl,conc,10,5,69.854,69.854,200,0,0,809.64,2766
Exp5_ScaleConc,srl,conc,20,5,68.114,68.114,200,0,0,1216.08,4925.88
Exp5_ScaleConc,srl,conc,40,5,57.772,40.97,91.2,29.6,79.2,1830.72,8350.86
Exp5_ScaleConc,srl,conc,60,5,55.7,33.198,55.6,61.4,83,1896.18,8161.32
Exp6_ScaleConcReact,ng,conc,10,5,67.15,67.15,200,0,0,809.62,3262.2
Exp6_ScaleConcReact,ng,conc,20,5,65.514,65.462,199.8,0,0.2,1230.56,5007.58
Exp6_ScaleConcReact,ng,conc,40,5,57.332,42.564,114.2,26.2,59.6,1836.4,8055.66
Exp6_ScaleConcReact,ng,conc,60,5,55.802,37.466,91.6,43.8,64.6,1859.06,7337.76
Exp6_ScaleConcReact,plangate_full,conc,10,5,21.964,21.964,30,170,0,809,2799.68
Exp6_ScaleConcReact,plangate_full,conc,20,5,21.31,21.294,30,169.8,0.2,811.7,2698.58
Exp6_ScaleConcReact,plangate_full,conc,40,5,20.378,20.378,30,170,0,810.62,2806.66
Exp6_ScaleConcReact,plangate_full,conc,60,5,21.49,21.49,30,170,0,826.96,3057.8
Exp6_ScaleConcReact,sbac,conc,10,5,66.542,66.542,179,21,0,809.88,3272.26
Exp6_ScaleConcReact,sbac,conc,20,5,65.578,65.578,176,24,0,1214.62,4788.9
Exp6_ScaleConcReact,sbac,conc,40,5,57.202,42.496,92.6,58.8,48.6,1831.64,7500.82
Exp6_ScaleConcReact,sbac,conc,60,5,55.838,39.612,79.8,72.8,47.4,1843.28,7029.06
Exp6_ScaleConcReact,srl,conc,10,5,67.194,67.194,200,0,0,809.66,3259.52
Exp6_ScaleConcReact,srl,conc,20,5,65.678,65.678,200,0,0,1235.26,5001.04
Exp6_ScaleConcReact,srl,conc,40,5,56.79,43.422,119.8,24.4,55.8,1836.34,7833.04
Exp6_ScaleConcReact,srl,conc,60,5,55.622,38.302,92.8,44.4,62.8,1849.62,7183.5
