experiment,gateway,run_idx,sweep_key,sweep_val,raw_goodput_s,effective_goodput_s,success,rejected_s0,cascade_failed,p95_ms,e2e_p95_ms,source_csv
Exp1_Core,ng,1,,,43.81,19.72,32,295,173,1968.4,7529.5,results/exp1_core/exp1_core_summary.csv
Exp1_Core,ng,2,,,39.04,18.22,31,311,158,1996.8,7591.5,results/exp1_core/exp1_core_summary.csv
Exp1_Core,ng,3,,,40.2,16.47,29,313,158,1976.5,6818.5,results/exp1_core/exp1_core_summary.csv
Exp1_Core,ng,4,,,36.36,14.47,27,313,160,1987.6,6288.4,results/exp1_core/exp1_core_summary.csv
Exp1_Core,ng,5,,,38.47,12.86,22,310,168,1991.2,5471.6,results/exp1_core/exp1_core_summary.csv
Exp1_Core,srl,1,,,53.47,24.54,44,316,140,1908.7,6796.5,results/exp1_core/exp1_core_summary.csv
Exp1_Core,srl,2,,,53.29,25.73,46,314,140,1897.8,8331.8,results/exp1_core/exp1_core_summary.csv
Exp1_Core,srl,3,,,50.93,22.44,39,321,140,1905.9,8589.4,results/exp1_core/exp1_core_summary.csv
Exp1_Core,srl,4,,,54.42,28.31,47,307,146,1926.4,7820.6,results/exp1_core/exp1_core_summary.csv
Exp1_Core,srl,5,,,51.86,23.26,40,312,148,1927.1,8323.1,results/exp1_core/exp1_core_summary.csv
Exp1_Core,sbac,1,,,54.34,45.16,66,386,48,1381.5,5995.8,results/exp1_core/exp1_core_summary.csv
Exp1_Core,sbac,2,,,54.94,44.92,69,381,50,1338.3,4543.3,results/exp1_core/exp1_core_summary.csv
Exp1_Core,sbac,3,,,56.47,46.26,70,381,49,1359.8,5729.2,results/exp1_core/exp1_core_summary.csv
Exp1_Core,sbac,4,,,55.39,45.45,70,388,42,1417.8,6533.5,results/exp1_core/exp1_core_summary.csv
Exp1_Core,sbac,5,,,54.82,45.0,69,382,49,1398.1,6082.3,results/exp1_core/exp1_core_summary.csv
Exp1_Core,plangate_full,1,,,63.39,63.04,94,405,1,1016.1,4385.0,results/exp1_core/exp1_core_summary.csv
Exp1_Core,plangate_full,2,,,50.88,50.88,81,419,0,884.4,3356.5,results/exp1_core/exp1_core_summary.csv
Exp1_Core,plangate_full,3,,,57.59,57.59,88,412,0,807.4,2887.2,results/exp1_core/exp1_core_summary.csv
Exp1_Core,plangate_full,4,,,44.64,44.64,74,426,0,806.5,2763.8,results/exp1_core/exp1_core_summary.csv
Exp1_Core,plangate_full,5,,,57.65,57.65,85,415,0,806.6,2795.8,results/exp1_core/exp1_core_summary.csv
Exp5_ScaleConc,ng,1,conc,10,69.81,69.81,200,0,0,810.0,2759.2,results/exp5_scaleconc/exp5_scaleconc_summary.csv
Exp5_ScaleConc,ng,2,conc,10,70.02,70.02,200,0,0,810.2,2759.7,results/exp5_scaleconc/exp5_scaleconc_summary.csv
Exp5_ScaleConc,ng,3,conc,10,69.94,69.94,200,0,0,809.6,2761.8,results/exp5_scaleconc/exp5_scaleconc_summary.csv
Exp5_ScaleConc,ng,4,conc,10,69.83,69.83,200,0,0,809.6,2757.8,results/exp5_scaleconc/exp5_scaleconc_summary.csv
Exp5_ScaleConc,ng,5,conc,10,69.79,69.79,200,0,0,809.8,2760.4,results/exp5_scaleconc/exp5_scaleconc_summary.csv
Exp5_ScaleConc,srl,1,conc,10,70.06,70.06,200,0,0,809.0,2754.7,results/exp5_scaleconc/exp5_scaleconc_summary.csv
