experiment,comparison,metric,group_a,group_b,n_a,n_b,mean_a,mean_b,delta,relative_delta_pct,ci95_low_delta,ci95_high_delta,interpretation
exp1_core,plangate_full_vs_ng,success,plangate_full,ng,5,5,84.400000,28.200000,56.200000,199.290780,49.400000,62.600000,positive_for_plangate
exp1_core,plangate_full_vs_ng,cascade_failed,plangate_full,ng,5,5,0.200000,163.400000,-163.200000,-99.877601,-168.800000,-158.200000,positive_for_plangate
exp1_core,plangate_full_vs_ng,effective_goodput_s,plangate_full,ng,5,5,54.760000,16.348000,38.412000,234.964522,32.220000,44.136000,positive_for_plangate
exp1_core,plangate_full_vs_sbac,success,plangate_full,sbac,5,5,84.400000,68.800000,15.600000,22.674419,9.600000,21.400000,positive_for_plangate
exp1_core,plangate_full_vs_sbac,cascade_failed,plangate_full,sbac,5,5,0.200000,47.600000,-47.400000,-99.579832,-49.400000,-44.600000,positive_for_plangate
exp1_core,plangate_full_vs_sbac,effective_goodput_s,plangate_full,sbac,5,5,54.760000,45.358000,9.402000,20.728427,3.368000,14.556000,positive_for_plangate
exp1_core,plangate_full_vs_srl,success,plangate_full,srl,5,5,84.400000,43.200000,41.200000,95.370370,34.600000,47.600000,positive_for_plangate
exp1_core,plangate_full_vs_srl,cascade_failed,plangate_full,srl,5,5,0.200000,142.800000,-142.600000,-99.859944,-145.800000,-139.800000,positive_for_plangate
exp1_core,plangate_full_vs_srl,effective_goodput_s,plangate_full,srl,5,5,54.760000,24.856000,29.904000,120.308980,23.944000,35.508000,positive_for_plangate
p3_mechanism,plangate_full_vs_wo_commitment,success,plangate_full,wo_commitment,3,3,192.333333,178.666667,13.666667,7.649254,10.333333,16.333333,positive_for_plangate
p3_mechanism,plangate_full_vs_wo_commitment,cascade_failed,plangate_full,wo_commitment,3,3,7.666667,21.333333,-13.666667,-64.062500,-16.333333,-10.333333,positive_for_plangate
p3_mechanism,plangate_full_vs_wo_commitment,recovery_success,plangate_full,wo_commitment,3,3,38.000000,28.333333,9.666667,34.117647,8.333333,11.666667,positive_for_plangate
p3_mechanism,plangate_full_vs_wo_commitment,amendment_success,plangate_full,wo_commitment,3,3,7.666667,0.000000,7.666667,,7.000000,8.000000,positive_for_plangate
