timestamp,session_id,mode,session_state,step_id,tool_name,status,latency_ms,budget,locked_price,regime,raw_goodput,effective_goodput
1774598271.533194,sess-0000-c834ba04,plan_and_solve,SUCCESS,s1,calculate,success,6.96,500,300,,7.0,7.0
1774598271.540158,sess-0000-c834ba04,plan_and_solve,SUCCESS,s2,mock_heavy,success,808.43,500,300,,7.0,7.0
1774598272.348598,sess-0000-c834ba04,plan_and_solve,SUCCESS,s3,calculate,success,8.03,500,300,,7.0,7.0
1774598272.349684,sess-0014-0bedc02b,plan_and_solve,SUCCESS,s1,calculate,success,9.72,500,300,,3.0,3.0
1774598272.359405,sess-0014-0bedc02b,plan_and_solve,SUCCESS,s2,web_fetch,success,158.63,500,220,,3.0,3.0
1774598272.518039,sess-0014-0bedc02b,plan_and_solve,SUCCESS,s3,calculate,success,6.50,500,220,,3.0,3.0
1774598272.640092,sess-0025-7e80ad76,plan_and_solve,SUCCESS,s1,calculate,success,8.59,500,100,,4.0,4.0
1774598272.648682,sess-0025-7e80ad76,plan_and_solve,SUCCESS,s2,calculate,success,5.97,500,100,,4.0,4.0
1774598272.654653,sess-0025-7e80ad76,plan_and_solve,SUCCESS,s3,calculate,success,4.85,500,100,,4.0,4.0
1774598272.659502,sess-0025-7e80ad76,plan_and_solve,SUCCESS,s4,calculate,success,5.44,500,100,,4.0,4.0
1774598271.800159,sess-0003-df58ad1f,plan_and_solve,SUCCESS,s1,calculate,success,7.36,500,300,,7.0,7.0
1774598271.807514,sess-0003-df58ad1f,plan_and_solve,SUCCESS,s2,web_fetch,success,158.29,500,200,,7.0,7.0
1774598271.965848,sess-0003-df58ad1f,plan_and_solve,SUCCESS,s3,mock_heavy,success,806.82,500,80,,7.0,7.0
1774598271.966393,sess-0008-1d35f9da,plan_and_solve,SUCCESS,s1,mock_heavy,success,806.87,500,80,,7.0,7.0
1774598272.773818,sess-0008-1d35f9da,plan_and_solve,SUCCESS,s2,web_fetch,success,156.95,500,88,,7.0,7.0
1774598272.930764,sess-0008-1d35f9da,plan_and_solve,SUCCESS,s3,web_fetch,success,159.25,500,93,,7.0,7.0
1774598272.091715,sess-0010-0fe970bc,plan_and_solve,SUCCESS,s1,calculate,success,10.31,500,260,,9.0,9.0
1774598272.102022,sess-0010-0fe970bc,plan_and_solve,SUCCESS,s2,calculate,success,4.86,500,260,,9.0,9.0
1774598272.106884,sess-0010-0fe970bc,plan_and_solve,SUCCESS,s3,web_fetch,success,155.11,500,300,,9.0,9.0
1774598272.261996,sess-0010-0fe970bc,plan_and_solve,SUCCESS,s4,calculate,success,3.00,500,300,,9.0,9.0
1774598272.264995,sess-0010-0fe970bc,plan_and_solve,SUCCESS,s5,mock_heavy,success,913.25,500,133,,9.0,9.0
1774598272.878358,sess-0031-37aa897a,plan_and_solve,SUCCESS,s1,calculate,success,7.26,500,68,,5.0,5.0
1774598272.886136,sess-0031-37aa897a,plan_and_solve,SUCCESS,s2,web_fetch,success,156.35,500,73,,5.0,5.0
1774598273.042491,sess-0031-37aa897a,plan_and_solve,SUCCESS,s3,calculate,success,7.45,500,93,,5.0,5.0
1774598273.049942,sess-0031-37aa897a,plan_and_solve,SUCCESS,s4,web_fetch,success,155.19,500,80,,5.0,5.0
1774598273.205136,sess-0031-37aa897a,plan_and_solve,SUCCESS,s5,calculate,success,4.66,500,80,,5.0,5.0
