session_id,mode,state,n_steps,budget,raw_goodput,effective_goodput,total_latency_ms,start_time,end_time
sess-0000-f3010291,plan_and_solve,SUCCESS,3,500,7.0,7.0,816.41,1774598323.079896,1774598323.896302
sess-0014-817fc2a4,plan_and_solve,SUCCESS,3,500,3.0,3.0,174.28,1774598323.864799,1774598324.040151
sess-0025-6d025c44,plan_and_solve,SUCCESS,4,500,4.0,4.0,20.59,1774598324.076284,1774598324.096876
sess-0003-74f257cd,plan_and_solve,SUCCESS,3,500,7.0,7.0,969.18,1774598323.334951,1774598324.304651
sess-0008-2d92183c,plan_and_solve,SUCCESS,3,500,7.0,7.0,1124.21,1774598323.490100,1774598324.614305
sess-0031-847730f1,plan_and_solve,SUCCESS,5,500,5.0,5.0,336.52,1774598324.285611,1774598324.623205
sess-0032-56c135dd,plan_and_solve,SUCCESS,4,500,4.0,4.0,483.67,1774598324.287439,1774598324.771104
sess-0010-a34c1298,plan_and_solve,SUCCESS,5,500,9.0,9.0,1252.73,1774598323.611803,1774598324.864533
sess-0004-568de4c6,plan_and_solve,SUCCESS,7,500,11.0,11.0,1639.67,1774598323.380941,1774598325.020614
sess-0012-c0a518c8,plan_and_solve,SUCCESS,6,500,10.0,10.0,1423.28,1774598323.781318,1774598325.206665
sess-0001-d6006c47,plan_and_solve,SUCCESS,3,500,11.0,11.0,2144.84,1774598323.120824,1774598325.265725
sess-0016-cef27a04,plan_and_solve,SUCCESS,5,500,9.0,9.0,1399.48,1774598323.869376,1774598325.269900
sess-0035-8069309c,plan_and_solve,SUCCESS,7,500,7.0,7.0,798.32,1774598324.623786,1774598325.422733
sess-0038-f6789e5b,plan_and_solve,SUCCESS,7,500,7.0,7.0,643.31,1774598325.020614,1774598325.664966
sess-0043-6d7503c5,plan_and_solve,SUCCESS,3,500,3.0,3.0,165.42,1774598325.664966,1774598325.830389
sess-0015-5a2165d2,plan_and_solve,SUCCESS,7,500,11.0,11.0,2254.76,1774598323.867007,1774598326.122828
sess-0005-a9a6c809,plan_and_solve,SUCCESS,5,500,13.0,13.0,3216.99,1774598323.382499,1774598326.600513
sess-0007-3547dd68,plan_and_solve,SUCCESS,6,500,14.0,14.0,3405.00,1774598323.388138,1774598326.793182
sess-0028-36db9e4a,plan_and_solve,SUCCESS,4,500,8.0,8.0,2605.78,1774598324.194506,1774598326.801009
sess-0030-be8c1bc6,plan_and_solve,SUCCESS,6,500,10.0,10.0,2966.77,1774598324.220001,1774598327.187323
sess-0026-6356c73f,plan_and_solve,SUCCESS,7,500,11.0,11.0,3123.42,1774598324.163485,1774598327.287548
sess-0009-63175103,plan_and_solve,SUCCESS,6,500,14.0,14.0,3864.04,1774598323.535918,1774598327.400529
sess-0034-2d78db0d,plan_and_solve,SUCCESS,7,500,11.0,11.0,2794.08,1774598324.614305,1774598327.408911
sess-0013-5966e584,plan_and_solve,SUCCESS,4,500,12.0,12.0,3644.71,1774598323.863713,1774598327.509528
