session_id,mode,state,n_steps,budget,raw_goodput,effective_goodput,total_latency_ms,start_time,end_time
sess-0000-f184e1ff,plan_and_solve,SUCCESS,3,500,7.0,7.0,818.79,1774597910.749434,1774597911.568223
sess-0014-7d5f6164,plan_and_solve,SUCCESS,3,500,3.0,3.0,169.37,1774597911.554515,1774597911.724535
sess-0025-7d5cbae2,plan_and_solve,SUCCESS,4,500,4.0,4.0,14.67,1774597911.755500,1774597911.771789
sess-0003-c7531b84,plan_and_solve,SUCCESS,3,500,7.0,7.0,968.27,1774597911.022963,1774597911.992373
sess-0031-c60a03b2,plan_and_solve,SUCCESS,5,500,5.0,5.0,330.04,1774597911.954369,1774597912.285459
sess-0008-c3556d2d,plan_and_solve,SUCCESS,3,500,7.0,7.0,1120.78,1774597911.187292,1774597912.308068
sess-0010-ce54eb27,plan_and_solve,SUCCESS,5,500,9.0,9.0,1100.90,1774597911.299030,1774597912.400450
sess-0032-a3ce8b29,plan_and_solve,SUCCESS,4,500,4.0,4.0,477.86,1774597911.956367,1774597912.435232
sess-0004-732a51fd,plan_and_solve,SUCCESS,7,500,11.0,11.0,1612.79,1774597911.068810,1774597912.682727
sess-0001-ee4f7976,plan_and_solve,SUCCESS,3,500,11.0,11.0,2157.99,1774597910.792918,1774597912.951437
sess-0016-e14f4ea6,plan_and_solve,SUCCESS,5,500,9.0,9.0,1398.91,1774597911.558887,1774597912.958376
sess-0012-36157ed5,plan_and_solve,SUCCESS,6,500,10.0,10.0,1563.32,1774597911.466161,1774597913.029992
sess-0035-5ad4c0cd,plan_and_solve,SUCCESS,7,500,7.0,7.0,789.16,1774597912.308068,1774597913.098342
sess-0038-57175a10,plan_and_solve,SUCCESS,7,500,7.0,7.0,636.50,1774597912.682727,1774597913.319229
sess-0043-2cb3036c,plan_and_solve,SUCCESS,3,500,3.0,3.0,164.01,1774597913.320230,1774597913.484235
sess-0015-1c4ecac6,plan_and_solve,SUCCESS,7,500,11.0,11.0,2250.71,1774597911.556618,1774597913.808639
sess-0005-12cd3e48,plan_and_solve,SUCCESS,5,500,13.0,13.0,3214.99,1774597911.071367,1774597914.286928
sess-0007-5054e4b4,plan_and_solve,SUCCESS,6,500,14.0,14.0,3401.55,1774597911.076125,1774597914.478745
sess-0028-8b34a6c8,plan_and_solve,SUCCESS,4,500,8.0,8.0,2870.72,1774597911.882048,1774597914.752794
sess-0030-cebd98cb,plan_and_solve,SUCCESS,6,500,10.0,10.0,2959.88,1774597911.915127,1774597914.875025
sess-0026-c16525c6,plan_and_solve,SUCCESS,7,500,11.0,11.0,3111.79,1774597911.847852,1774597914.960176
sess-0009-8c889117,plan_and_solve,SUCCESS,6,500,14.0,14.0,3857.30,1774597911.229964,1774597915.087821
sess-0034-6cae46a1,plan_and_solve,SUCCESS,7,500,11.0,11.0,2810.14,1774597912.285459,1774597915.096219
sess-0013-deca90dd,plan_and_solve,SUCCESS,4,500,12.0,12.0,3645.81,1774597911.552920,1774597915.198735
sess-0036-546b9dc3,plan_and_solve,SUCCESS,6,500,10.0,10.0,3201.96,1774597912.400770,1774597915.602783
sess-0041-10498cee,plan_and_solve,SUCCESS,3,500,7.0,7.0,2727.60,1774597913.029992,1774597915.758592
sess-0011-d319e2b7,plan_and_solve,SUCCESS,7,500,15.0,15.0,4591.71,1774597911.300124,1774597915.892355
sess-0042-d09dcbd7,plan_and_solve,SUCCESS,4,500,8.0,8.0,2948.93,1774597913.098342,1774597916.047275
sess-0019-14608003,plan_and_solve,SUCCESS,7,500,15.0,15.0,4700.08,1774597911.615805,1774597916.317422
sess-0020-ae1b3a7d,plan_and_solve,SUCCESS,4,500,12.0,12.0,4913.50,1774597911.650306,1774597916.563811
sess-0045-4343e14c,plan_and_solve,SUCCESS,3,500,7.0,7.0,2885.49,1774597913.808639,1774597916.694127
sess-0027-cb57a731,plan_and_solve,SUCCESS,4,500,12.0,12.0,4948.41,1774597911.849445,1774597916.798860
sess-0023-34ff714d,plan_and_solve,SUCCESS,5,500,13.0,13.0,5098.48,1774597911.701380,1774597916.799860
sess-0021-a29b9347,plan_and_solve,SUCCESS,7,500,15.0,15.0,5145.07,1774597911.696273,1774597916.841864
sess-0024-ce53ece4,plan_and_solve,SUCCESS,5,500,13.0,13.0,5122.64,1774597911.720690,1774597916.843867
sess-0059-d6834430,plan_and_solve,SUCCESS,4,500,4.0,4.0,470.30,1774597916.563811,1774597917.035628
sess-0064-0dceeac2,plan_and_solve,SUCCESS,4,500,4.0,4.0,325.73,1774597916.843867,1774597917.169598
sess-0063-1480d30e,plan_and_solve,SUCCESS,7,500,7.0,7.0,487.10,1774597916.842864,1774597917.329967
sess-0033-b573d77f,plan_and_solve,SUCCESS,5,500,13.0,13.0,5496.88,1774597911.992373,1774597917.489255
sess-0049-cd3fd041,plan_and_solve,SUCCESS,4,500,8.0,8.0,2727.03,1774597914.875557,1774597917.603586
sess-0046-484ccecf,plan_and_solve,SUCCESS,5,500,9.0,9.0,3511.24,1774597914.286928,1774597917.798269
sess-0070-f972f659,plan_and_solve,SUCCESS,3,500,3.0,3.0,162.06,1774597917.798269,1774597917.961858
sess-0069-8f41a62b,plan_and_solve,SUCCESS,7,500,7.0,7.0,483.22,1774597917.603586,1774597918.088974
sess-0017-7d17aaeb,plan_and_solve,SUCCESS,7,500,19.0,19.0,6725.96,1774597911.563698,1774597918.290513
sess-0040-89c41eb6,plan_and_solve,SUCCESS,5,500,13.0,13.0,5606.73,1774597912.958376,1774597918.565104
sess-0054-451429cd,plan_and_solve,SUCCESS,6,500,10.0,10.0,3368.16,1774597915.602783,1774597918.970942
sess-0037-66c51059,plan_and_solve,SUCCESS,7,500,19.0,19.0,6658.91,1774597912.435232,1774597919.094138
sess-0018-b2eaad60,plan_and_solve,SUCCESS,7,500,19.0,19.0,7603.79,1774597911.599779,1774597919.204571
sess-0044-d875660b,plan_and_solve,SUCCESS,6,500,14.0,14.0,5772.43,1774597913.484235,1774597919.258197
sess-0058-f5151d1f,plan_and_solve,SUCCESS,6,500,10.0,10.0,3039.14,1774597916.317422,1774597919.356566
sess-0057-8938e49b,plan_and_solve,SUCCESS,3,500,7.0,7.0,3355.13,1774597916.047275,1774597919.402401
sess-0077-21e0018e,plan_and_solve,SUCCESS,5,500,5.0,5.0,474.27,1774597919.204571,1774597919.680370
sess-0080-f31f1907,plan_and_solve,SUCCESS,5,500,5.0,5.0,477.24,1774597919.402401,1774597919.880181
sess-0061-d729d70e,plan_and_solve,SUCCESS,5,500,9.0,9.0,3093.32,1774597916.798860,1774597919.892182
sess-0006-921a802d,plan_and_solve,SUCCESS,7,500,23.0,23.0,8820.22,1774597911.072899,1774597919.894182
sess-0060-b278c2f1,plan_and_solve,SUCCESS,6,500,10.0,10.0,3200.51,1774597916.694127,1774597919.896182
sess-0047-fb907e16,plan_and_solve,SUCCESS,4,500,12.0,12.0,5569.14,1774597914.478745,1774597920.048414
sess-0066-1d792143,plan_and_solve,SUCCESS,4,500,8.0,8.0,2987.58,1774597917.169598,1774597920.157689
sess-0086-87aa178e,plan_and_solve,SUCCESS,3,500,3.0,3.0,165.93,1774597920.048414,1774597920.214346
sess-0002-87116681,plan_and_solve,SUCCESS,7,500,23.0,23.0,9424.42,1774597910.946283,1774597920.370705
sess-0089-d1b14fc5,plan_and_solve,SUCCESS,3,500,3.0,3.0,166.58,1774597920.371244,1774597920.538357
sess-0029-904239ec,plan_and_solve,SUCCESS,7,500,19.0,19.0,8659.81,1774597911.913543,1774597920.573354
sess-0048-003396a3,plan_and_solve,SUCCESS,6,500,14.0,14.0,5937.57,1774597914.752794,1774597920.690360
sess-0053-cb10f2a1,plan_and_solve,SUCCESS,3,500,11.0,11.0,5602.34,1774597915.198735,1774597920.801610
sess-0022-6ef8d8ed,plan_and_solve,SUCCESS,7,500,19.0,19.0,9107.93,1774597911.698061,1774597920.806194
sess-0071-2ba7cba5,plan_and_solve,SUCCESS,5,500,9.0,9.0,2890.29,1774597917.962394,1774597920.852684
sess-0068-073fdb99,plan_and_solve,SUCCESS,4,500,8.0,8.0,3385.42,1774597917.490252,1774597920.876678
sess-0090-bc40cbdd,plan_and_solve,SUCCESS,3,500,3.0,3.0,465.55,1774597920.538357,1774597921.003908
sess-0039-38523b4b,plan_and_solve,SUCCESS,6,500,18.0,18.0,8545.29,1774597912.951961,1774597921.497833
sess-0055-989d6cea,plan_and_solve,SUCCESS,4,500,12.0,12.0,5843.90,1774597915.759591,1774597921.603488
sess-0056-2a146f68,plan_and_solve,SUCCESS,7,500,15.0,15.0,5877.41,1774597915.892355,1774597921.769766
sess-0073-e7c0fd98,plan_and_solve,SUCCESS,6,500,10.0,10.0,3517.37,1774597918.290513,1774597921.808882
sess-0075-2b476676,plan_and_solve,SUCCESS,4,500,8.0,8.0,3043.82,1774597918.970942,1774597922.015852
sess-0076-306419d3,plan_and_solve,SUCCESS,5,500,9.0,9.0,3342.08,1774597919.094138,1774597922.437759
sess-0103-5134ab06,plan_and_solve,SUCCESS,5,500,5.0,5.0,170.99,1774597922.437759,1774597922.608747
sess-0085-7edf92f2,plan_and_solve,SUCCESS,3,500,7.0,7.0,3036.73,1774597919.896182,1774597922.932911
sess-0062-05b6ca92,plan_and_solve,SUCCESS,7,500,15.0,15.0,6167.05,1774597916.799860,1774597922.966909
sess-0082-01c4edf8,plan_and_solve,SUCCESS,3,500,7.0,7.0,3091.61,1774597919.880181,1774597922.971911
sess-0065-356e9279,plan_and_solve,SUCCESS,7,500,15.0,15.0,6035.85,1774597917.035628,1774597923.072011
sess-0108-0db3337b,plan_and_solve,SUCCESS,3,500,3.0,3.0,13.62,1774597923.072011,1774597923.085630
sess-0067-aa50b97e,plan_and_solve,SUCCESS,4,500,12.0,12.0,5765.06,1774597917.330968,1774597923.096632
sess-0091-b7d833c5,plan_and_solve,SUCCESS,3,500,7.0,7.0,2792.38,1774597920.573354,1774597923.365804
sess-0087-42715ec3,plan_and_solve,SUCCESS,3,500,7.0,7.0,3249.70,1774597920.157712,1774597923.407957
sess-0111-80f98b35,plan_and_solve,SUCCESS,4,500,4.0,4.0,168.45,1774597923.365804,1774597923.534252
sess-0110-16437c23,plan_and_solve,SUCCESS,4,500,4.0,4.0,472.49,1774597923.096632,1774597923.569647
sess-0051-ddc5621e,plan_and_solve,SUCCESS,7,500,19.0,19.0,8812.06,1774597915.087821,1774597923.899879
sess-0097-fa062e73,plan_and_solve,SUCCESS,6,500,10.0,10.0,2924.97,1774597921.003908,1774597923.928879
sess-0050-59d1fb36,plan_and_solve,SUCCESS,7,500,19.0,19.0,9044.70,1774597914.960176,1774597924.004872
sess-0095-3432b613,plan_and_solve,SUCCESS,5,500,9.0,9.0,3197.20,1774597920.852684,1774597924.049880
sess-0096-9bae9167,plan_and_solve,SUCCESS,6,500,10.0,10.0,3174.20,1774597920.876678,1774597924.050875
sess-0093-bbebda54,plan_and_solve,SUCCESS,7,500,11.0,11.0,3515.96,1774597920.801610,1774597924.317568
sess-0074-2cd8df18,plan_and_solve,SUCCESS,6,500,14.0,14.0,6132.78,1774597918.565104,1774597924.698883
sess-0083-f1536f44,plan_and_solve,SUCCESS,5,500,13.0,13.0,4920.44,1774597919.892182,1774597924.814146
sess-0098-fce1c08a,plan_and_solve,SUCCESS,6,500,10.0,10.0,3537.25,1774597921.498835,1774597925.036088
sess-0102-cc5c3abc,plan_and_solve,SUCCESS,7,500,11.0,11.0,3112.18,1774597922.016850,1774597925.129087
sess-0079-e4398699,plan_and_solve,SUCCESS,6,500,14.0,14.0,5862.73,1774597919.356566,1774597925.220295
sess-0104-03bc96de,plan_and_solve,SUCCESS,6,500,10.0,10.0,2895.17,1774597922.608747,1774597925.503920
sess-0084-0dedbbde,plan_and_solve,SUCCESS,7,500,15.0,15.0,5612.42,1774597919.894182,1774597925.507108
sess-0078-f6d95f22,plan_and_solve,SUCCESS,7,500,15.0,15.0,6273.15,1774597919.258197,1774597925.531343
sess-0124-f76f8e2b,plan_and_solve,SUCCESS,5,500,5.0,5.0,475.25,1774597925.129087,1774597925.604337
sess-0128-ee4c9d24,plan_and_solve,SUCCESS,4,500,4.0,4.0,169.38,1774597925.531343,1774597925.701722
sess-0127-fe9b4a1b,plan_and_solve,SUCCESS,6,500,6.0,6.0,328.73,1774597925.507108,1774597925.837368
sess-0131-35fe9e40,plan_and_solve,SUCCESS,7,500,7.0,7.0,173.35,1774597925.837368,1774597926.011761
sess-0088-8b1f16cf,plan_and_solve,SUCCESS,6,500,14.0,14.0,5855.72,1774597920.214346,1774597926.072069
sess-0105-f64d6fa7,plan_and_solve,SUCCESS,5,500,9.0,9.0,3198.16,1774597922.932911,1774597926.131067
sess-0072-d3b0fbb0,plan_and_solve,SUCCESS,7,500,19.0,19.0,8080.38,1774597918.088974,1774597926.170073
sess-0112-08685b4c,plan_and_solve,SUCCESS,4,500,8.0,8.0,2928.19,1774597923.407957,1774597926.337142
sess-0092-2f09e5d6,plan_and_solve,SUCCESS,7,500,15.0,15.0,5719.09,1774597920.690360,1774597926.410450
sess-0109-daac178a,plan_and_solve,SUCCESS,7,500,11.0,11.0,3363.05,1774597923.085630,1774597926.450207
sess-0094-b8663917,plan_and_solve,SUCCESS,4,500,12.0,12.0,5646.01,1774597920.806194,1774597926.452205
sess-0114-edf18bc6,plan_and_solve,SUCCESS,6,500,10.0,10.0,2995.52,1774597923.569676,1774597926.566203
sess-0135-b60d2dc8,plan_and_solve,SUCCESS,5,500,5.0,5.0,469.23,1774597926.170073,1774597926.639816
sess-0052-b133cd0c,plan_and_solve,SUCCESS,6,500,22.0,22.0,12004.48,1774597915.096219,1774597927.101334
sess-0118-a86091eb,plan_and_solve,SUCCESS,5,500,9.0,9.0,3159.83,1774597924.049880,1774597927.209707
