timestamp,session_id,mode,session_state,step_id,tool_name,status,latency_ms,budget,locked_price,regime,raw_goodput,effective_goodput
1774598116.715414,sess-0000-7496b8aa,plan_and_solve,SUCCESS,s1,calculate,success,9.65,500,200,,7.0,7.0
1774598116.725059,sess-0000-7496b8aa,plan_and_solve,SUCCESS,s2,mock_heavy,success,807.82,500,200,,7.0,7.0
1774598117.532883,sess-0000-7496b8aa,plan_and_solve,SUCCESS,s3,calculate,success,4.31,500,200,,7.0,7.0
1774598117.528935,sess-0014-e598f5c4,plan_and_solve,SUCCESS,s1,calculate,success,10.30,500,180,,3.0,3.0
1774598117.539751,sess-0014-e598f5c4,plan_and_solve,SUCCESS,s2,web_fetch,success,154.87,500,195,,3.0,3.0
1774598117.695138,sess-0014-e598f5c4,plan_and_solve,SUCCESS,s3,calculate,success,6.28,500,195,,3.0,3.0
1774598117.801617,sess-0025-545b6cc1,plan_and_solve,SUCCESS,s1,calculate,success,7.72,500,181,,4.0,4.0
1774598117.809336,sess-0025-545b6cc1,plan_and_solve,SUCCESS,s2,calculate,success,5.68,500,181,,4.0,4.0
1774598117.815019,sess-0025-545b6cc1,plan_and_solve,SUCCESS,s3,calculate,success,4.41,500,181,,4.0,4.0
1774598117.819425,sess-0025-545b6cc1,plan_and_solve,SUCCESS,s4,calculate,success,8.81,500,181,,4.0,4.0
1774598116.964871,sess-0003-4a1d1ae2,plan_and_solve,SUCCESS,s1,calculate,success,6.80,500,180,,7.0,7.0
1774598116.971668,sess-0003-4a1d1ae2,plan_and_solve,SUCCESS,s2,web_fetch,success,156.73,500,195,,7.0,7.0
1774598117.128396,sess-0003-4a1d1ae2,plan_and_solve,SUCCESS,s3,mock_heavy,success,805.59,500,168,,7.0,7.0
1774598117.129678,sess-0008-5e57c62b,plan_and_solve,SUCCESS,s1,mock_heavy,success,807.51,500,168,,7.0,7.0
1774598117.937193,sess-0008-5e57c62b,plan_and_solve,SUCCESS,s2,web_fetch,success,155.40,500,167,,7.0,7.0
1774598118.092590,sess-0008-5e57c62b,plan_and_solve,SUCCESS,s3,web_fetch,success,155.81,500,182,,7.0,7.0
1774598117.252768,sess-0010-8b53571f,plan_and_solve,SUCCESS,s1,calculate,success,6.40,500,200,,9.0,9.0
1774598117.259169,sess-0010-8b53571f,plan_and_solve,SUCCESS,s2,calculate,success,3.36,500,200,,9.0,9.0
1774598117.262532,sess-0010-8b53571f,plan_and_solve,SUCCESS,s3,web_fetch,success,153.53,500,200,,9.0,9.0
1774598117.416062,sess-0010-8b53571f,plan_and_solve,SUCCESS,s4,calculate,success,5.21,500,200,,9.0,9.0
1774598117.421272,sess-0010-8b53571f,plan_and_solve,SUCCESS,s5,mock_heavy,success,910.75,500,187,,9.0,9.0
1774598117.999667,sess-0031-fc220a5a,plan_and_solve,SUCCESS,s1,calculate,success,9.65,500,157,,5.0,5.0
1774598118.009876,sess-0031-fc220a5a,plan_and_solve,SUCCESS,s2,web_fetch,success,154.60,500,172,,5.0,5.0
1774598118.165480,sess-0031-fc220a5a,plan_and_solve,SUCCESS,s3,calculate,success,5.00,500,172,,5.0,5.0
