session_id,mode,state,n_steps,budget,raw_goodput,effective_goodput,total_latency_ms,start_time,end_time
sess-0000-2cd13d18,plan_and_solve,SUCCESS,3,500,7.0,7.0,915.68,1774977658.237614,1774977659.153634
sess-0003-e08a3954,plan_and_solve,SUCCESS,3,500,7.0,7.0,980.36,1774977658.335984,1774977659.316931
sess-0016-c63e9578,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1007.45,1774977658.576401,1774977659.584027
sess-0001-c527e5e2,plan_and_solve,CASCADE_FAILED,3,500,5.0,0.0,1813.78,1774977658.247604,1774977660.061636
sess-0015-29c8182e,plan_and_solve,CASCADE_FAILED,7,500,1.0,0.0,1490.83,1774977658.571095,1774977660.062180
sess-0045-4d3a5073,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,1005.89,1774977659.065387,1774977660.071423
sess-0046-9658544e,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1008.10,1774977659.087865,1774977660.096251
sess-0048-b7982300,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1010.14,1774977659.111762,1774977660.122181
sess-0002-d74f80b5,plan_and_solve,CASCADE_FAILED,7,500,5.0,0.0,1814.22,1774977658.309057,1774977660.124494
sess-0049-45cc02e4,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1008.31,1774977659.128205,1774977660.137216
sess-0050-729440a9,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,1007.36,1774977659.133299,1774977660.140958
sess-0007-ea3804c4,plan_and_solve,CASCADE_FAILED,6,500,5.0,0.0,1817.95,1774977658.365459,1774977660.183836
sess-0052-984364be,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1008.55,1774977659.236338,1774977660.245290
sess-0021-54ee9cb5,plan_and_solve,CASCADE_FAILED,7,500,1.0,0.0,1706.15,1774977658.640569,1774977660.347010
sess-0054-0cf9fde1,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1008.69,1774977659.340675,1774977660.349656
sess-0011-eeeb00d1,plan_and_solve,CASCADE_FAILED,7,500,2.0,0.0,1910.62,1774977658.452885,1774977660.363840
sess-0055-21bd6ef1,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1008.08,1774977659.359709,1774977660.367996
sess-0025-e204a66e,plan_and_solve,CASCADE_FAILED,4,500,1.0,0.0,1719.88,1774977658.676054,1774977660.396274
sess-0013-b49c5d75,plan_and_solve,CASCADE_FAILED,4,500,5.0,0.0,1856.45,1774977658.560183,1774977660.416864
sess-0056-1e24a343,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,1006.24,1774977659.410896,1774977660.417264
sess-0057-20fbd1f8,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,1008.41,1774977659.414168,1774977660.422791
sess-0058-f61df6c2,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1009.31,1774977659.418883,1774977660.428505
sess-0059-d22abe1e,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1009.08,1774977659.420673,1774977660.430005
sess-0061-5535b787,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1009.00,1774977659.456903,1774977660.466143
sess-0062-c9b47a6d,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,1006.41,1774977659.463606,1774977660.470204
sess-0022-84399c95,plan_and_solve,CASCADE_FAILED,7,500,5.0,0.0,1837.44,1774977658.644070,1774977660.481948
sess-0065-aaffaa60,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,1022.00,1774977659.516447,1774977660.538583
sess-0066-a3186687,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1007.43,1774977659.532660,1774977660.540443
sess-0067-4e814123,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1007.50,1774977659.536592,1774977660.544300
sess-0029-9373ca5c,plan_and_solve,CASCADE_FAILED,7,500,1.0,0.0,1820.96,1774977658.748092,1774977660.569564
