gateway,run_idx,sweep_key,sweep_val,success,rejected_s0,cascade_failed,raw_goodput,effective_goodput,raw_goodput_s,effective_goodput_s,p50_ms,p95_ms,p99_ms,e2e_p50_ms,e2e_p95_ms,e2e_p99_ms,csv,error
ng,1,,,23,345,132,537.0,216.0,36.01,14.49,1007.5,1973.3,2001.5,4579.4,5207.8,5222.0,ng_run1.csv,
ng,2,,,22,352,126,506.0,208.0,34.75,14.29,1007.0,1996.7,2068.4,4034.6,5132.8,5303.9,ng_run2.csv,
ng,3,,,27,343,130,568.0,277.0,37.53,18.3,1006.8,1984.0,2001.4,4429.6,6648.9,7095.0,ng_run3.csv,
ng,4,,,30,346,124,647.0,352.0,37.76,20.54,1007.2,1980.7,2001.8,5372.0,6867.4,7186.5,ng_run4.csv,
ng,5,,,27,343,130,560.0,267.0,37.19,17.73,1007.2,1974.8,2067.3,4026.1,5644.0,7898.2,ng_run5.csv,
srl,1,,,44,355,101,824.0,477.0,50.16,29.04,1005.3,1911.5,1949.1,5191.8,7923.3,9949.0,srl_run1.csv,
srl,2,,,45,352,103,797.0,432.0,53.53,29.01,1005.8,1902.1,1943.7,4276.0,7698.8,9679.8,srl_run2.csv,
srl,3,,,41,358,101,816.0,451.0,52.13,28.81,1005.5,1920.3,1984.6,5145.0,7517.0,8887.8,srl_run3.csv,
srl,4,,,41,363,96,830.0,464.0,53.23,29.76,1005.6,1904.4,1944.8,5588.6,7625.2,8479.4,srl_run4.csv,
srl,5,,,43,348,109,830.0,444.0,50.54,27.04,1005.8,1891.9,1944.1,4457.3,7470.8,8068.0,srl_run5.csv,
rajomon,1,,,3,432,65,198.0,17.0,18.53,1.59,2.4,1365.8,2001.0,979.7,1307.1,1307.1,rajomon_run1.csv,
rajomon,2,,,3,433,64,194.0,17.0,18.3,1.6,2.3,1399.7,2000.9,1879.3,2083.5,2083.5,rajomon_run2.csv,
rajomon,3,,,2,430,68,198.0,14.0,18.68,1.32,2.2,1382.4,2001.0,1877.6,1877.6,1877.6,rajomon_run3.csv,
rajomon,4,,,3,428,69,207.0,25.0,19.51,2.36,2.4,1384.0,1946.5,1882.1,4137.4,4137.4,rajomon_run4.csv,
rajomon,5,,,2,440,58,186.0,14.0,17.54,1.32,2.3,1376.9,2001.0,1901.4,1901.4,1901.4,rajomon_run5.csv,
dagor,1,,,7,375,118,366.0,39.0,34.48,3.67,1004.6,1498.7,2001.4,1401.8,2953.3,2953.3,dagor_run1.csv,
dagor,2,,,3,374,123,336.0,14.0,31.68,1.32,813.9,1500.0,2001.7,757.8,982.7,982.7,dagor_run2.csv,
dagor,3,,,3,366,131,365.0,17.0,34.4,1.6,812.5,1477.0,2001.2,984.0,1881.3,1881.3,dagor_run3.csv,
dagor,4,,,3,360,137,368.0,14.0,33.92,1.29,1004.7,1474.1,2001.6,979.9,2486.7,2486.7,dagor_run4.csv,
dagor,5,,,4,369,127,374.0,22.0,35.2,2.07,1003.3,1471.1,2001.4,1312.3,1904.9,1904.9,dagor_run5.csv,
sbac,1,,,53,402,45,734.0,585.0,51.71,41.21,244.3,1329.9,2001.0,3082.5,5206.0,5615.0,sbac_run1.csv,
sbac,2,,,60,397,43,751.0,614.0,55.3,45.21,279.3,1323.7,1931.2,2983.8,5078.5,5125.0,sbac_run2.csv,
sbac,3,,,46,406,48,673.0,522.0,54.66,42.4,152.1,1328.9,2001.2,2301.0,4643.3,4912.8,sbac_run3.csv,
sbac,4,,,61,396,43,777.0,641.0,56.03,46.22,386.3,1378.0,1932.6,3613.5,5445.1,6885.4,sbac_run4.csv,
sbac,5,,,61,397,42,780.0,650.0,53.15,44.29,209.8,1318.5,2001.5,2729.9,5174.5,6700.6,sbac_run5.csv,
plangate_full,1,,,106,394,0,827.0,827.0,63.96,63.96,6.5,813.2,1135.1,1122.5,3372.4,3702.8,plangate_full_run1.csv,
plangate_full,2,,,108,392,0,857.0,857.0,64.58,64.58,5.8,820.3,1168.5,1120.3,3524.1,3643.9,plangate_full_run2.csv,
plangate_full,3,,,115,385,0,852.0,852.0,61.84,61.84,6.6,810.2,948.0,954.3,2491.8,3577.7,plangate_full_run3.csv,
plangate_full,4,,,88,412,0,683.0,683.0,56.7,56.7,4.4,809.4,917.5,971.2,2729.3,3643.7,plangate_full_run4.csv,
plangate_full,5,,,103,397,0,753.0,753.0,59.86,59.86,6.0,809.4,869.9,829.6,1954.5,3585.9,plangate_full_run5.csv,
