session_id,mode,state,n_steps,budget,raw_goodput,effective_goodput,total_latency_ms,start_time,end_time
sess-0003-0e6276ba,plan_and_solve,SUCCESS,3,500,7.0,7.0,981.20,1774977427.187069,1774977428.168827
sess-0022-a189367b,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,1008.08,1774977427.496819,1774977428.505119
sess-0031-162e21e0,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1007.98,1774977427.623234,1774977428.631433
sess-0037-c1749aea,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,1007.36,1774977427.801035,1774977428.808676
sess-0038-98ae3e99,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,1008.02,1774977427.803417,1774977428.811681
sess-0042-67a4db0f,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1010.41,1774977427.857679,1774977428.868307
sess-0000-deac8f24,plan_and_solve,CASCADE_FAILED,3,500,6.0,0.0,1819.55,1774977427.088276,1774977428.908112
sess-0001-c0c3f5fd,plan_and_solve,CASCADE_FAILED,3,500,5.0,0.0,1813.92,1774977427.098606,1774977428.912721
sess-0044-e09a5b93,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1006.15,1774977427.908468,1774977428.914803
sess-0045-9f8c9f97,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,1006.47,1774977427.915260,1774977428.921912
sess-0048-ac898ea6,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1008.67,1774977427.963192,1774977428.972071
sess-0002-f8ec7e79,plan_and_solve,CASCADE_FAILED,7,500,5.0,0.0,1815.48,1774977427.159696,1774977428.975940
sess-0049-5dd6cfa6,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1007.56,1774977427.980546,1774977428.988767
sess-0050-2547f568,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,1007.11,1774977427.985632,1774977428.992978
sess-0007-60321ecc,plan_and_solve,CASCADE_FAILED,6,500,5.0,0.0,1818.90,1774977427.217284,1774977429.036612
sess-0006-4296a923,plan_and_solve,CASCADE_FAILED,7,500,5.0,0.0,1821.38,1774977427.215429,1774977429.037119
sess-0010-5cbcc076,plan_and_solve,CASCADE_FAILED,5,500,3.0,0.0,1773.85,1774977427.302584,1774977429.077007
sess-0021-eab4b11f,plan_and_solve,CASCADE_FAILED,7,500,1.0,0.0,1597.28,1774977427.493074,1774977429.090699
sess-0052-532828d4,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1007.19,1774977428.088416,1774977429.095837
sess-0011-dceab449,plan_and_solve,CASCADE_FAILED,7,500,2.0,0.0,1810.96,1774977427.304534,1774977429.115914
sess-0057-93f2bffe,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,1008.81,1774977428.265248,1774977429.274339
sess-0058-b56da986,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1043.94,1774977428.270162,1774977429.314358
sess-0023-3aa82c57,plan_and_solve,CASCADE_FAILED,5,500,1.0,0.0,1813.20,1774977427.504562,1774977429.318073
sess-0025-14b8c4a7,plan_and_solve,CASCADE_FAILED,4,500,1.0,0.0,1794.71,1774977427.527119,1774977429.322136
sess-0059-9b22c2dd,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1052.05,1774977428.271951,1774977429.324192
sess-0060-96fa698e,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1013.42,1774977428.311289,1774977429.324933
sess-0017-e0c7e055,plan_and_solve,CASCADE_FAILED,7,500,5.0,0.0,1915.68,1774977427.435683,1774977429.351732
sess-0051-2bc0227b,plan_and_solve,CASCADE_FAILED,7,500,1.0,0.0,1294.46,1774977428.057854,1774977429.352740
sess-0014-2f5890e2,plan_and_solve,CASCADE_FAILED,3,500,2.0,0.0,1936.93,1774977427.417481,1774977429.354874
