session_id,mode,state,n_steps,budget,raw_goodput,effective_goodput,total_latency_ms,start_time,end_time
sess-0012-59af53d1,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,4.81,1774778764.351320,1774778764.356412
sess-0013-de2119b0,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,3.48,1774778764.388100,1774778764.391865
sess-0015-c0173e59,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,4.26,1774778764.397957,1774778764.402568
sess-0016-99f5668c,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1.96,1774778764.402655,1774778764.404692
sess-0017-a57ecce2,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,2.92,1774778764.410886,1774778764.413952
sess-0018-3c47c511,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,4.37,1774778764.426557,1774778764.431186
sess-0019-88550edb,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,2.27,1774778764.439046,1774778764.441400
sess-0020-dac93ebe,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,2.70,1774778764.447010,1774778764.449863
sess-0021-543241ae,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,2.25,1774778764.466215,1774778764.468575
sess-0022-0df09d77,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,2.21,1774778764.469792,1774778764.472090
sess-0023-32259bea,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1.71,1774778764.477354,1774778764.479168
sess-0024-6690d84c,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,2.18,1774778764.487574,1774778764.489910
sess-0026-261d393c,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,4.60,1774778764.531920,1774778764.536822
sess-0027-fc09dc95,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,2.90,1774778764.537074,1774778764.540180
sess-0028-f028a4b2,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,3.02,1774778764.552935,1774778764.556174
sess-0029-4012f444,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,3.84,1774778764.571792,1774778764.575987
sess-0030-7ac2377d,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,4.84,1774778764.573317,1774778764.578391
sess-0031-db5cf53b,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,2.96,1774778764.592440,1774778764.595694
sess-0033-dc3d7c41,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,3.03,1774778764.599844,1774778764.603095
sess-0034-665c9811,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,3.16,1774778764.660806,1774778764.664298
sess-0035-68e26412,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,3.74,1774778764.729032,1774778764.733109
sess-0036-20695371,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,3.63,1774778764.762790,1774778764.766675
sess-0037-f4157c22,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,4.04,1774778764.771237,1774778764.775496
sess-0038-fcb51d1c,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,4.97,1774778764.773708,1774778764.778914
sess-0039-9324d5c8,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,2.49,1774778764.797226,1774778764.799916
