session_id,mode,state,n_steps,budget,raw_goodput,effective_goodput,total_latency_ms,start_time,end_time
sess-0012-e0728dc9,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,4.58,1774675318.703635,1774675318.708215
sess-0013-dfcdf66b,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,4.24,1774675318.753221,1774675318.758030
sess-0016-129509ea,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,4.44,1774675318.759583,1774675318.764049
sess-0015-0764d1ac,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,7.54,1774675318.756500,1774675318.764585
sess-0017-3fc520ce,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,7.52,1774675318.760685,1774675318.768317
sess-0019-93bd87c2,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,2.33,1774675318.765865,1774675318.768317
sess-0018-091ec9bb,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,6.09,1774675318.762955,1774675318.769046
sess-0020-45f49786,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1.98,1774675318.767102,1774675318.769592
sess-0021-0f9b0300,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,3.81,1774675318.799368,1774675318.803177
sess-0022-5af11594,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,4.96,1774675318.799952,1774675318.804915
sess-0023-921bd224,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,4.37,1774675318.801988,1774675318.806355
sess-0004-5b2f140e,plan_and_solve,CASCADE_FAILED,7,500,2.0,0.0,259.80,1774675318.546523,1774675318.807517
sess-0024-67523f3a,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,3.80,1774675318.804336,1774675318.808141
sess-0026-9f556f2b,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,2.41,1774675318.845032,1774675318.847441
sess-0027-f3d4d8c5,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,2.50,1774675318.846005,1774675318.848504
sess-0028-a72bcf82,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1.65,1774675318.847441,1774675318.849092
sess-0029-31a852d9,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,2.31,1774675318.859800,1774675318.862109
sess-0030-9400e03a,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1.01,1774675318.861034,1774675318.862109
sess-0031-84f1292b,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,2.92,1774675318.890568,1774675318.893485
sess-0033-bedd8123,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1.73,1774675318.892930,1774675318.894660
sess-0034-2d3c2e09,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,1.72,1774675318.956492,1774675318.958214
sess-0009-f006ed57,plan_and_solve,CASCADE_FAILED,6,500,4.0,0.0,384.44,1774675318.629763,1774675319.014738
sess-0035-3dc47810,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,1.80,1774675319.013473,1774675319.015271
sess-0036-78757296,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,2.98,1774675319.060184,1774675319.063707
sess-0037-a85c4e9c,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,2.46,1774675319.061297,1774675319.064270
sess-0038-a68dc603,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,2.19,1774675319.062627,1774675319.064819
sess-0039-ba8ee4cb,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,2.98,1774675319.091762,1774675319.094774
sess-0040-002cfa79,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,3.45,1774675319.092951,1774675319.096397
sess-0041-d9c5d8f6,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,3.29,1774675319.094216,1774675319.097509
sess-0042-aad6d0f6,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,2.21,1774675319.095290,1774675319.098054
sess-0010-8071d379,plan_and_solve,CASCADE_FAILED,5,500,4.0,0.0,482.53,1774675318.638276,1774675319.121390
sess-0044-a0c5be74,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,2.21,1774675319.152127,1774675319.154845
sess-0045-8c6ea519,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,1.61,1774675319.153209,1774675319.155373
sess-0032-a7a6f64b,plan_and_solve,CASCADE_FAILED,4,500,1.0,0.0,277.21,1774675318.891719,1774675319.168932
sess-0043-6c8a8f4b,plan_and_solve,CASCADE_FAILED,3,500,1.0,0.0,77.27,1774675319.096957,1774675319.174777
