session_id,mode,state,n_steps,budget,raw_goodput,effective_goodput,total_latency_ms,start_time,end_time
sess-0000-e46c738c,plan_and_solve,SUCCESS,3,500,7.0,7.0,916.95,1774778473.823325,1774778474.740705
sess-0003-d8c77ee1,plan_and_solve,SUCCESS,3,500,7.0,7.0,979.10,1774778473.923647,1774778474.903304
sess-0004-20212767,plan_and_solve,CASCADE_FAILED,7,500,2.0,0.0,1256.78,1774778473.943598,1774778475.200871
sess-0014-2a47a299,plan_and_solve,SUCCESS,3,500,3.0,3.0,1306.54,1774778474.154471,1774778475.461586
sess-0001-dd49ffd9,plan_and_solve,CASCADE_FAILED,3,500,5.0,0.0,1815.53,1774778473.833643,1774778475.649435
sess-0045-e36fe7fd,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,1007.67,1774778474.650986,1774778475.658938
sess-0046-e983d149,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1009.46,1774778474.674171,1774778475.684003
sess-0047-92210e9a,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1008.55,1774778474.682340,1774778475.691156
sess-0002-a76fc5f6,plan_and_solve,CASCADE_FAILED,7,500,5.0,0.0,1818.11,1774778473.894873,1774778475.713413
sess-0049-5c4da22c,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1007.44,1774778474.715944,1774778475.723777
sess-0050-1f14e7c6,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,1005.87,1774778474.720479,1774778475.726531
sess-0007-f4d9dffa,plan_and_solve,CASCADE_FAILED,6,500,5.0,0.0,1815.15,1774778473.953580,1774778475.769025
sess-0018-9cd0307e,plan_and_solve,CASCADE_FAILED,7,500,1.0,0.0,1615.39,1774778474.187424,1774778475.803129
sess-0008-c4a06446,plan_and_solve,CASCADE_FAILED,3,500,5.0,0.0,1813.08,1774778473.994524,1774778475.807976
sess-0011-510d54c5,plan_and_solve,CASCADE_FAILED,7,500,2.0,0.0,1786.42,1774778474.041051,1774778475.827990
sess-0052-811dc045,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1006.34,1774778474.824651,1774778475.831218
sess-0025-d23f06c2,plan_and_solve,CASCADE_FAILED,4,500,1.0,0.0,1677.79,1774778474.262413,1774778475.940508
sess-0055-1430a809,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1005.42,1774778474.946459,1774778475.952106
sess-0023-2d289ebb,plan_and_solve,CASCADE_FAILED,5,500,1.0,0.0,1718.69,1774778474.238873,1774778475.957917
sess-0056-d7b8c844,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,1009.38,1774778474.997725,1774778476.007370
sess-0057-3dd465d9,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,1008.75,1774778475.000116,1774778476.009012
sess-0015-f2e73636,plan_and_solve,CASCADE_FAILED,7,500,2.0,0.0,1852.07,1774778474.158907,1774778476.011261
sess-0058-f744ed55,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1008.88,1774778475.004917,1774778476.014009
sess-0059-83c2e75f,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1008.56,1774778475.005915,1774778476.014601
sess-0061-ddf008b5,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1010.54,1774778475.056880,1774778476.067734
sess-0062-3c42f93c,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,1006.73,1774778475.064327,1774778476.071330
sess-0063-8dd20fe9,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,1030.23,1774778475.100227,1774778476.130687
sess-0065-7b635521,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,1016.02,1774778475.117381,1774778476.133674
sess-0066-157460a7,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1009.40,1774778475.134329,1774778476.144003
sess-0067-0f8a5e6a,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1006.61,1774778475.138338,1774778476.145164
sess-0031-c3ab2cc8,plan_and_solve,CASCADE_FAILED,5,500,1.0,0.0,1809.95,1774778474.356486,1774778476.166979
sess-0017-944fd5b8,plan_and_solve,CASCADE_FAILED,7,500,5.0,0.0,2006.43,1774778474.171693,1774778476.178688
sess-0068-ff67fa04,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1008.88,1774778475.173266,1774778476.182376
sess-0069-101f7019,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,1008.00,1774778475.175502,1774778476.183793
sess-0010-2ba8642f,plan_and_solve,CASCADE_FAILED,5,500,4.0,0.0,2180.40,1774778474.039032,1774778476.220192
sess-0071-9b93dc1d,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1008.34,1774778475.293219,1774778476.301846
sess-0073-ee71c647,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1006.30,1774778475.300184,1774778476.306650
sess-0072-26d89f36,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,1008.38,1774778475.298882,1774778476.307462
sess-0076-fe2d61be,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1006.27,1774778475.387906,1774778476.394405
sess-0013-be7167a5,plan_and_solve,CASCADE_FAILED,4,500,5.0,0.0,2253.10,1774778474.149190,1774778476.402597
sess-0077-4426b30a,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1006.55,1774778475.418387,1774778476.425257
sess-0033-b50e500b,plan_and_solve,CASCADE_FAILED,5,500,1.0,0.0,2065.97,1774778474.363324,1774778476.429587
sess-0078-0eb7a2d3,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,1009.51,1774778475.420870,1774778476.430714
sess-0079-d9dddda6,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1006.44,1774778475.430113,1774778476.436823
sess-0080-ab258038,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1006.45,1774778475.433723,1774778476.440497
sess-0034-2f7151cb,plan_and_solve,CASCADE_FAILED,7,500,1.0,0.0,2021.06,1774778474.423870,1774778476.445472
sess-0082-978cf73c,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,1008.37,1774778475.495093,1774778476.503703
sess-0083-d9e69456,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1011.73,1774778475.504140,1774778476.516130
sess-0084-abbc7c94,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,1010.27,1774778475.506154,1774778476.516686
sess-0036-dc0db249,plan_and_solve,CASCADE_FAILED,6,500,1.0,0.0,1996.50,1774778474.526137,1774778476.523051
sess-0085-be6b0173,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,1010.82,1774778475.514374,1774778476.525404
sess-0012-ef4eaaa3,plan_and_solve,CASCADE_FAILED,6,500,6.0,0.0,2414.88,1774778474.111934,1774778476.527158
