session_id,mode,state,n_steps,budget,raw_goodput,effective_goodput,total_latency_ms,start_time,end_time
sess-0003-c89deed1,plan_and_solve,SUCCESS,3,500,7.0,7.0,984.57,1774675102.675430,1774675103.660021
sess-0019-4336c4db,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,1014.84,1774675102.904125,1774675103.918970
sess-0016-85c98ef9,plan_and_solve,CASCADE_FAILED,5,500,1.0,0.0,1173.10,1774675102.897979,1774675104.071650
sess-0034-d07401c4,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,1022.16,1774675103.051266,1774675104.073430
sess-0011-dc6e0010,plan_and_solve,CASCADE_FAILED,7,500,2.0,0.0,1289.66,1774675102.783769,1774675104.073430
sess-0009-b247ded3,plan_and_solve,CASCADE_FAILED,6,500,4.0,0.0,1349.00,1774675102.767770,1774675104.116797
sess-0035-ef90e045,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,1020.89,1774675103.111513,1774675104.132976
sess-0037-b2482a5f,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,1008.21,1774675103.153585,1774675104.162328
sess-0038-4e095b9e,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,1016.49,1774675103.156259,1774675104.172752
sess-0043-bf21960d,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,1018.47,1774675103.206025,1774675104.225060
sess-0042-2757c321,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1022.25,1774675103.203919,1774675104.226174
sess-0041-6ceee379,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,1025.41,1774675103.200760,1774675104.226174
sess-0045-9170a43b,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,1010.25,1774675103.260770,1774675104.271015
sess-0046-b02e7132,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1023.02,1774675103.262771,1774675104.285794
sess-0047-3f90352b,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1021.25,1774675103.265102,1774675104.286353
sess-0018-9382e02a,plan_and_solve,CASCADE_FAILED,7,500,1.0,0.0,1386.37,1774675102.902126,1774675104.288497
sess-0052-d55d512e,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1010.34,1774675103.396083,1774675104.406520
sess-0048-db355481,plan_and_solve,CASCADE_FAILED,6,500,1.0,0.0,1154.68,1774675103.267109,1774675104.422356
sess-0000-2497e64a,plan_and_solve,SUCCESS,3,500,7.0,7.0,1921.94,1774675102.583879,1774675104.506345
sess-0054-a52689a5,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1016.46,1774675103.497822,1774675104.514286
sess-0021-98a0046e,plan_and_solve,CASCADE_FAILED,7,500,1.0,0.0,1593.52,1774675102.936859,1774675104.530420
sess-0055-0be4ba31,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1013.61,1774675103.516807,1774675104.530420
sess-0008-b91c6140,plan_and_solve,CASCADE_FAILED,3,500,5.0,0.0,1825.52,1774675102.736460,1774675104.561984
sess-0020-ff8cb1c7,plan_and_solve,CASCADE_FAILED,4,500,1.0,0.0,1669.77,1774675102.906126,1774675104.575894
sess-0059-433c04dc,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1015.44,1774675103.576767,1774675104.592202
sess-0061-81540e88,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1013.22,1774675103.581364,1774675104.594580
sess-0060-062c2d25,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1016.34,1774675103.578926,1774675104.595265
sess-0025-b9311326,plan_and_solve,CASCADE_FAILED,4,500,1.0,0.0,1658.02,1774675102.949683,1774675104.607706
sess-0067-02fc4dec,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1023.80,1774675103.660277,1774675104.684077
sess-0066-1ec92b0b,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1024.88,1774675103.660277,1774675104.685160
sess-0023-f084f478,plan_and_solve,CASCADE_FAILED,5,500,1.0,0.0,1753.16,1774675102.944380,1774675104.698053
sess-0068-c88535a2,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1020.88,1774675103.692832,1774675104.713709
sess-0069-696a56f9,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,1020.32,1774675103.693406,1774675104.714244
sess-0015-02e88a60,plan_and_solve,CASCADE_FAILED,7,500,1.0,0.0,1880.23,1774675102.895413,1774675104.776173
sess-0070-eb6944da,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,1010.66,1774675103.794268,1774675104.805438
sess-0073-d622620a,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1021.53,1774675103.844853,1774675104.866967
sess-0074-083cd20b,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1007.85,1774675103.874254,1774675104.882847
sess-0017-25b58325,plan_and_solve,CASCADE_FAILED,7,500,5.0,0.0,1983.27,1774675102.900083,1774675104.883389
sess-0076-621e601a,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1008.67,1774675103.919505,1774675104.928172
sess-0031-74d9423a,plan_and_solve,CASCADE_FAILED,5,500,1.0,0.0,1941.85,1774675103.001219,1774675104.943066
sess-0078-73ea9808,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,1012.31,1774675103.962382,1774675104.974906
sess-0079-2292e22e,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1011.80,1774675103.964814,1774675104.977132
sess-0080-957419cf,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1022.83,1774675103.967249,1774675104.990077
sess-0081-27000f54,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1010.15,1774675104.023930,1774675105.034633
sess-0084-0659654f,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,1025.98,1774675104.058040,1774675105.084022
sess-0085-f0099bd4,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,1023.03,1774675104.060991,1774675105.084022
sess-0086-a9c03936,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,1021.98,1774675104.063313,1774675105.085295
