session_id,mode,state,n_steps,budget,raw_goodput,effective_goodput,total_latency_ms,start_time,end_time
sess-0055-7eded1c9,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,4.18,1774674891.403517,1774674891.407694
sess-0003-996650f9,plan_and_solve,SUCCESS,3,500,7.0,7.0,991.77,1774674890.440083,1774674891.432408
sess-0057-4ea31244,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,7.23,1774674891.454784,1774674891.462011
sess-0058-b249ecc3,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,10.97,1774674891.455439,1774674891.466409
sess-0060-918b16ab,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,3.30,1774674891.463112,1774674891.466409
sess-0059-005c2a59,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,7.55,1774674891.460920,1774674891.468470
sess-0062-c4af8186,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,2.05,1774674891.467515,1774674891.469569
sess-0061-3987cc2c,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,4.81,1774674891.465323,1774674891.470131
sess-0063-e7269d56,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,2.42,1774674891.510226,1774674891.513172
sess-0064-806031b5,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,2.47,1774674891.511783,1774674891.514257
sess-0065-6eb4c30b,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,2.26,1774674891.512548,1774674891.514811
sess-0066-7a65cfb4,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1.08,1774674891.530092,1774674891.532750
sess-0067-b501fdb9,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1.16,1774674891.531507,1774674891.532809
sess-0068-1b29bb7d,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,2.82,1774674891.564953,1774674891.567786
sess-0069-687dcc44,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,1.23,1774674891.566555,1774674891.567786
sess-0070-468c5a20,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,2.21,1774674891.664664,1774674891.666877
sess-0071-b02e4352,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,3.98,1774674891.711010,1774674891.715051
sess-0072-05e8b8c8,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,3.63,1774674891.712009,1774674891.715635
sess-0073-2443249e,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1.32,1774674891.713692,1774674891.716172
sess-0074-5ad3fb98,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1.19,1774674891.742204,1774674891.743392
sess-0075-1359587f,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1.66,1774674891.772827,1774674891.774485
sess-0076-a90c78a9,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1.66,1774674891.799375,1774674891.801032
sess-0077-861d39fe,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,3.13,1774674891.827530,1774674891.830658
sess-0078-2dfeed99,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,3.48,1774674891.828787,1774674891.832270
sess-0079-324c2470,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,2.85,1774674891.830078,1774674891.832928
sess-0080-2fa75054,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1.89,1774674891.831706,1774674891.833591
sess-0081-c6ec74f6,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1.64,1774674891.878437,1774674891.880609
sess-0082-6dc849c3,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,2.70,1774674891.908984,1774674891.911683
sess-0083-7a82751d,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,3.67,1774674891.910150,1774674891.913821
sess-0084-1a52363f,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,3.41,1774674891.911683,1774674891.915096
