timestamp,status,latency_ms,budget,tool_name
1773921185.750933,success,159.49,100,web_fetch
1773921185.828808,success,8.64,100,calculate
1773921186.043544,success,156.65,100,web_fetch
1773921186.139525,success,156.41,100,web_fetch
1773921186.185201,success,7.89,100,calculate
1773921186.264071,success,5.56,100,calculate
1773921186.342020,success,812.90,100,mock_heavy
1773921186.510452,success,244.36,100,web_fetch
1773921186.555593,success,276.33,100,web_fetch
1773921186.617664,success,304.95,100,calculate
1773921186.619664,success,349.58,100,web_fetch
1773921186.799885,success,201.81,100,calculate
1773921186.891849,success,185.64,100,calculate
1773921186.922619,success,1128.73,100,mock_heavy
1773921187.108335,success,943.02,100,mock_heavy
1773921187.154916,success,986.12,100,mock_heavy
1773921187.213794,success,452.49,100,web_fetch
1773921187.324547,success,387.01,100,calculate
1773921187.355165,success,1420.16,100,mock_heavy
1773921187.357826,success,724.78,100,calculate
1773921187.523686,success,1467.91,100,mock_heavy
1773921187.649618,success,1001.62,100,web_fetch
1773921187.695144,success,725.72,100,calculate
1773921187.696739,error,4.25,100,calculate
1773921187.773165,success,847.22,100,web_fetch
1773921187.972534,success,678.71,100,web_fetch
1773921188.083148,error,2.90,100,calculate
1773921188.110016,error,2.37,100,calculate
1773921188.234266,success,541.06,100,calculate
1773921188.265203,rejected,1.61,100,mock_heavy
1773921188.343344,success,494.15,100,calculate
1773921188.497922,rejected,0.98,100,mock_heavy
1773921188.543102,success,460.95,100,web_fetch
1773921188.543787,success,537.31,100,web_fetch
1773921188.898235,rejected,1.90,100,mock_heavy
1773921188.929029,success,213.24,100,web_fetch
1773921189.230657,success,180.03,100,web_fetch
1773921189.337946,success,804.49,100,mock_heavy
1773921189.470648,success,285.05,100,web_fetch
1773921189.646853,success,236.49,100,web_fetch
1773921189.862730,success,864.87,100,mock_heavy
1773921189.913415,success,433.14,100,web_fetch
1773921189.959496,success,1077.29,100,mock_heavy
1773921189.960177,success,432.85,100,calculate
1773921189.961177,success,1337.52,100,mock_heavy
1773921190.142440,success,880.29,100,web_fetch
1773921190.346552,success,504.86,100,calculate
1773921190.347555,success,1476.19,100,mock_heavy
1773921190.377129,success,874.91,100,web_fetch
1773921190.378150,error,1.61,100,mock_heavy
1773921190.620003,success,663.23,100,web_fetch
1773921190.850246,rejected,1.71,100,mock_heavy
1773921191.022727,rejected,1.51,100,mock_heavy
1773921191.159467,rejected,1.59,100,mock_heavy
1773921191.250298,success,355.86,100,web_fetch
1773921191.389206,success,863.84,100,mock_heavy
