timestamp,status,latency_ms,budget,tool_name
1773922037.308448,success,159.13,100,web_fetch
1773922037.312066,success,6.30,100,calculate
1773922037.384059,success,157.35,100,web_fetch
1773922037.415155,success,185.56,100,web_fetch
1773922037.417776,success,9.62,100,calculate
1773922037.419919,success,9.60,100,calculate
1773922037.422889,success,8.97,100,calculate
1773922037.467578,success,5.18,100,calculate
1773922037.468637,success,257.54,100,web_fetch
1773922037.470076,success,163.17,100,web_fetch
1773922037.470619,success,8.26,100,calculate
1773922037.538497,success,5.49,100,calculate
1773922037.567961,success,906.72,100,mock_heavy
1773922037.569669,success,905.55,100,mock_heavy
1773922037.601256,success,1072.93,100,mock_heavy
1773922037.602324,success,677.74,100,calculate
1773922037.602324,success,902.03,100,web_fetch
1773922037.633250,success,1610.46,100,mock_heavy
1773922037.634244,success,977.29,100,calculate
1773922037.636527,error,4.49,100,calculate
1773922037.677199,error,2.32,100,web_fetch
1773922037.723764,error,3.50,100,calculate
1773922037.724805,error,4.73,100,calculate
1773922037.726721,error,2.76,100,web_fetch
1773922037.754099,success,1095.89,100,web_fetch
1773922037.816076,error,2.27,100,calculate
1773922037.847559,error,1.54,100,calculate
1773922037.848104,error,2.62,100,calculate
1773922037.894054,rejected,2.22,100,mock_heavy
1773922037.894605,error,2.78,100,calculate
1773922037.924967,error,2.66,100,web_fetch
1773922037.973535,success,954.25,100,web_fetch
1773922037.973585,error,3.40,100,calculate
1773922037.975247,error,3.38,100,web_fetch
1773922038.064853,error,3.10,100,web_fetch
1773922038.066496,error,1.46,100,web_fetch
1773922038.156585,error,2.44,100,web_fetch
1773922038.186929,success,801.27,100,web_fetch
1773922038.233734,error,1.92,100,calculate
1773922038.279495,success,617.73,100,calculate
1773922038.341342,rejected,4.52,100,mock_heavy
1773922038.342928,error,7.05,100,web_fetch
1773922038.344816,error,5.16,100,calculate
1773922038.346955,rejected,2.48,100,mock_heavy
1773922038.348194,error,4.37,100,web_fetch
1773922038.409913,rejected,1.51,100,mock_heavy
1773922038.472450,error,3.70,100,web_fetch
1773922038.474131,rejected,2.56,100,mock_heavy
1773922038.475611,rejected,2.46,100,mock_heavy
1773922038.477234,rejected,1.38,100,mock_heavy
1773922038.548503,error,2.80,100,web_fetch
1773922038.609811,rejected,1.69,100,mock_heavy
1773922038.672712,success,569.97,100,web_fetch
1773922038.709998,success,568.92,100,web_fetch
1773922038.741187,success,474.73,100,calculate
1773922038.787423,success,596.24,100,web_fetch
1773922038.880230,success,515.88,100,web_fetch
1773922038.897227,error,2.46,100,calculate
1773922038.898345,error,1.89,100,calculate
1773922038.926610,success,320.20,100,calculate
1773922038.927783,error,2.25,100,calculate
1773922038.988741,error,1.65,100,calculate
1773922039.080075,success,167.52,100,calculate
1773922039.081100,error,2.28,100,web_fetch
1773922039.109972,error,3.44,100,web_fetch
1773922039.140960,success,261.28,100,web_fetch
1773922039.200612,success,51.01,100,calculate
1773922039.201648,error,3.05,100,web_fetch
1773922039.324810,success,156.14,100,web_fetch
1773922039.396114,success,156.74,100,web_fetch
1773922039.448541,success,156.46,100,web_fetch
1773922039.480952,success,159.38,100,web_fetch
1773922039.509531,success,156.84,100,web_fetch
1773922039.511133,rejected,1.22,100,mock_heavy
1773922039.572064,success,5.56,100,calculate
1773922039.572720,success,157.65,100,web_fetch
