timestamp,status,latency_ms,budget,tool_name
1773907698.128217,success,183.35,100,web_fetch
1773907698.159372,success,820.73,100,mock_heavy
1773907698.212936,success,349.79,100,web_fetch
1773907698.246087,success,947.89,100,mock_heavy
1773907698.247924,success,732.18,100,web_fetch
1773907698.250069,success,1495.72,100,mock_heavy
1773907698.277088,success,734.19,100,calculate
1773907698.308047,success,806.38,100,calculate
1773907698.310239,error,6.62,100,mock_heavy
1773907698.312303,success,1652.61,100,mock_heavy
1773907698.313928,error,4.03,100,mock_heavy
1773907698.376976,error,2.33,100,mock_heavy
1773907698.408370,error,2.06,100,web_fetch
1773907698.409153,error,2.18,100,mock_heavy
1773907698.459867,error,3.83,100,mock_heavy
1773907698.460537,error,3.16,100,calculate
1773907698.461764,error,4.27,100,mock_heavy
1773907698.495009,error,2.55,100,mock_heavy
1773907698.495009,error,3.09,100,mock_heavy
1773907698.496852,error,1.79,100,web_fetch
1773907698.527354,success,1001.70,100,calculate
1773907698.560458,error,4.33,100,mock_heavy
1773907698.562172,error,3.00,100,mock_heavy
1773907698.563700,error,2.59,100,calculate
1773907698.595561,error,2.00,100,web_fetch
1773907698.646121,error,2.23,100,calculate
1773907698.677133,error,2.24,100,mock_heavy
1773907698.678683,error,1.89,100,calculate
1773907698.725580,error,2.32,100,mock_heavy
1773907698.726618,error,1.83,100,web_fetch
1773907698.746643,error,2.31,100,calculate
1773907698.777407,success,804.52,100,calculate
1773907698.778913,error,1.62,100,calculate
1773907698.779737,error,1.36,100,mock_heavy
1773907698.876934,error,2.69,100,mock_heavy
1773907698.877970,error,1.93,100,calculate
1773907698.960222,success,1005.23,100,web_fetch
1773907698.980103,error,2.87,100,web_fetch
1773907699.009900,error,2.64,100,mock_heavy
1773907699.060795,success,967.11,100,web_fetch
1773907699.115500,success,1615.99,100,mock_heavy
1773907699.115547,error,4.20,100,mock_heavy
1773907699.117148,error,3.14,100,web_fetch
1773907699.117954,error,2.33,100,web_fetch
1773907699.118651,error,5.13,100,mock_heavy
1773907699.161687,error,2.24,100,web_fetch
1773907699.227715,error,2.55,100,mock_heavy
1773907699.228357,error,2.93,100,calculate
1773907699.229422,error,1.86,100,mock_heavy
