session_id,mode,state,n_steps,budget,raw_goodput,effective_goodput,total_latency_ms,start_time,end_time
sess-0000-70bf3910,plan_and_solve,SUCCESS,3,500,7.0,7.0,841.68,1774958015.487911,1774958016.330050
sess-0003-0f574ca8,plan_and_solve,SUCCESS,3,500,7.0,7.0,974.07,1774958015.811868,1774958016.786371
sess-0014-eaec50c9,plan_and_solve,SUCCESS,3,500,3.0,3.0,947.26,1774958016.559463,1774958017.507116
sess-0010-ffa80348,plan_and_solve,SUCCESS,5,500,9.0,9.0,1351.56,1774958016.186176,1774958017.538673
sess-0001-2e049ba6,plan_and_solve,SUCCESS,3,500,11.0,11.0,2163.81,1774958015.520584,1774958017.684748
sess-0008-0b9a6420,plan_and_solve,SUCCESS,3,500,7.0,7.0,1900.83,1774958016.039175,1774958017.940484
sess-0009-b2b6027a,plan_and_solve,SUCCESS,6,500,14.0,14.0,2269.89,1774958016.101963,1774958018.373113
sess-0004-9f37c580,plan_and_solve,SUCCESS,7,500,11.0,11.0,2810.85,1774958015.873404,1774958018.685124
sess-0005-668186db,plan_and_solve,SUCCESS,5,500,13.0,13.0,3204.05,1774958015.885406,1774958019.090629
sess-0016-c275ccf5,plan_and_solve,SUCCESS,5,500,9.0,9.0,2566.53,1774958016.589591,1774958019.156804
sess-0012-1a6558a7,plan_and_solve,SUCCESS,6,500,10.0,10.0,2735.26,1774958016.422850,1774958019.158928
sess-0025-c02ee981,plan_and_solve,SUCCESS,4,500,4.0,4.0,1336.61,1774958017.940522,1774958019.277553
sess-0013-626c1139,plan_and_solve,SUCCESS,4,500,12.0,12.0,2814.33,1774958016.542597,1774958019.357411
sess-0007-fa4113ac,plan_and_solve,SUCCESS,6,500,14.0,14.0,3485.74,1774958015.903332,1774958019.390046
sess-0011-4a9262f9,plan_and_solve,SUCCESS,7,500,15.0,15.0,3357.23,1774958016.188567,1774958019.546651
sess-0015-b035551a,plan_and_solve,SUCCESS,7,500,11.0,11.0,3296.04,1774958016.575083,1774958019.872240
sess-0020-6d09312e,plan_and_solve,SUCCESS,4,500,12.0,12.0,3175.95,1774958016.729250,1774958019.905787
sess-0019-37d8514c,plan_and_solve,SUCCESS,7,500,15.0,15.0,3702.43,1774958016.704048,1774958020.407397
sess-0024-f2392090,plan_and_solve,SUCCESS,5,500,13.0,13.0,3045.21,1774958017.684796,1774958020.730671
sess-0021-5a85750a,plan_and_solve,SUCCESS,7,500,15.0,15.0,3944.40,1774958016.793002,1774958020.738484
sess-0002-813c1b0e,plan_and_solve,SUCCESS,7,500,23.0,23.0,5138.94,1774958015.722245,1774958020.862128
sess-0032-277b7a99,plan_and_solve,SUCCESS,4,500,4.0,4.0,1544.80,1774958019.357491,1774958020.902758
sess-0023-fadf8e83,plan_and_solve,SUCCESS,5,500,13.0,13.0,3380.37,1774958017.538710,1774958020.919672
sess-0031-b066e8cd,plan_and_solve,SUCCESS,5,500,5.0,5.0,1657.40,1774958019.277620,1774958020.935671
sess-0018-8a8f4893,plan_and_solve,SUCCESS,7,500,19.0,19.0,4335.77,1774958016.665723,1774958021.003109
sess-0017-c0f7c82d,plan_and_solve,SUCCESS,7,500,19.0,19.0,4625.80,1774958016.614702,1774958021.241716
sess-0026-cb53edb8,plan_and_solve,SUCCESS,7,500,11.0,11.0,2962.51,1774958018.373180,1774958021.336510
sess-0027-35ec9369,plan_and_solve,SUCCESS,4,500,12.0,12.0,2673.65,1774958018.685160,1774958021.359399
sess-0028-ce64042b,plan_and_solve,SUCCESS,4,500,8.0,8.0,2367.53,1774958019.090722,1774958021.459013
sess-0006-be797f08,plan_and_solve,SUCCESS,7,500,23.0,23.0,5822.98,1774958015.898415,1774958021.722187
sess-0043-aa604561,plan_and_solve,SUCCESS,3,500,3.0,3.0,984.04,1774958020.935735,1774958021.920257
sess-0030-4afb325f,plan_and_solve,SUCCESS,6,500,10.0,10.0,2889.92,1774958019.158976,1774958022.049688
sess-0022-0001112f,plan_and_solve,SUCCESS,7,500,19.0,19.0,4560.04,1774958017.507175,1774958022.068003
sess-0033-b36b10e3,plan_and_solve,SUCCESS,5,500,13.0,13.0,2929.37,1774958019.390130,1774958022.320310
sess-0041-16fb4655,plan_and_solve,SUCCESS,3,500,7.0,7.0,1592.52,1774958020.902795,1774958022.495724
sess-0035-40d523b3,plan_and_solve,SUCCESS,7,500,7.0,7.0,2752.73,1774958019.872333,1774958022.626210
sess-0034-4d8ff633,plan_and_solve,SUCCESS,7,500,11.0,11.0,3097.54,1774958019.546740,1774958022.645108
sess-0045-2e84bfd5,plan_and_solve,SUCCESS,3,500,7.0,7.0,1826.67,1774958021.241877,1774958023.069079
sess-0042-ab191cc4,plan_and_solve,SUCCESS,4,500,8.0,8.0,2159.14,1774958020.919712,1774958023.079360
sess-0036-ec16e6cf,plan_and_solve,SUCCESS,6,500,10.0,10.0,3254.17,1774958019.905885,1774958023.160919
sess-0038-80ecb2a7,plan_and_solve,SUCCESS,7,500,7.0,7.0,2780.13,1774958020.730763,1774958023.511912
sess-0029-f91e7558,plan_and_solve,SUCCESS,7,500,19.0,19.0,4646.67,1774958019.156876,1774958023.804384
sess-0049-85dbc100,plan_and_solve,SUCCESS,4,500,8.0,8.0,2211.54,1774958021.722220,1774958023.934298
sess-0040-5940cc47,plan_and_solve,SUCCESS,5,500,13.0,13.0,3254.74,1774958020.862279,1774958024.117846
sess-0046-8e39e043,plan_and_solve,SUCCESS,5,500,9.0,9.0,3150.53,1774958021.336607,1774958024.487717
sess-0047-04bab93c,plan_and_solve,SUCCESS,4,500,12.0,12.0,3204.91,1774958021.359492,1774958024.564884
sess-0053-a7abb009,plan_and_solve,SUCCESS,3,500,11.0,11.0,2481.40,1774958022.320396,1774958024.802283
sess-0059-16276a57,plan_and_solve,SUCCESS,4,500,4.0,4.0,1658.72,1774958023.160991,1774958024.820260
sess-0039-12954c67,plan_and_solve,SUCCESS,6,500,18.0,18.0,4112.24,1774958020.738576,1774958024.851682
sess-0044-03c6070d,plan_and_solve,SUCCESS,6,500,14.0,14.0,3974.13,1774958021.003205,1774958024.978201
sess-0057-d177df5e,plan_and_solve,SUCCESS,3,500,7.0,7.0,2225.79,1774958023.069161,1774958025.295441
sess-0048-241d5151,plan_and_solve,SUCCESS,6,500,14.0,14.0,3845.79,1774958021.459114,1774958025.305731
sess-0037-7d56628a,plan_and_solve,SUCCESS,7,500,19.0,19.0,5158.01,1774958020.407487,1774958025.566284
sess-0054-8a4891ed,plan_and_solve,SUCCESS,6,500,10.0,10.0,3135.36,1774958022.495807,1774958025.631907
sess-0055-92362033,plan_and_solve,SUCCESS,4,500,12.0,12.0,3009.55,1774958022.626302,1774958025.636418
sess-0064-9e17a747,plan_and_solve,SUCCESS,4,500,4.0,4.0,1713.11,1774958024.487778,1774958026.201240
sess-0058-751b68a0,plan_and_solve,SUCCESS,6,500,10.0,10.0,3288.05,1774958023.079447,1774958026.368340
sess-0070-71fbdc1f,plan_and_solve,SUCCESS,3,500,3.0,3.0,1088.36,1774958025.295531,1774958026.384325
sess-0061-4a4f83c0,plan_and_solve,SUCCESS,5,500,9.0,9.0,2676.97,1774958023.804433,1774958026.481822
sess-0056-d99bc94f,plan_and_solve,SUCCESS,7,500,15.0,15.0,3920.84,1774958022.645205,1774958026.567153
