gateway,run_idx,sweep_key,sweep_val,success,rejected_s0,cascade_failed,raw_goodput,effective_goodput,raw_goodput_s,effective_goodput_s,p50_ms,p95_ms,p99_ms,e2e_p50_ms,e2e_p95_ms,e2e_p99_ms,csv,error
ng,1,heavy_ratio,0.1,200,0,0,1416.0,1416.0,79.58,79.58,252.6,974.7,1039.0,1512.0,2878.4,3328.0,ng_heavy_ratio0.1_run1.csv,
ng,2,heavy_ratio,0.1,200,0,0,1416.0,1416.0,80.02,80.02,263.5,960.0,1044.2,1492.4,2909.6,3353.3,ng_heavy_ratio0.1_run2.csv,
ng,3,heavy_ratio,0.1,200,0,0,1416.0,1416.0,74.85,74.85,269.9,988.3,1158.6,1591.4,3222.5,4031.4,ng_heavy_ratio0.1_run3.csv,
ng,4,heavy_ratio,0.1,200,0,0,1416.0,1416.0,73.45,73.45,268.5,984.2,1672.5,1575.8,3231.2,4358.9,ng_heavy_ratio0.1_run4.csv,
ng,5,heavy_ratio,0.1,200,0,0,1416.0,1416.0,80.0,80.0,261.8,977.4,1026.8,1525.7,2894.9,3323.3,ng_heavy_ratio0.1_run5.csv,
srl,1,heavy_ratio,0.1,200,0,0,1416.0,1416.0,74.52,74.52,256.5,975.3,1051.5,1578.1,2983.0,3395.6,srl_heavy_ratio0.1_run1.csv,
srl,2,heavy_ratio,0.1,200,0,0,1416.0,1416.0,74.93,74.93,265.4,983.3,1243.5,1561.5,3633.1,4483.7,srl_heavy_ratio0.1_run2.csv,
srl,3,heavy_ratio,0.1,200,0,0,1416.0,1416.0,74.09,74.09,258.9,967.9,1031.9,1532.0,2818.5,3934.6,srl_heavy_ratio0.1_run3.csv,
srl,4,heavy_ratio,0.1,200,0,0,1416.0,1416.0,80.23,80.23,260.9,973.1,1046.1,1501.9,2843.4,3333.1,srl_heavy_ratio0.1_run4.csv,
srl,5,heavy_ratio,0.1,200,0,0,1416.0,1416.0,74.78,74.78,258.2,982.4,1126.9,1594.7,3115.1,3643.3,srl_heavy_ratio0.1_run5.csv,
rajomon,1,heavy_ratio,0.1,200,0,0,1416.0,1416.0,74.08,74.08,262.1,1000.2,1083.6,1605.6,3248.5,4102.1,rajomon_heavy_ratio0.1_run1.csv,
rajomon,2,heavy_ratio,0.1,200,0,0,1416.0,1416.0,79.62,79.62,266.4,967.9,1048.1,1552.1,2839.5,3238.7,rajomon_heavy_ratio0.1_run2.csv,
rajomon,3,heavy_ratio,0.1,200,0,0,1416.0,1416.0,80.89,80.89,257.3,960.2,1036.7,1553.9,2792.8,3389.2,rajomon_heavy_ratio0.1_run3.csv,
rajomon,4,heavy_ratio,0.1,200,0,0,1416.0,1416.0,73.9,73.9,260.5,984.2,1600.7,1621.8,3074.4,4139.4,rajomon_heavy_ratio0.1_run4.csv,
rajomon,5,heavy_ratio,0.1,200,0,0,1416.0,1416.0,74.72,74.72,266.3,983.2,1088.1,1603.5,3063.7,4218.9,rajomon_heavy_ratio0.1_run5.csv,
dagor,1,heavy_ratio,0.1,200,0,0,1416.0,1416.0,80.31,80.31,268.4,967.5,1033.2,1544.1,2833.2,3353.6,dagor_heavy_ratio0.1_run1.csv,
dagor,2,heavy_ratio,0.1,200,0,0,1416.0,1416.0,74.56,74.56,272.4,988.5,1140.5,1551.4,3127.6,3757.7,dagor_heavy_ratio0.1_run2.csv,
dagor,3,heavy_ratio,0.1,200,0,0,1416.0,1416.0,75.04,75.04,270.5,977.4,1115.8,1629.9,3453.7,4194.7,dagor_heavy_ratio0.1_run3.csv,
