session_id,mode,state,n_steps,budget,raw_goodput,effective_goodput,total_latency_ms,start_time,end_time
sess-0009-03805d7f,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,4.56,1774958369.176574,1774958369.181415
sess-0011-a4699e9f,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,5.55,1774958369.262656,1774958369.268553
sess-0000-61a842a0,plan_and_solve,SUCCESS,3,500,7.0,7.0,821.28,1774958368.563164,1774958369.384906
sess-0012-3db627de,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,3.60,1774958369.497061,1774958369.500912
sess-0013-0cdb6954,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,2.99,1774958369.616996,1774958369.620207
sess-0014-f83b93a6,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,2.97,1774958369.634704,1774958369.637873
sess-0015-c2798c19,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,2.99,1774958369.649380,1774958369.652610
sess-0016-4fb3b498,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,3.15,1774958369.664114,1774958369.667547
sess-0017-3bdde2cd,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,3.26,1774958369.689029,1774958369.692533
sess-0018-6cd00504,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,3.58,1774958369.739254,1774958369.743116
sess-0019-22ad9f80,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,3.21,1774958369.777759,1774958369.781210
sess-0020-b5c05dc9,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,2.69,1774958369.801757,1774958369.804649
sess-0003-2ef9feea,plan_and_solve,SUCCESS,3,500,7.0,7.0,982.29,1774958368.886960,1774958369.869730
sess-0021-baae63ff,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,4.05,1774958369.866186,1774958369.870576
sess-0022-03b208e5,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,3.36,1774958369.877050,1774958369.880652
sess-0023-c790e029,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,3.23,1774958369.901193,1774958369.904652
sess-0024-d0642148,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,4.50,1774958369.932954,1774958369.937671
sess-0025-0b29c099,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,3.26,1774958369.974605,1774958369.978090
sess-0008-426f42b8,plan_and_solve,SUCCESS,3,500,7.0,7.0,1126.45,1774958369.114012,1774958370.240954
