session_id,mode,state,n_steps,budget,raw_goodput,effective_goodput,total_latency_ms,start_time,end_time
sess-0000-99293231,plan_and_solve,SUCCESS,3,500,7.0,7.0,846.11,1774780862.105965,1774780862.952475
sess-0003-6d3f083e,plan_and_solve,SUCCESS,3,500,7.0,7.0,977.30,1774780862.429736,1774780863.407513
sess-0014-85f00e33,plan_and_solve,SUCCESS,3,500,3.0,3.0,811.26,1774780863.179661,1774780863.991454
sess-0001-4d18db3c,plan_and_solve,SUCCESS,3,500,11.0,11.0,2154.10,1774780862.138203,1774780864.292829
sess-0010-decb4c6d,plan_and_solve,SUCCESS,5,500,9.0,9.0,1657.08,1774780862.803522,1774780864.461489
sess-0008-c773661e,plan_and_solve,SUCCESS,3,500,7.0,7.0,1981.87,1774780862.657692,1774780864.639904
sess-0009-ee6658c1,plan_and_solve,SUCCESS,6,500,14.0,14.0,2557.84,1774780862.719997,1774780865.278853
sess-0005-a767c743,plan_and_solve,SUCCESS,5,500,13.0,13.0,3144.49,1774780862.505039,1774780865.650291
sess-0004-14890e98,plan_and_solve,SUCCESS,7,500,15.0,15.0,3705.81,1774780862.492099,1774780866.199060
sess-0013-f2c141ba,plan_and_solve,SUCCESS,4,500,12.0,12.0,3132.70,1774780863.162500,1774780866.295844
sess-0006-03b638c1,plan_and_solve,CASCADE_FAILED,7,500,17.0,0.0,4083.82,1774780862.517410,1774780866.602006
sess-0030-5e052145,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1.56,1774780866.602095,1774780866.603889
sess-0031-8b176d3a,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1.77,1774780866.603961,1774780866.605999
sess-0032-f0357a30,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,2.63,1774780866.606078,1774780866.608904
sess-0015-be56151c,plan_and_solve,CASCADE_FAILED,7,500,13.0,0.0,3415.27,1774780863.193847,1774780866.610147
sess-0033-668507df,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,3.80,1774780866.609142,1774780866.613152
sess-0021-30ef1254,plan_and_solve,CASCADE_FAILED,7,500,9.0,0.0,3200.91,1774780863.412295,1774780866.614295
sess-0034-cc62940e,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,4.81,1774780866.610531,1774780866.615712
sess-0035-80348f4b,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,3.76,1774780866.613330,1774780866.617309
sess-0036-3779adfb,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,3.73,1774780866.614703,1774780866.618722
sess-0037-3e89756b,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,5.05,1774780866.615952,1774780866.621231
sess-0038-09f2b96c,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,5.07,1774780866.617647,1774780866.622977
sess-0024-79fedc60,plan_and_solve,CASCADE_FAILED,5,500,7.0,0.0,2161.89,1774780864.461616,1774780866.624252
sess-0039-ce70048a,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,4.30,1774780866.620011,1774780866.624513
sess-0040-b5d7913e,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,4.58,1774780866.621563,1774780866.626328
sess-0041-5dafb24a,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,4.80,1774780866.623318,1774780866.628279
sess-0042-2ecbb632,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,3.98,1774780866.624949,1774780866.629106
sess-0043-ed9cec2c,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,3.50,1774780866.625651,1774780866.629286
sess-0044-fd8d8b90,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,3.89,1774780866.626730,1774780866.630772
sess-0018-e8520731,plan_and_solve,CASCADE_FAILED,7,500,12.0,0.0,3345.08,1774780863.284793,1774780866.631059
sess-0045-dc13e022,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,4.16,1774780866.628506,1774780866.632796
sess-0046-327f735b,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,3.98,1774780866.629635,1774780866.633769
sess-0047-477704cb,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,3.70,1774780866.630141,1774780866.633952
sess-0048-46585057,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,3.97,1774780866.631327,1774780866.635489
sess-0049-cd786c28,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,4.54,1774780866.631830,1774780866.636470
sess-0050-a2898dd9,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,3.86,1774780866.632982,1774780866.637017
sess-0051-5d195a23,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,3.21,1774780866.634257,1774780866.637606
sess-0052-b6008b82,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,2.84,1774780866.634759,1774780866.637702
sess-0053-e1b14e31,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,2.54,1774780866.635851,1774780866.638501
sess-0054-0fa8760b,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,2.42,1774780866.636647,1774780866.639153
sess-0055-baf20574,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,2.40,1774780866.637226,1774780866.639717
sess-0056-ee4f395f,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,2.29,1774780866.637873,1774780866.640260
sess-0057-82116cef,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,2.65,1774780866.638144,1774780866.640862
sess-0058-ceb65858,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,2.16,1774780866.638716,1774780866.640990
sess-0059-9ed354cf,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,2.38,1774780866.639333,1774780866.641815
sess-0060-158e57a7,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,2.43,1774780866.639894,1774780866.642416
sess-0061-eb270c6e,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,2.44,1774780866.640497,1774780866.643029
sess-0062-270d3e97,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,2.35,1774780866.641162,1774780866.643601
sess-0063-b9054c44,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,2.61,1774780866.641432,1774780866.644158
sess-0064-80909e92,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,2.15,1774780866.642032,1774780866.644253
sess-0065-8245ab2f,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,2.33,1774780866.642610,1774780866.645026
sess-0066-94cb6a75,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,2.06,1774780866.643207,1774780866.645348
sess-0067-515001bb,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1.64,1774780866.643797,1774780866.645537
sess-0068-0d10e6fc,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1.20,1774780866.644423,1774780866.645696
sess-0069-6023b788,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,1.06,1774780866.644703,1774780866.645838
sess-0007-0ba6ad38,plan_and_solve,CASCADE_FAILED,6,500,17.0,0.0,4133.30,1774780862.522437,1774780866.656565
sess-0070-daeb83af,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,0.46,1774780866.656173,1774780866.656694
sess-0071-d9c0f0a3,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,2.49,1774780866.756470,1774780866.759246
sess-0072-1952b845,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,2.93,1774780866.771934,1774780866.775252
sess-0073-b9482647,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1.93,1774780866.773639,1774780866.775782
sess-0074-a257d7e8,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,2.64,1774780866.887566,1774780866.890492
sess-0027-5b22025f,plan_and_solve,CASCADE_FAILED,4,500,5.0,0.0,1245.92,1774780865.650390,1774780866.896650
sess-0075-d87a3b1e,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,2.60,1774780866.970460,1774780866.973402
sess-0012-a7a679ca,plan_and_solve,SUCCESS,6,500,14.0,14.0,3990.96,1774780863.041144,1774780867.033074
sess-0026-8921c5d4,plan_and_solve,CASCADE_FAILED,7,500,3.0,0.0,1772.34,1774780865.279072,1774780867.052077
sess-0076-678e684c,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1.86,1774780867.058731,1774780867.061130
sess-0025-b8c5b69f,plan_and_solve,CASCADE_FAILED,4,500,10.0,0.0,2444.41,1774780864.639954,1774780867.084802
sess-0023-02684c0e,plan_and_solve,CASCADE_FAILED,5,500,8.0,0.0,2807.53,1774780864.292927,1774780867.101393
sess-0019-1cc38a0a,plan_and_solve,CASCADE_FAILED,7,500,16.0,0.0,3790.98,1774780863.323777,1774780867.115558
sess-0077-2c0e0649,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,2.33,1774780867.158266,1774780867.160887
sess-0078-194fbe20,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,1.76,1774780867.164565,1774780867.166587
sess-0079-9c650668,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,2.09,1774780867.195560,1774780867.197989
sess-0080-9b361cfe,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1.69,1774780867.204518,1774780867.206500
sess-0011-df7f2999,plan_and_solve,CASCADE_FAILED,7,500,18.0,0.0,4450.34,1774780862.806276,1774780867.257847
sess-0017-87304ec6,plan_and_solve,CASCADE_FAILED,7,500,16.0,0.0,4070.08,1774780863.234521,1774780867.305763
sess-0081-17174326,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,2.41,1774780867.338541,1774780867.341213
sess-0082-fb649aee,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,2.39,1774780867.404823,1774780867.407448
sess-0028-d6aae47e,plan_and_solve,CASCADE_FAILED,4,500,5.0,0.0,1230.76,1774780866.199248,1774780867.430519
sess-0083-5dd16c5c,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,2.09,1774780867.432158,1774780867.434496
sess-0022-e49287b9,plan_and_solve,CASCADE_FAILED,7,500,12.0,0.0,3444.62,1774780863.991508,1774780867.437114
