session_id,mode,state,n_steps,budget,raw_goodput,effective_goodput,total_latency_ms,start_time,end_time
sess-0000-6aa72f3c,plan_and_solve,SUCCESS,3,500,7.0,7.0,843.80,1774780095.772149,1774780096.616309
sess-0003-3bc1311c,plan_and_solve,SUCCESS,3,500,7.0,7.0,977.20,1774780096.095348,1774780097.073105
sess-0014-efcf58a0,plan_and_solve,SUCCESS,3,500,3.0,3.0,955.57,1774780096.843787,1774780097.799707
sess-0001-d47e59b9,plan_and_solve,SUCCESS,3,500,11.0,11.0,2175.58,1774780095.804187,1774780097.980138
sess-0010-9db87c74,plan_and_solve,SUCCESS,5,500,9.0,9.0,1536.41,1774780096.468173,1774780098.005403
sess-0008-00d4005a,plan_and_solve,SUCCESS,3,500,7.0,7.0,1882.10,1774780096.323076,1774780098.205486
sess-0009-70675085,plan_and_solve,SUCCESS,6,500,14.0,14.0,2410.74,1774780096.385424,1774780098.797160
sess-0004-5e93616f,plan_and_solve,SUCCESS,7,500,11.0,11.0,2964.60,1774780096.156953,1774780099.122401
sess-0005-bab144a1,plan_and_solve,SUCCESS,5,500,13.0,13.0,3029.35,1774780096.170024,1774780099.200132
sess-0016-9dc959a9,plan_and_solve,SUCCESS,5,500,9.0,9.0,2401.36,1774780096.872733,1774780099.275089
sess-0007-d6451e28,plan_and_solve,SUCCESS,6,500,14.0,14.0,3384.58,1774780096.187601,1774780099.572870
sess-0012-e371475b,plan_and_solve,SUCCESS,6,500,10.0,10.0,2945.73,1774780096.705918,1774780099.652459
sess-0025-a8c9cad7,plan_and_solve,SUCCESS,4,500,4.0,4.0,1462.52,1774780098.205527,1774780099.668556
sess-0013-ca631845,plan_and_solve,SUCCESS,4,500,12.0,12.0,2862.29,1774780096.826682,1774780099.689499
sess-0011-4f148781,plan_and_solve,SUCCESS,7,500,15.0,15.0,3331.11,1774780096.471270,1774780099.803376
sess-0015-753504b6,plan_and_solve,SUCCESS,7,500,11.0,11.0,3113.52,1774780096.858106,1774780099.972476
sess-0020-a9201944,plan_and_solve,SUCCESS,4,500,12.0,12.0,3006.76,1774780097.011265,1774780100.018849
sess-0019-c510cfcc,plan_and_solve,SUCCESS,7,500,15.0,15.0,3646.91,1774780096.986837,1774780100.634767
sess-0032-b5a1769b,plan_and_solve,SUCCESS,4,500,4.0,4.0,1313.11,1774780099.668900,1774780100.982805
sess-0002-16e757d6,plan_and_solve,SUCCESS,7,500,23.0,23.0,5028.88,1774780096.005899,1774780101.035819
sess-0023-ad5811ed,plan_and_solve,SUCCESS,5,500,13.0,13.0,3068.65,1774780097.980174,1774780101.049735
sess-0021-203c7f8d,plan_and_solve,SUCCESS,7,500,15.0,15.0,4124.90,1774780097.075473,1774780101.201253
sess-0018-0720fd6d,plan_and_solve,SUCCESS,7,500,19.0,19.0,4268.45,1774780096.948232,1774780101.217820
sess-0024-a411b112,plan_and_solve,SUCCESS,5,500,13.0,13.0,3311.37,1774780098.005444,1774780101.317566
sess-0031-dcfd44b6,plan_and_solve,SUCCESS,5,500,5.0,5.0,1694.63,1774780099.652556,1774780101.347992
sess-0006-13474ac1,plan_and_solve,SUCCESS,7,500,23.0,23.0,5394.54,1774780096.182636,1774780101.578076
sess-0017-40fea6bb,plan_and_solve,SUCCESS,7,500,19.0,19.0,4701.41,1774780096.897887,1774780101.600287
sess-0028-1c66bcbc,plan_and_solve,SUCCESS,4,500,8.0,8.0,2497.54,1774780099.200227,1774780101.698536
sess-0027-ebb79eda,plan_and_solve,SUCCESS,4,500,12.0,12.0,2761.53,1774780099.122439,1774780101.884578
sess-0043-7e5d64d8,plan_and_solve,SUCCESS,3,500,3.0,3.0,688.12,1774780101.317663,1774780102.006102
