session_id,mode,state,n_steps,budget,raw_goodput,effective_goodput,total_latency_ms,start_time,end_time
sess-0003-ae57bb80,plan_and_solve,SUCCESS,3,500,7.0,7.0,974.33,1774781896.574924,1774781897.549665
sess-0000-20ff328d,plan_and_solve,SUCCESS,3,500,11.0,11.0,1641.82,1774781896.251982,1774781897.894145
sess-0001-db58ed33,plan_and_solve,SUCCESS,3,500,15.0,15.0,3239.99,1774781896.284606,1774781899.525111
sess-0008-25d31dbb,plan_and_solve,SUCCESS,3,500,11.0,11.0,3112.40,1774781896.801611,1774781899.914376
sess-0014-7e2ffe4b,plan_and_solve,SUCCESS,3,500,11.0,11.0,2821.84,1774781897.320537,1774781900.142824
sess-0010-3e99387c,plan_and_solve,SUCCESS,5,500,13.0,13.0,3770.44,1774781896.947135,1774781900.718246
sess-0006-bf962341,plan_and_solve,CASCADE_FAILED,7,500,12.0,0.0,4452.07,1774781896.662272,1774781901.114846
sess-0011-a5b1a9c5,plan_and_solve,CASCADE_FAILED,7,500,13.0,0.0,4794.45,1774781896.949646,1774781901.744889
sess-0012-45dd9208,plan_and_solve,SUCCESS,6,500,14.0,14.0,4593.24,1774781897.183860,1774781901.777833
sess-0005-470b8e11,plan_and_solve,SUCCESS,5,500,21.0,21.0,5569.29,1774781896.649062,1774781902.219026
sess-0013-a58fd67f,plan_and_solve,SUCCESS,4,500,20.0,20.0,5152.57,1774781897.303877,1774781902.457059
sess-0007-3dea6e89,plan_and_solve,SUCCESS,6,500,22.0,22.0,6075.05,1774781896.666874,1774781902.742802
sess-0020-e44b1681,plan_and_solve,SUCCESS,4,500,20.0,20.0,5641.31,1774781897.549723,1774781903.191855
sess-0004-e60bdf64,plan_and_solve,SUCCESS,7,500,23.0,23.0,6804.07,1774781896.636471,1774781903.441529
sess-0016-1900e445,plan_and_solve,SUCCESS,5,500,21.0,21.0,6209.82,1774781897.348695,1774781903.559330
sess-0002-bb8f0e6f,plan_and_solve,SUCCESS,7,500,27.0,27.0,7200.21,1774781896.486729,1774781903.688130
sess-0009-9fe1f3f8,plan_and_solve,SUCCESS,6,500,26.0,26.0,7392.83,1774781896.864663,1774781904.258660
sess-0025-19b213d6,plan_and_solve,SUCCESS,4,500,16.0,16.0,3633.04,1774781900.718453,1774781904.352347
sess-0021-e9190383,plan_and_solve,SUCCESS,7,500,19.0,19.0,6731.28,1774781897.894231,1774781904.626608
sess-0017-85c41a75,plan_and_solve,SUCCESS,7,500,27.0,27.0,7483.56,1774781897.373677,1774781904.858280
sess-0015-f73287aa,plan_and_solve,SUCCESS,7,500,27.0,27.0,7660.46,1774781897.334769,1774781904.996417
sess-0023-36cec64f,plan_and_solve,SUCCESS,5,500,17.0,17.0,5408.99,1774781899.914474,1774781905.324357
sess-0022-fbdc3690,plan_and_solve,SUCCESS,7,500,19.0,19.0,6494.50,1774781899.525212,1774781906.020617
sess-0018-4a4bc64c,plan_and_solve,SUCCESS,7,500,31.0,31.0,8714.65,1774781897.424639,1774781906.140334
sess-0027-b8ec9417,plan_and_solve,SUCCESS,4,500,16.0,16.0,4748.01,1774781901.744974,1774781906.493685
sess-0019-f20a69fa,plan_and_solve,SUCCESS,7,500,35.0,35.0,9165.89,1774781897.462751,1774781906.629759
sess-0026-ad7f28b4,plan_and_solve,SUCCESS,7,500,11.0,11.0,5538.32,1774781901.114938,1774781906.654606
sess-0028-f5b28e36,plan_and_solve,SUCCESS,4,500,16.0,16.0,4896.24,1774781901.778036,1774781906.675088
sess-0024-5ef0009e,plan_and_solve,SUCCESS,5,500,25.0,25.0,6583.57,1774781900.142948,1774781906.727233
sess-0041-49cf41b3,plan_and_solve,SUCCESS,3,500,7.0,7.0,2401.00,1774781905.324460,1774781907.726099
sess-0032-fe5f5370,plan_and_solve,SUCCESS,4,500,16.0,16.0,4732.96,1774781903.191950,1774781907.925599
sess-0043-538716a4,plan_and_solve,SUCCESS,3,500,7.0,7.0,2503.27,1774781906.140438,1774781908.644232
sess-0030-151e4b38,plan_and_solve,CASCADE_FAILED,6,500,17.0,0.0,6376.52,1774781902.457156,1774781908.834812
sess-0033-afd68026,plan_and_solve,SUCCESS,5,500,21.0,21.0,6285.35,1774781903.441629,1774781909.727871
sess-0031-9a7f3cd6,plan_and_solve,SUCCESS,5,500,25.0,25.0,7086.80,1774781902.742900,1774781909.830720
sess-0045-159c48aa,plan_and_solve,SUCCESS,3,500,11.0,11.0,3484.69,1774781906.629817,1774781910.115194
sess-0034-f16621c9,plan_and_solve,SUCCESS,7,500,19.0,19.0,6751.42,1774781903.559367,1774781910.311890
sess-0040-b73317a6,plan_and_solve,SUCCESS,5,500,17.0,17.0,5481.65,1774781904.996577,1774781910.479138
sess-0042-bae8ead6,plan_and_solve,SUCCESS,4,500,16.0,16.0,4643.72,1774781906.020717,1774781910.665045
sess-0039-febd0b26,plan_and_solve,SUCCESS,6,500,22.0,22.0,5881.62,1774781904.858409,1774781910.741131
sess-0036-bbf4bd30,plan_and_solve,SUCCESS,6,500,22.0,22.0,6997.36,1774781904.258760,1774781911.257342
sess-0047-568503f3,plan_and_solve,SUCCESS,4,500,16.0,16.0,4619.56,1774781906.675182,1774781911.295370
sess-0035-c16b3310,plan_and_solve,SUCCESS,7,500,23.0,23.0,8023.66,1774781903.688235,1774781911.713216
sess-0029-c70146d1,plan_and_solve,SUCCESS,7,500,35.0,35.0,9757.80,1774781902.219122,1774781911.978354
sess-0038-ad0b8181,plan_and_solve,SUCCESS,7,500,27.0,27.0,8301.78,1774781904.626818,1774781912.929912
sess-0046-0b8aa63f,plan_and_solve,SUCCESS,5,500,21.0,21.0,6760.02,1774781906.654696,1774781913.415910
sess-0049-2d8b8945,plan_and_solve,SUCCESS,4,500,20.0,20.0,5847.76,1774781907.726197,1774781913.574772
sess-0044-9d6daaa6,plan_and_solve,SUCCESS,6,500,22.0,22.0,7209.48,1774781906.493781,1774781913.704476
sess-0037-ad6550b2,plan_and_solve,SUCCESS,7,500,31.0,31.0,9423.06,1774781904.352420,1774781913.776907
sess-0048-056d6a89,plan_and_solve,SUCCESS,6,500,22.0,22.0,7367.82,1774781906.727269,1774781914.095998
sess-0053-6a07bfd5,plan_and_solve,SUCCESS,3,500,15.0,15.0,4446.49,1774781909.728044,1774781914.175131
sess-0057-5b85cf69,plan_and_solve,SUCCESS,3,500,15.0,15.0,4516.82,1774781910.479243,1774781914.996781
sess-0059-37b45235,plan_and_solve,SUCCESS,4,500,12.0,12.0,4690.88,1774781910.741254,1774781915.432865
sess-0055-eebc0033,plan_and_solve,SUCCESS,4,500,20.0,20.0,5919.52,1774781910.115301,1774781916.035438
sess-0051-51ba75b5,plan_and_solve,SUCCESS,7,500,23.0,23.0,7902.20,1774781908.644331,1774781916.547931
sess-0061-45862157,plan_and_solve,SUCCESS,5,500,17.0,17.0,5995.30,1774781911.295416,1774781917.291471
sess-0052-b3eb6d09,plan_and_solve,SUCCESS,6,500,30.0,30.0,8615.94,1774781908.834908,1774781917.451748
sess-0064-93f87576,plan_and_solve,SUCCESS,4,500,12.0,12.0,4563.94,1774781912.930042,1774781917.494781
sess-0058-5f5c235d,plan_and_solve,SUCCESS,6,500,18.0,18.0,6996.65,1774781910.665141,1774781917.662918
sess-0054-6275c875,plan_and_solve,SUCCESS,6,500,26.0,26.0,7840.56,1774781909.830841,1774781917.672465
sess-0066-f96c58c5,plan_and_solve,SUCCESS,4,500,12.0,12.0,4425.49,1774781913.574833,1774781918.000981
sess-0070-09ace0fc,plan_and_solve,SUCCESS,3,500,11.0,11.0,3862.76,1774781914.175251,1774781918.038767
sess-0050-de1583c0,plan_and_solve,SUCCESS,7,500,35.0,35.0,10339.98,1774781907.925987,1774781918.267594
sess-0062-03eb9478,plan_and_solve,SUCCESS,7,500,15.0,15.0,6720.67,1774781911.713327,1774781918.435189
sess-0067-4e9a44a9,plan_and_solve,SUCCESS,4,500,16.0,16.0,4814.10,1774781913.704731,1774781918.519595
sess-0060-d2606c7a,plan_and_solve,SUCCESS,6,500,22.0,22.0,7580.96,1774781911.257523,1774781918.839559
