timestamp,status,latency_ms,budget,tool_name
1773923312.507763,success,186.43,10,web_fetch
1773923312.509530,success,10.75,10,calculate
1773923312.553091,success,278.73,10,web_fetch
1773923312.583277,success,809.14,100,mock_heavy
1773923312.585199,success,309.87,100,web_fetch
1773923312.587401,success,106.79,10,calculate
1773923312.589814,success,134.01,100,calculate
1773923312.615113,success,1085.97,10,mock_heavy
1773923312.616157,success,1070.84,100,mock_heavy
1773923312.619004,success,1279.62,10,mock_heavy
1773923312.620793,error,5.43,100,web_fetch
1773923312.660347,rejected,3.94,10,mock_heavy
1773923312.661982,rejected,4.60,10,calculate
1773923312.663182,rejected,3.95,10,calculate
1773923312.694194,rejected,3.28,100,mock_heavy
1773923312.695246,rejected,2.78,10,mock_heavy
1773923312.696341,rejected,1.68,10,mock_heavy
1773923312.722055,rejected,2.70,10,web_fetch
1773923312.723287,rejected,2.11,10,calculate
1773923312.724855,rejected,1.58,100,mock_heavy
1773923312.768466,rejected,1.59,10,calculate
1773923312.798970,rejected,2.69,100,mock_heavy
1773923312.800010,rejected,3.21,10,web_fetch
1773923312.801117,success,510.77,100,calculate
1773923312.801665,success,775.42,100,calculate
1773923312.832340,rejected,1.07,100,mock_heavy
1773923312.862148,success,1022.45,100,web_fetch
1773923312.862702,success,991.81,100,calculate
1773923312.893996,rejected,2.14,10,calculate
1773923312.895068,rejected,2.42,10,calculate
1773923312.896133,rejected,1.35,100,mock_heavy
1773923312.940403,success,957.71,100,calculate
1773923312.941465,rejected,1.45,100,mock_heavy
1773923312.941726,rejected,1.73,10,web_fetch
1773923313.016338,error,2.70,100,web_fetch
1773923313.017938,rejected,1.10,10,mock_heavy
1773923313.093831,error,2.26,100,web_fetch
1773923313.124048,success,924.63,100,web_fetch
1773923313.155812,rejected,1.27,100,mock_heavy
1773923313.202003,rejected,1.75,10,web_fetch
1773923313.248492,rejected,4.00,10,web_fetch
1773923313.250115,rejected,2.44,10,mock_heavy
1773923313.251247,error,4.71,100,web_fetch
1773923313.252560,rejected,2.85,10,mock_heavy
1773923313.254830,error,1.69,100,calculate
1773923313.295367,rejected,1.73,100,mock_heavy
1773923313.342355,rejected,2.20,10,web_fetch
1773923313.342355,rejected,2.20,10,calculate
1773923313.344013,rejected,2.63,10,mock_heavy
1773923313.345579,rejected,1.15,10,web_fetch
1773923313.392416,rejected,0.97,10,mock_heavy
1773923313.452022,success,600.25,100,web_fetch
1773923313.498802,rejected,1.13,100,mock_heavy
1773923313.529997,rejected,1.19,10,mock_heavy
1773923313.560498,rejected,1.68,100,mock_heavy
1773923313.577087,success,475.18,100,web_fetch
1773923313.654072,rejected,2.55,10,mock_heavy
