timestamp,status,latency_ms,budget,tool_name
1773923594.742500,success,218.62,10,web_fetch
1773923594.744624,success,9.61,10,calculate
1773923594.788885,success,172.23,10,web_fetch
1773923594.820053,success,883.38,100,mock_heavy
1773923594.822097,success,342.00,100,web_fetch
1773923594.824760,success,151.25,10,calculate
1773923594.826218,success,352.69,100,calculate
1773923594.867414,success,1205.86,10,mock_heavy
1773923594.869476,success,1251.20,100,mock_heavy
1773923594.872102,success,1572.94,10,mock_heavy
1773923594.873720,error,5.43,100,web_fetch
1773923594.928613,success,1637.12,10,mock_heavy
1773923594.930434,error,4.96,10,calculate
1773923594.931734,error,4.20,10,calculate
1773923594.959346,error,2.77,100,mock_heavy
1773923594.960385,error,2.88,10,mock_heavy
1773923594.962114,error,1.69,10,mock_heavy
1773923594.976015,success,1485.24,10,web_fetch
1773923594.976549,error,2.07,10,calculate
1773923594.977743,error,1.43,100,mock_heavy
1773923595.022256,success,1190.56,10,calculate
1773923595.052896,error,4.38,100,mock_heavy
1773923595.053906,error,3.89,10,web_fetch
1773923595.054666,error,3.69,100,calculate
1773923595.055899,error,4.19,100,calculate
1773923595.099134,error,2.25,100,mock_heavy
1773923595.130862,error,2.29,100,web_fetch
1773923595.131415,error,2.44,100,calculate
1773923595.162343,success,1347.01,10,calculate
1773923595.164233,error,1.92,10,calculate
1773923595.164787,error,1.94,100,mock_heavy
1773923595.178909,error,2.89,100,calculate
1773923595.179457,error,2.89,100,mock_heavy
1773923595.180677,error,2.21,10,web_fetch
1773923595.256363,error,1.74,100,web_fetch
1773923595.257365,error,1.29,10,mock_heavy
1773923595.332173,error,2.75,100,web_fetch
1773923595.363167,error,2.21,100,web_fetch
1773923595.393965,success,1962.83,100,mock_heavy
1773923595.441291,error,3.01,10,web_fetch
1773923595.487378,error,3.80,10,web_fetch
1773923595.488058,error,3.94,10,mock_heavy
1773923595.489052,error,3.83,100,web_fetch
1773923595.490624,error,2.25,10,mock_heavy
1773923595.492182,error,2.18,100,calculate
1773923595.533265,error,2.84,100,mock_heavy
1773923595.579892,success,1220.41,10,web_fetch
1773923595.581035,error,2.12,10,calculate
1773923595.581578,error,2.12,10,mock_heavy
1773923595.582580,error,1.76,10,web_fetch
1773923595.641145,error,1.70,10,mock_heavy
1773923595.701732,error,2.25,100,web_fetch
1773923595.748349,error,1.80,100,mock_heavy
1773923595.779667,error,2.76,10,mock_heavy
1773923595.811135,success,1683.85,100,mock_heavy
1773923595.841800,error,3.03,100,web_fetch
1773923595.918023,error,2.02,10,mock_heavy
1773923595.918793,error,1.60,100,web_fetch
1773923595.919039,error,1.50,10,web_fetch
1773923595.920508,error,1.37,100,mock_heavy
1773923595.920537,error,1.52,100,calculate
1773923595.979813,error,2.02,100,web_fetch
1773923596.056785,error,2.09,100,web_fetch
1773923596.057776,error,1.65,10,mock_heavy
1773923596.073274,error,2.13,10,calculate
1773923596.103143,error,2.21,10,calculate
1773923596.150031,success,654.96,100,calculate
1773923596.150696,error,2.06,10,calculate
1773923596.258149,success,772.38,100,calculate
1773923596.335943,error,1.72,10,web_fetch
1773923596.381675,error,2.59,10,web_fetch
1773923596.428981,error,2.12,10,web_fetch
1773923596.445598,error,2.08,100,calculate
1773923596.446596,error,2.22,10,web_fetch
1773923596.507333,success,956.87,10,web_fetch
1773923596.508333,error,2.58,100,web_fetch
1773923596.509355,error,2.61,10,web_fetch
1773923596.538152,error,2.63,10,web_fetch
1773923596.565732,success,1023.40,100,web_fetch
1773923596.598191,success,1747.81,100,mock_heavy
1773923596.599201,error,2.49,10,mock_heavy
1773923596.676439,success,1081.91,100,web_fetch
1773923596.677537,error,1.22,100,web_fetch
1773923596.707267,error,1.69,10,calculate
1773923596.769123,error,2.40,100,mock_heavy
1773923596.800301,error,5.24,10,mock_heavy
1773923596.846684,error,2.81,10,mock_heavy
1773923596.846716,error,2.78,100,mock_heavy
1773923596.848351,error,1.70,10,web_fetch
1773923596.892254,error,1.75,100,calculate
1773923596.922245,error,3.15,100,web_fetch
1773923596.923244,error,3.20,100,web_fetch
1773923596.924244,error,3.12,100,mock_heavy
1773923596.925916,error,2.61,10,web_fetch
1773923596.926834,error,2.86,10,web_fetch
1773923596.928008,error,2.85,10,web_fetch
1773923596.929168,error,2.83,100,calculate
1773923596.930323,error,2.32,100,web_fetch
1773923596.931468,error,2.23,100,web_fetch
1773923596.984149,success,665.30,100,calculate
1773923597.030533,success,790.00,10,calculate
1773923597.076490,error,2.40,100,calculate
1773923597.077489,error,1.94,10,mock_heavy
1773923597.123129,error,1.79,100,web_fetch
1773923597.123129,error,2.48,10,calculate
1773923597.184639,error,3.02,100,web_fetch
1773923597.185198,error,3.02,100,mock_heavy
1773923597.186476,error,1.74,10,mock_heavy
1773923597.230994,error,3.14,100,mock_heavy
1773923597.231553,error,3.12,10,calculate
1773923597.233049,error,1.62,10,web_fetch
1773923597.309375,success,1392.35,100,mock_heavy
1773923597.310059,error,2.29,100,mock_heavy
1773923597.311056,error,1.85,100,web_fetch
1773923597.340613,error,1.99,100,web_fetch
1773923597.342600,error,2.76,100,calculate
1773923597.343595,error,2.37,100,calculate
1773923597.344646,error,1.95,100,web_fetch
1773923597.386065,success,1049.88,100,web_fetch
1773923597.447714,error,1.72,100,calculate
1773923597.447714,error,2.40,100,calculate
1773923597.464207,error,2.26,100,mock_heavy
1773923597.464742,error,2.27,100,mock_heavy
1773923597.467013,error,2.62,10,mock_heavy
1773923597.468008,error,2.86,100,mock_heavy
1773923597.469057,error,2.46,10,mock_heavy
1773923597.470218,error,1.84,100,calculate
1773923597.495529,error,3.47,10,web_fetch
1773923597.495529,success,896.05,10,web_fetch
1773923597.497216,error,2.36,10,calculate
1773923597.497854,error,2.95,10,mock_heavy
1773923597.499038,error,2.89,100,mock_heavy
1773923597.500266,error,2.30,10,calculate
