timestamp,status,latency_ms,budget,tool_name
1773923241.480834,success,205.30,10,web_fetch
1773923241.483393,success,9.76,10,calculate
1773923241.543055,success,171.12,10,web_fetch
1773923241.574617,success,862.22,100,mock_heavy
1773923241.576931,success,323.62,100,web_fetch
1773923241.579070,success,167.11,10,calculate
1773923241.581434,success,286.82,100,calculate
1773923241.621011,success,1156.36,10,mock_heavy
1773923241.623555,success,1276.93,100,mock_heavy
1773923241.625664,success,1462.37,10,mock_heavy
1773923241.627894,error,4.69,100,web_fetch
1773923241.683136,success,1526.08,10,mock_heavy
1773923241.684735,error,4.63,10,calculate
1773923241.686676,error,2.69,10,calculate
1773923241.744098,success,1743.61,100,mock_heavy
1773923241.745839,error,2.16,10,mock_heavy
1773923241.746880,error,2.96,10,mock_heavy
1773923241.748553,error,2.56,10,web_fetch
1773923241.749272,error,2.45,10,calculate
1773923241.750554,error,2.30,100,mock_heavy
1773923241.790413,error,1.71,10,calculate
1773923241.821191,success,2056.02,100,mock_heavy
1773923241.821888,error,3.68,10,web_fetch
1773923241.823038,error,2.53,100,calculate
1773923241.823591,error,4.04,100,calculate
1773923241.852482,error,2.18,100,mock_heavy
1773923241.868255,success,1589.99,100,web_fetch
1773923241.868793,error,2.38,100,calculate
1773923241.898717,error,3.02,10,calculate
1773923241.899924,error,2.39,10,calculate
1773923241.901198,error,2.19,100,mock_heavy
1773923241.944202,error,2.83,100,calculate
1773923241.944968,error,2.60,100,mock_heavy
1773923241.945964,error,2.15,10,web_fetch
1773923242.021496,success,1606.61,100,web_fetch
1773923242.022486,error,2.00,10,mock_heavy
1773923242.097201,error,2.53,100,web_fetch
1773923242.127744,error,1.86,100,web_fetch
1773923242.158860,error,2.08,100,mock_heavy
1773923242.205180,error,2.02,10,web_fetch
1773923242.251191,success,1547.93,10,web_fetch
1773923242.252191,error,2.83,10,mock_heavy
1773923242.253193,error,2.86,100,web_fetch
1773923242.254078,error,3.84,10,mock_heavy
1773923242.255537,error,1.87,100,calculate
1773923242.297067,error,1.73,100,mock_heavy
1773923242.343915,error,4.29,10,web_fetch
1773923242.344919,error,3.80,10,calculate
1773923242.345916,error,3.36,10,mock_heavy
1773923242.346952,error,3.90,10,web_fetch
1773923242.405698,error,2.11,10,mock_heavy
1773923242.436834,error,2.21,100,web_fetch
1773923242.482757,success,2047.46,100,mock_heavy
