timestamp,status,latency_ms,budget,tool_name
1773908979.979931,success,330.15,10,web_fetch
1773908979.982389,success,9.53,10,calculate
1773908980.029570,success,298.58,10,web_fetch
1773908980.064445,success,900.59,100,mock_heavy
1773908980.065434,success,464.43,100,web_fetch
1773908980.068653,success,258.37,10,calculate
1773908980.070422,success,377.17,100,calculate
1773908980.110734,success,1188.68,10,mock_heavy
1773908980.112379,success,1338.78,100,mock_heavy
1773908980.114448,success,1752.37,10,mock_heavy
1773908980.117038,error,5.09,100,web_fetch
1773908980.164778,rejected,3.84,10,mock_heavy
1773908980.165914,rejected,4.89,10,calculate
1773908980.167550,rejected,3.80,10,calculate
1773908980.196317,success,1620.08,100,mock_heavy
1773908980.197317,rejected,1.97,10,mock_heavy
1773908980.198482,rejected,1.37,10,mock_heavy
1773908980.229584,rejected,3.27,10,web_fetch
1773908980.230211,rejected,3.19,10,calculate
1773908980.231344,error,4.79,100,mock_heavy
1773908980.233935,rejected,1.00,10,calculate
1773908980.260495,error,3.90,100,mock_heavy
1773908980.260938,rejected,3.46,10,web_fetch
1773908980.262198,error,3.37,100,calculate
1773908980.263298,error,3.98,100,calculate
1773908980.293222,success,1890.80,100,mock_heavy
1773908980.310076,error,2.37,100,web_fetch
1773908980.311268,error,1.72,100,calculate
1773908980.327024,rejected,2.90,10,calculate
1773908980.328593,rejected,1.87,10,calculate
1773908980.329379,success,1949.00,100,mock_heavy
1773908980.362777,error,2.73,100,calculate
1773908980.363235,error,2.27,100,mock_heavy
1773908980.364359,rejected,1.14,10,web_fetch
1773908980.446053,success,1567.87,100,web_fetch
1773908980.447033,rejected,1.72,10,mock_heavy
1773908980.513685,error,2.29,100,web_fetch
1773908980.529862,error,2.25,100,web_fetch
1773908980.560721,error,2.39,100,mock_heavy
1773908980.599177,rejected,1.02,10,web_fetch
1773908980.646150,rejected,2.70,10,web_fetch
1773908980.646800,rejected,2.36,10,mock_heavy
1773908980.647797,error,3.59,100,web_fetch
1773908980.649164,rejected,2.77,10,mock_heavy
1773908980.650620,error,1.90,100,calculate
1773908980.699161,error,1.88,100,mock_heavy
1773908980.731060,rejected,2.69,10,web_fetch
1773908980.732112,rejected,2.21,10,calculate
1773908980.733135,rejected,2.30,10,mock_heavy
1773908980.734354,rejected,1.29,10,web_fetch
1773908980.795595,rejected,1.68,10,mock_heavy
1773908980.848457,success,1397.67,100,web_fetch
1773908980.898099,error,2.88,100,mock_heavy
1773908980.932116,rejected,1.65,10,mock_heavy
1773908980.963913,success,1968.95,100,mock_heavy
1773908980.998901,error,2.94,100,web_fetch
1773908981.080700,rejected,2.52,10,mock_heavy
1773908981.081732,success,1367.00,100,web_fetch
1773908981.082788,rejected,1.47,10,web_fetch
1773908981.110893,error,2.26,100,mock_heavy
1773908981.112007,error,1.71,100,calculate
1773908981.162136,error,2.79,100,web_fetch
1773908981.233554,error,2.86,100,web_fetch
1773908981.234610,rejected,1.80,10,mock_heavy
1773908981.263616,rejected,1.69,10,calculate
1773908981.298642,rejected,1.64,10,calculate
1773908981.347125,success,1119.03,100,calculate
1773908981.349111,rejected,1.47,10,calculate
1773908981.450122,error,2.34,100,calculate
1773908981.515434,rejected,1.83,10,web_fetch
1773908981.566900,rejected,0.89,10,web_fetch
1773908981.615709,rejected,1.46,10,web_fetch
1773908981.646938,success,833.42,100,calculate
1773908981.646979,rejected,2.14,10,web_fetch
1773908981.714814,rejected,2.78,10,web_fetch
1773908981.715180,error,3.50,100,web_fetch
1773908981.716861,rejected,1.82,10,web_fetch
1773908981.718133,rejected,1.78,10,web_fetch
1773908981.761692,error,2.23,100,web_fetch
1773908981.764458,error,2.33,100,mock_heavy
1773908981.765061,rejected,1.18,10,mock_heavy
1773908981.848730,error,2.34,100,web_fetch
1773908981.849380,error,2.30,100,web_fetch
1773908981.867336,rejected,1.18,10,calculate
1773908981.917513,success,1501.88,100,mock_heavy
1773908981.948868,rejected,2.02,10,mock_heavy
1773908981.982537,rejected,2.84,10,mock_heavy
1773908981.983116,error,2.80,100,mock_heavy
1773908981.984293,rejected,2.17,10,web_fetch
1773908982.013926,error,1.54,100,calculate
1773908982.043852,success,889.01,100,web_fetch
1773908982.044913,error,2.37,100,web_fetch
1773908982.045463,error,2.98,100,mock_heavy
1773908982.046164,rejected,2.28,10,web_fetch
1773908982.047824,rejected,1.68,10,web_fetch
1773908982.048445,rejected,2.10,10,web_fetch
1773908982.049499,error,5.92,100,calculate
1773908982.050546,error,4.88,100,web_fetch
1773908982.052337,error,3.64,100,web_fetch
1773908982.094934,error,1.74,100,calculate
1773908982.148213,rejected,2.13,10,calculate
1773908982.184018,success,748.85,100,calculate
1773908982.185112,rejected,1.26,10,mock_heavy
1773908982.215175,error,2.60,100,web_fetch
1773908982.217770,rejected,1.38,10,calculate
1773908982.276898,success,875.10,100,web_fetch
1773908982.277835,error,2.35,100,mock_heavy
1773908982.279033,rejected,1.70,10,mock_heavy
