timestamp,status,latency_ms,budget,tool_name
1773908908.991477,success,182.79,10,web_fetch
1773908908.993744,success,9.47,10,calculate
1773908909.037370,success,182.54,10,web_fetch
1773908909.060777,success,1098.75,100,mock_heavy
1773908909.062748,success,344.87,100,web_fetch
1773908909.064875,success,225.99,10,calculate
1773908909.067191,success,289.23,100,calculate
1773908909.107079,success,1114.49,10,mock_heavy
1773908909.109177,success,1414.63,100,mock_heavy
1773908909.111330,success,1411.94,10,mock_heavy
1773908909.112943,error,5.17,100,web_fetch
1773908909.157770,success,1550.51,10,mock_heavy
1773908909.159047,error,4.76,10,calculate
1773908909.160777,error,3.57,10,calculate
1773908909.204139,error,2.36,100,mock_heavy
1773908909.204139,error,2.98,10,mock_heavy
1773908909.205869,error,1.80,10,mock_heavy
1773908909.219909,error,3.00,10,web_fetch
1773908909.220448,error,3.00,10,calculate
1773908909.221655,error,1.79,100,mock_heavy
1773908909.256211,success,933.44,10,calculate
1773908909.288791,success,1953.83,100,mock_heavy
1773908909.289434,error,3.19,10,web_fetch
1773908909.290759,error,2.28,100,calculate
1773908909.291568,error,2.56,100,calculate
1773908909.335995,error,2.28,100,mock_heavy
1773908909.356441,error,2.45,100,web_fetch
1773908909.357552,error,2.45,100,calculate
1773908909.358347,error,2.80,10,calculate
1773908909.359464,error,2.29,10,calculate
1773908909.360608,error,2.23,100,mock_heavy
1773908909.405868,success,1243.53,100,calculate
1773908909.407170,error,2.36,100,mock_heavy
1773908909.408168,error,1.94,10,web_fetch
1773908909.489465,error,2.22,100,web_fetch
1773908909.490650,error,1.58,10,mock_heavy
1773908909.555646,success,1545.00,100,web_fetch
1773908909.586095,error,2.76,100,web_fetch
1773908909.623718,error,2.42,100,mock_heavy
1773908909.670450,error,2.23,10,web_fetch
1773908909.718337,error,3.59,10,web_fetch
1773908909.719618,error,3.36,10,mock_heavy
1773908909.720202,error,3.83,100,web_fetch
1773908909.721390,error,4.86,10,mock_heavy
1773908909.722979,error,3.27,100,calculate
1773908909.771886,success,1967.32,100,mock_heavy
1773908909.823174,error,4.11,10,web_fetch
1773908909.824335,error,2.95,10,calculate
1773908909.824880,error,3.44,10,mock_heavy
1773908909.825735,error,4.79,10,web_fetch
1773908909.869944,error,1.73,10,mock_heavy
1773908909.921830,error,2.22,100,web_fetch
1773908909.973313,error,2.82,100,mock_heavy
1773908910.007747,error,2.08,10,mock_heavy
1773908910.038300,success,1787.10,100,mock_heavy
1773908910.069033,error,3.12,100,web_fetch
1773908910.146439,error,3.71,10,mock_heavy
1773908910.146774,error,3.60,100,web_fetch
1773908910.148998,error,1.91,10,web_fetch
1773908910.159526,error,2.41,100,mock_heavy
1773908910.160071,error,2.42,100,calculate
1773908910.220254,success,1284.51,100,web_fetch
1773908910.291373,error,2.49,100,web_fetch
1773908910.292470,error,1.94,10,mock_heavy
1773908910.322556,error,2.18,10,calculate
1773908910.356624,error,1.72,10,calculate
1773908910.387586,error,2.36,100,calculate
1773908910.387586,error,2.90,10,calculate
1773908910.474089,error,2.34,100,calculate
1773908910.553167,success,1140.09,10,web_fetch
1773908910.600801,error,2.07,10,web_fetch
1773908910.648267,error,2.21,10,web_fetch
1773908910.679296,error,2.69,100,calculate
1773908910.680794,error,1.29,10,web_fetch
1773908910.737567,success,1154.77,10,web_fetch
1773908910.738806,error,1.81,100,web_fetch
1773908910.739372,error,1.85,10,web_fetch
1773908910.771611,error,2.23,10,web_fetch
1773908910.821300,success,1202.43,100,web_fetch
1773908910.857275,success,1931.35,100,mock_heavy
1773908910.857314,error,2.16,10,mock_heavy
1773908910.939346,error,2.32,100,web_fetch
1773908910.939588,error,2.83,100,web_fetch
1773908910.972818,error,2.94,10,calculate
1773908911.037466,error,2.36,100,mock_heavy
1773908911.084045,error,2.00,10,mock_heavy
1773908911.125267,success,1599.47,10,mock_heavy
1773908911.126299,error,1.53,100,mock_heavy
1773908911.126299,error,2.74,10,web_fetch
1773908911.171936,error,2.20,100,calculate
1773908911.202806,error,3.78,100,web_fetch
1773908911.203448,error,3.63,100,web_fetch
1773908911.204506,error,3.63,100,mock_heavy
1773908911.205995,error,3.35,10,web_fetch
1773908911.207073,error,2.63,10,web_fetch
1773908911.208689,error,2.89,10,web_fetch
1773908911.209703,error,3.32,100,calculate
1773908911.211034,error,2.72,100,web_fetch
1773908911.212445,error,1.91,100,web_fetch
1773908911.242624,error,2.29,100,calculate
1773908911.306353,error,2.04,10,calculate
1773908911.353382,success,772.05,100,calculate
1773908911.354326,error,2.22,10,mock_heavy
1773908911.408963,error,2.16,100,web_fetch
1773908911.441924,error,2.33,10,calculate
1773908911.489159,error,2.99,100,web_fetch
1773908911.490290,error,1.85,100,mock_heavy
1773908911.490836,error,3.17,10,mock_heavy
