timestamp,status,latency_ms,budget,tool_name
1773913404.752797,success,187.98,10,web_fetch
1773913404.755368,success,9.51,10,calculate
1773913404.799823,success,172.58,10,web_fetch
1773913404.830990,success,994.92,100,mock_heavy
1773913404.833175,success,261.97,100,web_fetch
1773913404.835629,success,169.71,10,calculate
1773913404.837366,success,257.77,100,calculate
1773913404.877940,success,1164.54,10,mock_heavy
1773913404.878990,success,1287.73,100,mock_heavy
1773913404.882174,success,1515.52,10,mock_heavy
1773913404.884026,error,5.16,100,web_fetch
1773913404.923702,success,1549.48,10,mock_heavy
1773913404.925383,error,4.87,10,calculate
1773913404.926719,error,4.08,10,calculate
1773913404.970239,success,1841.91,100,mock_heavy
1773913404.971845,error,2.10,10,mock_heavy
1773913404.972963,error,1.53,10,mock_heavy
1773913405.002724,error,3.36,10,web_fetch
1773913405.003717,error,2.43,10,calculate
1773913405.004798,error,1.91,100,mock_heavy
1773913405.048157,error,2.01,10,calculate
1773913405.078645,error,3.61,100,mock_heavy
1773913405.079648,error,3.48,10,web_fetch
1773913405.080707,error,2.42,100,calculate
1773913405.081964,error,2.24,100,calculate
1773913405.125707,success,2060.11,100,mock_heavy
1773913405.155901,error,2.31,100,web_fetch
1773913405.155901,error,2.85,100,calculate
1773913405.187061,error,2.76,10,calculate
1773913405.187061,error,2.76,10,calculate
1773913405.188815,error,1.01,100,mock_heavy
1773913405.233305,success,1379.19,100,calculate
1773913405.233352,error,2.83,100,mock_heavy
1773913405.235013,error,1.71,10,web_fetch
1773913405.311424,error,2.38,100,web_fetch
1773913405.312482,error,1.88,10,mock_heavy
1773913405.389001,success,1811.84,100,web_fetch
1773913405.419732,error,1.78,100,web_fetch
1773913405.450190,error,2.99,100,mock_heavy
1773913405.481867,success,1735.02,10,web_fetch
1773913405.528127,error,4.79,10,web_fetch
1773913405.529069,error,3.85,10,mock_heavy
1773913405.530130,error,6.47,100,web_fetch
1773913405.531909,error,5.79,10,mock_heavy
1773913405.535090,error,2.05,100,calculate
1773913405.591254,error,2.41,100,mock_heavy
1773913405.622498,error,3.33,10,web_fetch
1773913405.623201,error,3.55,10,calculate
1773913405.624210,error,2.57,10,mock_heavy
1773913405.625281,error,2.59,10,web_fetch
1773913405.684401,error,2.38,10,mock_heavy
1773913405.731524,error,2.28,100,web_fetch
1773913405.762857,error,1.87,100,mock_heavy
1773913405.765266,error,1.97,10,mock_heavy
1773913405.793624,error,2.03,100,mock_heavy
1773913405.796192,error,2.36,100,web_fetch
1773913405.872311,error,2.46,10,mock_heavy
1773913405.872311,error,3.01,100,web_fetch
1773913405.873990,error,1.95,10,web_fetch
1773913405.902687,success,1946.57,100,mock_heavy
1773913405.904237,error,1.72,100,calculate
1773913405.949105,error,2.93,100,web_fetch
1773913406.010769,error,2.69,100,web_fetch
1773913406.011781,error,2.23,10,mock_heavy
1773913406.014564,error,2.41,10,calculate
1773913406.040860,error,2.72,10,calculate
1773913406.087929,error,1.98,100,calculate
1773913406.089444,error,1.93,10,calculate
1773913406.197611,success,987.63,100,calculate
1773913406.274903,error,1.67,10,web_fetch
1773913406.320044,error,1.70,10,web_fetch
1773913406.365644,error,2.62,10,web_fetch
1773913406.395842,error,2.40,100,calculate
1773913406.397429,error,2.05,10,web_fetch
1773913406.456909,success,1005.99,10,web_fetch
1773913406.457853,error,2.63,100,web_fetch
