timestamp,status,latency_ms,budget,tool_name
1773918454.997971,success,179.90,10,web_fetch
1773918455.000517,success,10.14,10,calculate
1773918455.061204,success,189.42,10,web_fetch
1773918455.098735,success,941.65,100,mock_heavy
1773918455.100489,success,245.67,100,web_fetch
1773918455.103059,success,148.03,10,calculate
1773918455.105530,success,227.21,100,calculate
1773918455.129499,success,1128.75,10,mock_heavy
1773918455.131683,success,1383.56,100,mock_heavy
1773918455.133564,success,1590.23,10,mock_heavy
1773918455.135499,error,6.29,100,web_fetch
1773918455.175351,rejected,3.06,10,mock_heavy
1773918455.176293,rejected,4.84,10,calculate
1773918455.178413,rejected,2.18,10,calculate
1773918455.231416,success,1517.64,100,mock_heavy
1773918455.232274,rejected,2.16,10,mock_heavy
1773918455.232901,rejected,2.07,10,mock_heavy
1773918455.251084,rejected,2.17,10,web_fetch
1773918455.252206,rejected,2.14,10,calculate
1773918455.253256,success,1774.47,100,mock_heavy
1773918455.299095,rejected,1.15,10,calculate
1773918455.330584,success,1940.79,100,mock_heavy
1773918455.330613,rejected,3.31,10,web_fetch
1773918455.332199,error,2.80,100,calculate
1773918455.333742,error,1.84,100,calculate
1773918455.382994,error,2.14,100,mock_heavy
1773918455.413882,error,2.32,100,web_fetch
1773918455.415086,error,1.66,100,calculate
1773918455.448608,rejected,2.05,10,calculate
1773918455.449605,rejected,2.27,10,calculate
1773918455.450814,error,2.91,100,mock_heavy
1773918455.452006,error,2.81,100,calculate
1773918455.452549,error,2.87,100,mock_heavy
1773918455.453728,rejected,1.69,10,web_fetch
1773918455.534197,success,1437.18,100,web_fetch
1773918455.535371,rejected,1.31,10,mock_heavy
1773918455.599239,error,2.65,100,web_fetch
1773918455.630488,error,2.31,100,web_fetch
1773918455.661851,error,2.75,100,mock_heavy
1773918455.710920,rejected,1.63,10,web_fetch
1773918455.757964,rejected,2.66,10,web_fetch
1773918455.758502,rejected,2.13,10,mock_heavy
1773918455.759561,success,1197.30,100,web_fetch
1773918455.761778,rejected,1.66,10,mock_heavy
1773918455.762442,error,2.10,100,calculate
1773918455.790296,error,2.26,100,mock_heavy
1773918455.836116,rejected,3.58,10,web_fetch
1773918455.837665,rejected,2.03,10,calculate
1773918455.838699,rejected,3.68,10,mock_heavy
1773918455.840810,rejected,1.57,10,web_fetch
1773918455.883930,rejected,2.65,10,mock_heavy
1773918455.945984,success,1239.71,100,web_fetch
1773918455.993481,error,2.12,100,mock_heavy
1773918456.024338,rejected,1.35,10,mock_heavy
1773918456.040930,error,2.25,100,mock_heavy
1773918456.070700,error,2.45,100,web_fetch
1773918456.148960,rejected,2.91,10,mock_heavy
1773918456.150184,success,1087.04,100,web_fetch
1773918456.151391,rejected,1.43,10,web_fetch
1773918456.179490,error,2.77,100,mock_heavy
1773918456.181090,error,1.71,100,calculate
1773918456.242228,error,2.16,100,web_fetch
1773918456.321687,success,949.11,100,web_fetch
