session_id,mode,state,n_steps,budget,raw_goodput,effective_goodput,total_latency_ms,start_time,end_time
sess-0000-bf752d54,react,SUCCESS,1,500,1.0,1.0,5.72,1775018354.903695,1775018354.909500
sess-0005-b9bf1c90,react,SUCCESS,1,500,1.0,1.0,8.52,1775018355.303202,1775018355.311814
sess-0009-0667034e,react,SUCCESS,1,500,1.0,1.0,8.24,1775018355.518036,1775018355.526430
sess-0001-df70a1be,plan_and_solve,SUCCESS,3,500,7.0,7.0,815.98,1775018354.937136,1775018355.753661
sess-0011-569c132c,react,SUCCESS,1,500,1.0,1.0,159.07,1775018355.602900,1775018355.762092
sess-0014-1f5bd683,react,REJECTED_AT_STEP_0,7,500,0.0,0.0,5.32,1775018355.975009,1775018355.980474
sess-0015-16522ad9,react,REJECTED_AT_STEP_0,5,500,0.0,0.0,2.16,1775018355.989063,1775018355.991339
sess-0018-43625b83,react,REJECTED_AT_STEP_0,6,500,0.0,0.0,3.96,1775018356.079813,1775018356.083859
sess-0010-e3fad808,plan_and_solve,SUCCESS,4,500,4.0,4.0,497.83,1775018355.601225,1775018356.099612
sess-0004-f1ad0a4c,react,CASCADE_FAILED,5,500,5.0,0.0,809.62,1775018355.290003,1775018356.099746
sess-0025-027bd88f,react,REJECTED_AT_STEP_0,3,500,0.0,0.0,3.20,1775018356.316304,1775018356.319715
sess-0017-f1a5aee4,plan_and_solve,SUCCESS,3,500,3.0,3.0,414.52,1775018356.029698,1775018356.444789
sess-0028-0bb17b5e,react,REJECTED_AT_STEP_0,7,500,0.0,0.0,2.53,1775018356.486433,1775018356.489136
sess-0013-369bac07,react,CASCADE_FAILED,7,500,5.0,0.0,810.05,1775018355.957929,1775018356.768502
sess-0016-e620dc83,plan_and_solve,SUCCESS,3,500,7.0,7.0,819.24,1775018356.003984,1775018356.823648
sess-0019-acb759e8,react,CASCADE_FAILED,6,500,5.0,0.0,808.86,1775018356.118626,1775018356.927861
sess-0030-b8e5aa16,react,CASCADE_FAILED,2,500,1.0,0.0,387.26,1775018356.551230,1775018356.938697
sess-0027-86f2a493,react,CASCADE_FAILED,2,500,1.0,0.0,546.29,1775018356.437005,1775018356.983615
sess-0034-fbc2649d,react,CASCADE_FAILED,7,500,1.0,0.0,409.21,1775018356.832285,1775018357.241752
sess-0038-89e2aec1,react,REJECTED_AT_STEP_0,3,500,0.0,0.0,4.82,1775018357.242042,1775018357.246976
sess-0003-71b9454c,react,SUCCESS,3,500,11.0,11.0,2027.40,1775018355.227984,1775018357.255667
sess-0039-cb983bd3,react,REJECTED_AT_STEP_0,2,500,0.0,0.0,1.59,1775018357.280046,1775018357.281751
sess-0041-d557378e,react,REJECTED_AT_STEP_0,1,500,0.0,0.0,1.56,1775018357.328891,1775018357.330519
sess-0042-0f9e94a0,react,REJECTED_AT_STEP_0,5,500,0.0,0.0,2.20,1775018357.375137,1775018357.377472
sess-0043-d04cc24f,react,REJECTED_AT_STEP_0,3,500,0.0,0.0,2.32,1775018357.377859,1775018357.380296
sess-0023-9f6e0f0d,react,SUCCESS,2,500,6.0,6.0,1179.96,1775018356.242604,1775018357.422854
sess-0026-2c916fd3,react,CASCADE_FAILED,5,500,6.0,0.0,1337.29,1775018356.421695,1775018357.759312
sess-0031-4d18f8df,react,CASCADE_FAILED,6,500,5.0,0.0,1181.43,1775018356.614249,1775018357.795849
sess-0047-d980899d,react,REJECTED_AT_STEP_0,5,500,0.0,0.0,1.39,1775018357.795881,1775018357.797927
sess-0012-fe61b080,react,CASCADE_FAILED,3,500,10.0,0.0,2027.14,1775018355.837659,1775018357.865197
sess-0029-ddecd5f7,plan_and_solve,SUCCESS,4,500,4.0,4.0,1585.69,1775018356.547700,1775018358.133887
sess-0050-0758c156,react,REJECTED_AT_STEP_0,2,500,0.0,0.0,1.99,1775018358.133970,1775018358.136087
sess-0051-97cd9417,react,REJECTED_AT_STEP_0,6,500,0.0,0.0,2.39,1775018358.136151,1775018358.138658
sess-0032-0aaa58e1,plan_and_solve,SUCCESS,3,500,7.0,7.0,1837.27,1775018356.628458,1775018358.466161
sess-0045-135c79cb,react,CASCADE_FAILED,4,500,5.0,0.0,1053.05,1775018357.559817,1775018358.613039
sess-0006-f24ddea4,plan_and_solve,SUCCESS,6,500,14.0,14.0,3400.28,1775018355.315278,1775018358.716464
sess-0008-7dd7f8f7,plan_and_solve,SUCCESS,6,500,14.0,14.0,3276.59,1775018355.454825,1775018358.732716
sess-0056-a76ca552,react,REJECTED_AT_STEP_0,6,500,0.0,0.0,3.00,1775018358.732800,1775018358.735903
sess-0037-a06b43e3,plan_and_solve,SUCCESS,4,500,4.0,4.0,1556.51,1775018357.194415,1775018358.751454
sess-0007-e70ec0e9,plan_and_solve,SUCCESS,6,500,18.0,18.0,3520.18,1775018355.320094,1775018358.841223
sess-0036-11696aa9,plan_and_solve,SUCCESS,5,500,5.0,5.0,1687.72,1775018357.169455,1775018358.857911
sess-0033-1a3dcba0,plan_and_solve,SUCCESS,4,500,8.0,8.0,2463.32,1775018356.768549,1775018359.232412
sess-0002-837a0f0e,plan_and_solve,SUCCESS,7,500,19.0,19.0,4100.83,1775018355.138427,1775018359.240103
sess-0024-bee9f4d1,plan_and_solve,SUCCESS,5,500,13.0,13.0,3192.49,1775018356.274583,1775018359.468513
sess-0061-0ef9a7c0,react,CASCADE_FAILED,7,500,1.0,0.0,401.35,1775018359.232474,1775018359.633991
sess-0064-10b930c1,react,REJECTED_AT_STEP_0,1,500,0.0,0.0,1.29,1775018359.634073,1775018359.635503
sess-0065-86189c3b,react,REJECTED_AT_STEP_0,7,500,0.0,0.0,1.48,1775018359.635577,1775018359.637118
sess-0052-afdfde9a,plan_and_solve,SUCCESS,5,500,5.0,5.0,1677.40,1775018358.138737,1775018359.816948
sess-0046-dba3f3c4,plan_and_solve,SUCCESS,6,500,6.0,6.0,2158.20,1775018357.759444,1775018359.918576
sess-0035-c6c77847,plan_and_solve,SUCCESS,6,500,10.0,10.0,2933.29,1775018357.058593,1775018359.992986
sess-0022-a2a377c5,plan_and_solve,SUCCESS,7,500,15.0,15.0,3791.91,1775018356.217303,1775018360.010306
sess-0070-3eb93213,react,REJECTED_AT_STEP_0,4,500,0.0,0.0,1.95,1775018360.010407,1775018360.012473
sess-0044-1471978b,plan_and_solve,SUCCESS,5,500,9.0,9.0,2546.01,1775018357.539093,1775018360.085858
sess-0067-eabc1e00,react,CASCADE_FAILED,4,500,1.0,0.0,413.79,1775018359.817031,1775018360.231049
sess-0073-e2ede871,react,REJECTED_AT_STEP_0,3,500,0.0,0.0,2.11,1775018360.231183,1775018360.233410
sess-0062-fdca5d3f,react,CASCADE_FAILED,2,500,5.0,0.0,1151.63,1775018359.240194,1775018360.392108
sess-0048-5d57f0c8,plan_and_solve,SUCCESS,4,500,12.0,12.0,2851.88,1775018357.798015,1775018360.650486
sess-0059-b4bd5cd8,plan_and_solve,SUCCESS,3,500,7.0,7.0,1909.41,1775018358.841319,1775018360.751332
sess-0077-1f6ea75f,react,REJECTED_AT_STEP_0,7,500,0.0,0.0,2.20,1775018360.751431,1775018360.753757
sess-0078-a1d684ae,react,REJECTED_AT_STEP_0,6,500,0.0,0.0,1.68,1775018360.753840,1775018360.755625
sess-0079-2fc15961,react,REJECTED_AT_STEP_0,5,500,0.0,0.0,1.92,1775018360.755691,1775018360.757720
sess-0020-96071ab2,plan_and_solve,SUCCESS,7,500,19.0,19.0,4667.71,1775018356.142605,1775018360.811199
sess-0081-eca6a260,react,REJECTED_AT_STEP_0,4,500,0.0,0.0,1.51,1775018360.811484,1775018360.813107
sess-0082-f7b5c801,react,REJECTED_AT_STEP_0,5,500,0.0,0.0,1.89,1775018360.813173,1775018360.815177
sess-0083-39ac5381,react,REJECTED_AT_STEP_0,2,500,0.0,0.0,2.63,1775018360.815336,1775018360.818073
sess-0084-99d90cc0,react,REJECTED_AT_STEP_0,6,500,0.0,0.0,1.19,1775018360.818159,1775018360.819449
sess-0085-0dbb6470,react,REJECTED_AT_STEP_0,2,500,0.0,0.0,1.81,1775018360.819511,1775018360.821423
sess-0086-f634c095,react,REJECTED_AT_STEP_0,3,500,0.0,0.0,1.34,1775018360.821602,1775018360.823043
sess-0087-8995c2cb,react,REJECTED_AT_STEP_0,4,500,0.0,0.0,1.54,1775018360.823106,1775018360.824731
sess-0021-67b05cbe,plan_and_solve,SUCCESS,7,500,19.0,19.0,4633.97,1775018356.206700,1775018360.842019
sess-0089-1fd1d170,react,REJECTED_AT_STEP_0,6,500,0.0,0.0,1.23,1775018360.842080,1775018360.843375
sess-0053-d52a9e4d,plan_and_solve,SUCCESS,6,500,10.0,10.0,2945.76,1775018358.466304,1775018361.413305
sess-0071-a64b5c94,plan_and_solve,SUCCESS,3,500,3.0,3.0,1702.82,1775018360.012542,1775018361.715877
sess-0055-eefe5652,plan_and_solve,SUCCESS,5,500,13.0,13.0,3100.77,1775018358.716544,1775018361.818185
sess-0058-85533559,plan_and_solve,SUCCESS,5,500,13.0,13.0,3297.71,1775018358.751535,1775018362.050261
sess-0094-a11936d4,react,REJECTED_AT_STEP_0,5,500,0.0,0.0,2.85,1775018362.050457,1775018362.053412
sess-0095-68ddfb26,react,REJECTED_AT_STEP_0,2,500,0.0,0.0,1.68,1775018362.053585,1775018362.055367
sess-0069-5a5f30ca,plan_and_solve,SUCCESS,4,500,8.0,8.0,2435.61,1775018359.993083,1775018362.429330
sess-0040-819c4e00,plan_and_solve,SUCCESS,7,500,23.0,23.0,5129.61,1775018357.319407,1775018362.450078
sess-0098-f01177b8,react,REJECTED_AT_STEP_0,4,500,0.0,0.0,1.58,1775018362.450247,1775018362.451943
sess-0066-048b9b7d,plan_and_solve,SUCCESS,7,500,7.0,7.0,2958.26,1775018359.637143,1775018362.596433
sess-0072-73c4b05b,plan_and_solve,SUCCESS,6,500,6.0,6.0,2742.09,1775018360.085960,1775018362.829093
sess-0101-9f64ec94,react,REJECTED_AT_STEP_0,5,500,0.0,0.0,2.15,1775018362.829195,1775018362.831462
sess-0068-71558e61,plan_and_solve,SUCCESS,6,500,10.0,10.0,3122.66,1775018359.918656,1775018363.042295
sess-0103-ae8862b8,react,REJECTED_AT_STEP_0,6,500,0.0,0.0,2.12,1775018363.042381,1775018363.044616
sess-0075-8a275b8e,plan_and_solve,SUCCESS,3,500,11.0,11.0,2710.64,1775018360.392194,1775018363.103315
sess-0090-687bf714,plan_and_solve,SUCCESS,5,500,5.0,5.0,2367.33,1775018360.843415,1775018363.211365
sess-0076-f7f99dce,plan_and_solve,SUCCESS,4,500,8.0,8.0,2579.25,1775018360.650583,1775018363.230388
sess-0107-10fdd185,react,REJECTED_AT_STEP_0,1,500,0.0,0.0,2.06,1775018363.230475,1775018363.232651
sess-0108-0f5fde0d,react,REJECTED_AT_STEP_0,7,500,0.0,0.0,2.21,1775018363.232726,1775018363.235108
sess-0049-377deb3c,plan_and_solve,SUCCESS,7,500,23.0,23.0,5401.29,1775018357.865228,1775018363.267700
sess-0110-c595b2be,react,REJECTED_AT_STEP_0,3,500,0.0,0.0,2.14,1775018363.267797,1775018363.270106
sess-0111-134a30de,react,REJECTED_AT_STEP_0,6,500,0.0,0.0,1.93,1775018363.270186,1775018363.272234
sess-0080-365a0826,plan_and_solve,SUCCESS,5,500,9.0,9.0,2544.73,1775018360.757792,1775018363.303275
sess-0113-6dc53de5,react,REJECTED_AT_STEP_0,5,500,0.0,0.0,1.84,1775018363.303364,1775018363.305317
sess-0063-0e5f2750,plan_and_solve,SUCCESS,7,500,15.0,15.0,4072.47,1775018359.468684,1775018363.542234
sess-0115-241adc78,react,REJECTED_AT_STEP_0,7,500,0.0,0.0,1.98,1775018363.542417,1775018363.544512
sess-0116-bdd97d16,react,REJECTED_AT_STEP_0,2,500,0.0,0.0,1.93,1775018363.544581,1775018363.546621
sess-0054-01eb5eef,plan_and_solve,SUCCESS,7,500,19.0,19.0,4944.28,1775018358.613085,1775018363.558339
sess-0092-6f60aa6f,plan_and_solve,SUCCESS,3,500,7.0,7.0,1895.22,1775018361.715931,1775018363.611500
