gateway,run_idx,sweep_key,sweep_val,success,rejected_s0,cascade_failed,raw_goodput,effective_goodput,raw_goodput_s,effective_goodput_s,p50_ms,p95_ms,p99_ms,e2e_p50_ms,e2e_p95_ms,e2e_p99_ms,csv,error
ng,1,ps_ratio,0.0,200,0,0,1675.0,1675.0,63.74,63.74,441.2,1319.5,2135.2,2322.6,4905.6,6124.8,ng_ps_ratio0.0_run1.csv,
ng,2,ps_ratio,0.0,199,0,1,1662.0,1660.0,63.46,63.38,450.0,1322.8,2746.5,2253.9,5046.1,6198.8,ng_ps_ratio0.0_run2.csv,
ng,3,ps_ratio,0.0,200,0,0,1675.0,1675.0,63.55,63.55,424.2,1294.4,2825.2,2254.8,5269.9,6422.2,ng_ps_ratio0.0_run3.csv,
ng,4,ps_ratio,0.0,200,0,0,1675.0,1675.0,63.5,63.5,426.7,1323.5,2302.7,2304.1,5283.6,6636.2,ng_ps_ratio0.0_run4.csv,
ng,5,ps_ratio,0.0,200,0,0,1675.0,1675.0,63.74,63.74,420.7,1347.5,1934.5,2282.5,5072.4,6244.2,ng_ps_ratio0.0_run5.csv,
srl,1,ps_ratio,0.0,200,0,0,1675.0,1675.0,62.98,62.98,425.1,1345.7,2331.3,2454.5,4804.0,5925.8,srl_ps_ratio0.0_run1.csv,
srl,2,ps_ratio,0.0,200,0,0,1675.0,1675.0,63.05,63.05,423.2,1318.5,2406.0,2300.4,4914.6,6818.8,srl_ps_ratio0.0_run2.csv,
srl,3,ps_ratio,0.0,199,0,1,1668.0,1662.0,63.21,62.99,463.6,1283.5,2105.2,2239.8,4836.3,5752.8,srl_ps_ratio0.0_run3.csv,
srl,4,ps_ratio,0.0,200,0,0,1675.0,1675.0,63.45,63.45,413.1,1332.7,2769.9,2223.7,4968.8,6922.0,srl_ps_ratio0.0_run4.csv,
srl,5,ps_ratio,0.0,200,0,0,1675.0,1675.0,63.69,63.69,407.6,1326.8,2593.6,2249.4,5281.8,6850.5,srl_ps_ratio0.0_run5.csv,
rajomon,1,ps_ratio,0.0,44,141,15,428.0,354.0,33.31,27.55,111.3,1275.0,1427.9,1743.7,4515.7,5066.0,rajomon_ps_ratio0.0_run1.csv,
rajomon,2,ps_ratio,0.0,43,140,17,421.0,344.0,28.8,23.54,46.5,2241.8,2992.1,1992.8,6023.4,6686.0,rajomon_ps_ratio0.0_run2.csv,
rajomon,3,ps_ratio,0.0,41,145,14,405.0,333.0,31.55,25.94,15.4,1269.3,1370.5,1707.6,4462.0,5116.4,rajomon_ps_ratio0.0_run3.csv,
rajomon,4,ps_ratio,0.0,27,156,17,315.0,195.0,24.56,15.21,2.5,1282.8,1431.9,1676.4,4046.4,4719.8,rajomon_ps_ratio0.0_run4.csv,
rajomon,5,ps_ratio,0.0,40,144,16,397.0,329.0,27.19,22.53,8.7,1279.5,1424.6,1751.4,4785.5,4954.9,rajomon_ps_ratio0.0_run5.csv,
dagor,1,ps_ratio,0.0,66,74,60,713.0,393.0,47.83,26.36,113.9,941.4,1172.0,675.8,2308.6,4306.1,dagor_ps_ratio0.0_run1.csv,
dagor,2,ps_ratio,0.0,79,57,64,829.0,518.0,54.2,33.87,156.3,913.4,1766.5,816.6,2859.0,4302.1,dagor_ps_ratio0.0_run2.csv,
dagor,3,ps_ratio,0.0,76,56,68,791.0,471.0,55.18,32.86,156.8,874.2,1180.3,827.5,2795.7,3538.8,dagor_ps_ratio0.0_run3.csv,
dagor,4,ps_ratio,0.0,64,68,68,717.0,364.0,48.12,24.43,94.6,846.5,1103.4,816.7,2135.4,3334.2,dagor_ps_ratio0.0_run4.csv,
dagor,5,ps_ratio,0.0,77,65,58,719.0,444.0,43.12,26.63,92.1,972.4,1623.9,739.3,2766.4,3762.9,dagor_ps_ratio0.0_run5.csv,
sbac,1,ps_ratio,0.0,170,30,0,1406.0,1406.0,68.93,68.93,415.6,1187.1,1336.1,2142.6,4290.5,4920.3,sbac_ps_ratio0.0_run1.csv,
sbac,2,ps_ratio,0.0,169,30,1,1405.0,1394.0,68.79,68.25,388.7,1201.4,1376.7,2167.7,4321.3,5195.9,sbac_ps_ratio0.0_run2.csv,
sbac,3,ps_ratio,0.0,170,30,0,1406.0,1406.0,63.22,63.22,402.5,1309.1,2793.7,2229.9,5148.9,6643.4,sbac_ps_ratio0.0_run3.csv,
sbac,4,ps_ratio,0.0,170,29,1,1402.0,1393.0,63.1,62.69,408.9,1278.2,2828.2,2093.4,5085.8,6471.3,sbac_ps_ratio0.0_run4.csv,
sbac,5,ps_ratio,0.0,170,29,1,1407.0,1398.0,62.83,62.43,406.1,1310.8,2384.7,2348.4,4774.9,6143.6,sbac_ps_ratio0.0_run5.csv,
plangate_full,1,ps_ratio,0.0,108,55,37,927.0,785.0,62.3,52.75,157.3,869.0,1051.1,970.4,2519.3,3570.1,plangate_full_ps_ratio0.0_run1.csv,
plangate_full,2,ps_ratio,0.0,121,46,33,1000.0,865.0,65.77,56.89,158.7,940.7,1146.5,975.5,2859.0,3512.8,plangate_full_ps_ratio0.0_run2.csv,
plangate_full,3,ps_ratio,0.0,115,52,33,981.0,852.0,58.91,51.16,157.8,947.7,1811.1,991.3,3276.2,4064.1,plangate_full_ps_ratio0.0_run3.csv,
