session_id,mode,state,n_steps,budget,raw_goodput,effective_goodput,total_latency_ms,start_time,end_time
sess-0000-214956ef,plan_and_solve,SUCCESS,3,500,7.0,7.0,823.43,1774785213.783224,1774785214.607071
sess-0010-94f2efed,plan_and_solve,SUCCESS,3,500,3.0,3.0,380.74,1774785214.478478,1774785214.859592
sess-0003-5b69b687,plan_and_solve,SUCCESS,3,500,7.0,7.0,974.81,1774785214.106293,1774785215.081848
sess-0008-46386082,plan_and_solve,SUCCESS,3,500,7.0,7.0,1279.35,1774785214.333032,1774785215.612875
sess-0011-a8ada37a,react,SUCCESS,3,500,7.0,7.0,1448.65,1774785214.480809,1774785215.929851
sess-0004-abf103db,react,SUCCESS,5,500,9.0,9.0,1819.39,1774785214.169190,1774785215.989137
sess-0015-5f937b4d,plan_and_solve,SUCCESS,3,500,3.0,3.0,1126.73,1774785214.866904,1774785215.994186
sess-0001-0cfb2432,plan_and_solve,SUCCESS,3,500,11.0,11.0,2311.57,1774785213.814802,1774785216.126813
sess-0009-5f46ebc1,plan_and_solve,SUCCESS,6,500,10.0,10.0,2048.50,1774785214.395118,1774785216.444434
sess-0021-6dde716b,react,SUCCESS,2,500,6.0,6.0,1401.81,1774785215.083387,1774785216.485537
sess-0005-3ec8a70a,plan_and_solve,SUCCESS,6,500,14.0,14.0,2993.29,1774785214.181617,1774785217.175636
sess-0017-c4c2532a,plan_and_solve,SUCCESS,5,500,9.0,9.0,2586.33,1774785214.906208,1774785217.493159
sess-0027-98684e8a,plan_and_solve,SUCCESS,3,500,3.0,3.0,1381.85,1774785216.126858,1774785217.509115
sess-0007-1e4eea40,plan_and_solve,SUCCESS,6,500,14.0,14.0,3410.45,1774785214.198771,1774785217.610075
sess-0023-a669fc85,react,SUCCESS,3,500,7.0,7.0,2018.71,1774785215.612977,1774785217.632140
sess-0014-f75188cc,plan_and_solve,SUCCESS,4,500,12.0,12.0,2803.04,1774785214.853141,1774785217.656602
sess-0013-99b95332,plan_and_solve,SUCCESS,6,500,10.0,10.0,2918.08,1774785214.836153,1774785217.755403
sess-0006-203007f1,plan_and_solve,SUCCESS,6,500,18.0,18.0,3968.09,1774785214.194437,1774785218.163502
sess-0029-81e03655,plan_and_solve,SUCCESS,3,500,7.0,7.0,1925.66,1774785216.485725,1774785218.411973
sess-0016-aeb0e71d,plan_and_solve,SUCCESS,7,500,11.0,11.0,3614.08,1774785214.881646,1774785218.496944
sess-0022-633ec683,plan_and_solve,SUCCESS,5,500,13.0,13.0,3429.92,1774785215.095174,1774785218.525861
sess-0012-2cd92ed2,plan_and_solve,SUCCESS,6,500,18.0,18.0,4023.29,1774785214.715674,1774785218.739691
