timestamp,session_id,mode,session_state,step_id,tool_name,status,latency_ms,budget,locked_price,regime,raw_goodput,effective_goodput,shadow_would_reject
1775016963.383669,sess-0000-48bd8dc9,react,SUCCESS,r1,calculate,success,7.49,500,0,,1.0,1.0,False
1775016963.617632,sess-0002-a06c1e2f,react,SUCCESS,r1,calculate,success,7.64,500,0,,1.0,1.0,False
1775016963.780911,sess-0005-7291a68e,react,SUCCESS,r1,calculate,success,8.90,500,0,,1.0,1.0,False
1775016964.080060,sess-0011-6d1b7ed8,react,SUCCESS,r1,web_fetch,success,162.00,500,15,,4.0,4.0,False
1775016964.242182,sess-0011-6d1b7ed8,react,SUCCESS,r2,web_fetch,success,157.27,500,45,,4.0,4.0,False
1775016964.399526,sess-0011-6d1b7ed8,react,SUCCESS,r3,calculate,success,6.23,500,60,,4.0,4.0,False
1775016964.405822,sess-0011-6d1b7ed8,react,SUCCESS,r4,calculate,success,5.53,500,60,,4.0,4.0,False
1775016964.557484,sess-0018-0c461234,react,REJECTED_AT_STEP_0,r1,mock_heavy,rejected,4.45,500,,,0.0,0.0,False
1775016964.434761,sess-0013-70931b43,react,SUCCESS,r1,web_fetch,success,157.76,500,60,,1.0,1.0,False
1775016964.596501,sess-0019-5eeacc8c,react,REJECTED_AT_STEP_0,r1,calculate,rejected,1.70,500,,,0.0,0.0,False
1775016964.506624,sess-0017-163fba5f,react,SUCCESS,r1,calculate,success,94.90,500,90,,1.0,1.0,False
1775016963.797788,sess-0007-7a0f3798,react,SUCCESS,r1,calculate,success,7.92,500,0,,6.0,6.0,False
1775016963.805802,sess-0007-7a0f3798,react,SUCCESS,r2,mock_heavy,success,807.64,500,0,,6.0,6.0,False
1775016964.620118,sess-0020-d77848ae,react,REJECTED_AT_STEP_0,r1,calculate,rejected,2.85,500,,,0.0,0.0,False
1775016964.684592,sess-0021-0a2e9780,react,REJECTED_AT_STEP_0,r1,mock_heavy,rejected,3.53,500,,,0.0,0.0,False
1775016964.695915,sess-0022-35de7b1d,react,REJECTED_AT_STEP_0,r1,mock_heavy,rejected,3.14,500,,,0.0,0.0,False
1775016964.719876,sess-0023-e2c10230,react,REJECTED_AT_STEP_0,r1,web_fetch,rejected,3.49,500,,,0.0,0.0,False
1775016964.751155,sess-0024-abba53f1,react,REJECTED_AT_STEP_0,r1,mock_heavy,rejected,3.72,500,,,0.0,0.0,False
1775016963.706077,sess-0003-999f12f9,react,CASCADE_FAILED,r1,mock_heavy,success,808.99,500,0,,6.0,0.0,False
1775016964.515160,sess-0003-999f12f9,react,CASCADE_FAILED,r2,web_fetch,success,241.57,500,105,,6.0,0.0,False
1775016964.756893,sess-0003-999f12f9,react,CASCADE_FAILED,r3,mock_heavy,rejected,2.17,500,,,6.0,0.0,False
1775016963.793464,sess-0006-951ddbd6,react,CASCADE_FAILED,r1,web_fetch,success,160.87,500,0,,6.0,0.0,False
1775016963.954453,sess-0006-951ddbd6,react,CASCADE_FAILED,r2,mock_heavy,success,809.58,500,0,,6.0,0.0,False
1775016964.764144,sess-0006-951ddbd6,react,CASCADE_FAILED,r3,mock_heavy,rejected,1.72,500,,,6.0,0.0,False
1775016964.792058,sess-0025-610c96a9,react,REJECTED_AT_STEP_0,r1,mock_heavy,rejected,2.29,500,,,0.0,0.0,False
1775016964.077603,sess-0010-badc8dba,react,SUCCESS,r1,calculate,success,15.32,500,15,,8.0,8.0,False
