session_id,mode,state,n_steps,budget,raw_goodput,effective_goodput,total_latency_ms,start_time,end_time
sess-0000-bf71c367,react,SUCCESS,1,500,1.0,1.0,7.70,1775017774.526376,1775017774.534143
sess-0005-6f50a39f,react,SUCCESS,1,500,1.0,1.0,9.11,1775017774.924778,1775017774.934086
sess-0001-a08e9f7b,plan_and_solve,SUCCESS,3,500,7.0,7.0,817.45,1775017774.558592,1775017775.376581
sess-0015-ec459fda,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,3.26,1775017775.610779,1775017775.614202
sess-0016-b8ec223c,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,2.61,1775017775.625567,1775017775.628333
sess-0003-b91a1ef3,react,CASCADE_FAILED,3,500,5.0,0.0,813.49,1775017774.848573,1775017775.662376
sess-0013-a1d2e6fc,react,CASCADE_FAILED,7,500,1.0,0.0,85.77,1775017775.578361,1775017775.664348
sess-0004-159e331f,react,CASCADE_FAILED,5,500,5.0,0.0,812.51,1775017774.912074,1775017775.724847
sess-0007-dbce093a,react,SUCCESS,2,500,6.0,6.0,814.96,1775017774.940991,1775017775.756198
sess-0020-6349ea05,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,2.62,1775017775.764745,1775017775.767578
sess-0017-56e5cc63,react,CASCADE_FAILED,6,500,1.0,0.0,168.13,1775017775.650849,1775017775.819298
sess-0019-382d680a,react,CASCADE_FAILED,7,500,1.0,0.0,79.39,1775017775.740639,1775017775.820331
sess-0023-aa63b508,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,3.16,1775017775.863882,1775017775.867304
sess-0006-a7d0b3e7,react,CASCADE_FAILED,4,500,6.0,0.0,970.51,1775017774.936804,1775017775.907805
sess-0022-ce71ef0b,react,CASCADE_FAILED,5,500,1.0,0.0,161.67,1775017775.839516,1775017776.001409
sess-0011-731f514e,react,CASCADE_FAILED,3,500,5.0,0.0,812.95,1775017775.223883,1775017776.037047
sess-0027-06a1ac6c,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,3.06,1775017776.056937,1775017776.060342
sess-0021-210c314a,react,SUCCESS,7,500,7.0,7.0,231.18,1775017775.828814,1775017776.061070
sess-0030-69ce6865,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,3.57,1775017776.170649,1775017776.174435
sess-0028-d5f02420,react,SUCCESS,2,500,2.0,2.0,196.07,1775017776.105759,1775017776.302097
sess-0025-1492aa1a,react,SUCCESS,2,500,2.0,2.0,408.20,1775017775.938552,1775017776.346967
sess-0009-6140030b,react,SUCCESS,6,500,10.0,10.0,1735.67,1775017775.138206,1775017776.874515
sess-0014-7f49a105,react,SUCCESS,5,500,9.0,9.0,1409.65,1775017775.595423,1775017777.005867
sess-0042-918da29d,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,2.30,1775017777.005980,1775017777.008430
sess-0043-7be0abb7,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,2.07,1775017777.008457,1775017777.010612
sess-0035-ced044d1,react,SUCCESS,3,500,3.0,3.0,351.74,1775017776.679090,1775017777.031058
sess-0032-4c3c688d,react,CASCADE_FAILED,3,500,5.0,0.0,864.10,1775017776.247205,1775017777.111433
sess-0033-f0ea8d62,react,CASCADE_FAILED,5,500,5.0,0.0,903.83,1775017776.252882,1775017777.156902
sess-0041-43287ce9,react,CASCADE_FAILED,3,500,1.0,0.0,326.33,1775017776.952117,1775017777.278582
sess-0047-3bc6d7ca,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,2.33,1775017777.282832,1775017777.285273
sess-0048-cb9cc7f4,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,2.83,1775017777.332880,1775017777.335899
sess-0010-1d162525,react,SUCCESS,7,500,11.0,11.0,2117.40,1775017775.221226,1775017777.339385
sess-0050-4b8f9f59,react,SUCCESS,1,500,1.0,1.0,458.35,1775017777.402506,1775017777.860991
sess-0002-e5aff879,plan_and_solve,SUCCESS,7,500,19.0,19.0,3243.06,1775017774.760338,1775017778.004343
sess-0046-9925d483,react,SUCCESS,2,500,2.0,2.0,788.84,1775017777.256935,1775017778.046156
sess-0036-20fcaecf,react,SUCCESS,4,500,4.0,4.0,1280.20,1775017776.790783,1775017778.071417
sess-0024-616e3c77,react,SUCCESS,7,500,15.0,15.0,2196.64,1775017775.896904,1775017778.094286
sess-0039-02687c83,plan_and_solve,SUCCESS,4,500,4.0,4.0,1203.13,1775017776.901891,1775017778.105512
sess-0049-814d5c2b,react,SUCCESS,3,500,3.0,3.0,795.94,1775017777.387000,1775017778.183663
sess-0044-f24d1078,react,SUCCESS,3,500,3.0,3.0,1154.81,1775017777.163115,1775017778.318389
sess-0037-660a858f,plan_and_solve,SUCCESS,4,500,8.0,8.0,1513.98,1775017776.816193,1775017778.330933
sess-0034-a0e5b125,react,SUCCESS,6,500,6.0,6.0,1906.58,1775017776.452044,1775017778.359478
sess-0018-f4b0e9d3,react,SUCCESS,6,500,14.0,14.0,2664.75,1775017775.701779,1775017778.367229
sess-0040-0cf34b14,react,SUCCESS,6,500,6.0,6.0,1949.92,1775017776.942096,1775017778.892724
sess-0029-aa46ff54,react,SUCCESS,6,500,14.0,14.0,3721.00,1775017776.166375,1775017779.888090
sess-0012-cac0cf7d,react,SUCCESS,7,500,19.0,19.0,4447.87,1775017775.458255,1775017779.907110
sess-0008-a20e3b8e,plan_and_solve,SUCCESS,7,500,23.0,23.0,4858.87,1775017775.076209,1775017779.936109
sess-0031-1dbe9e4c,react,SUCCESS,7,500,11.0,11.0,4775.78,1775017776.233731,1775017781.010449
sess-0053-fbf0dfba,react,SUCCESS,3,500,7.0,7.0,3690.82,1775017778.004469,1775017781.695694
sess-0057-86d0a60c,plan_and_solve,SUCCESS,4,500,4.0,4.0,3447.70,1775017778.316318,1775017781.764718
sess-0026-bbf473b6,react,SUCCESS,7,500,19.0,19.0,5815.83,1775017776.041619,1775017781.858362
sess-0062-4fdee522,react,SUCCESS,4,500,8.0,8.0,3579.70,1775017778.418168,1775017781.998438
sess-0038-0b777c0f,react,SUCCESS,6,500,14.0,14.0,5176.31,1775017776.823891,1775017782.000887
sess-0051-8ffcaf98,react,SUCCESS,4,500,12.0,12.0,4374.66,1775017777.636353,1775017782.011561
sess-0054-7b9db709,react,SUCCESS,5,500,9.0,9.0,4504.79,1775017778.077045,1775017782.582665
sess-0056-de9c7d42,react,SUCCESS,5,500,9.0,9.0,4288.39,1775017778.309633,1775017782.598746
sess-0070-ffbe135a,react,SUCCESS,2,500,2.0,2.0,846.88,1775017781.858444,1775017782.705669
sess-0045-1883e507,react,SUCCESS,5,500,17.0,17.0,5545.33,1775017777.183295,1775017782.729257
sess-0063-de146e2b,react,SUCCESS,3,500,11.0,11.0,3939.50,1775017778.892812,1775017782.832629
sess-0072-3e05fad0,react,SUCCESS,2,500,2.0,2.0,920.83,1775017782.000964,1775017782.922137
sess-0052-06d8e15d,react,SUCCESS,5,500,13.0,13.0,5076.31,1775017777.861083,1775017782.937978
sess-0055-a0844f73,plan_and_solve,SUCCESS,6,500,10.0,10.0,4856.97,1775017778.138991,1775017782.997315
sess-0073-88992244,react,SUCCESS,4,500,4.0,4.0,1487.94,1775017782.011639,1775017783.500163
sess-0064-50c24017,react,SUCCESS,5,500,13.0,13.0,3623.15,1775017779.888501,1775017783.512700
sess-0068-67b0d1b7,react,SUCCESS,4,500,4.0,4.0,1861.31,1775017781.695779,1775017783.557640
sess-0067-3ff3339b,react,SUCCESS,6,500,6.0,6.0,2648.07,1775017781.010529,1775017783.659335
sess-0058-af6c0d54,react,SUCCESS,4,500,16.0,16.0,5484.21,1775017778.331218,1775017783.815874
sess-0066-bd0c566c,react,SUCCESS,6,500,10.0,10.0,4244.24,1775017779.936202,1775017784.181362
sess-0065-dd6342a8,react,SUCCESS,5,500,13.0,13.0,4635.50,1775017779.907198,1775017784.543282
sess-0059-b52179d3,plan_and_solve,SUCCESS,7,500,19.0,19.0,6228.59,1775017778.334606,1775017784.564342
sess-0061-82819736,react,SUCCESS,6,500,18.0,18.0,6400.92,1775017778.395694,1775017784.797457
sess-0069-f01a3048,plan_and_solve,SUCCESS,6,500,10.0,10.0,3171.29,1775017781.764797,1775017784.936849
sess-0060-947d9ef1,react,SUCCESS,7,500,19.0,19.0,6591.22,1775017778.361720,1775017784.953859
sess-0085-cb8a0415,react,SUCCESS,2,500,6.0,6.0,1625.81,1775017783.659422,1775017785.285573
sess-0079-33e93fcc,react,SUCCESS,5,500,9.0,9.0,2379.14,1775017782.922231,1775017785.301924
sess-0083-c7d3c342,react,SUCCESS,2,500,6.0,6.0,1799.95,1775017783.512780,1775017785.312939
sess-0086-12362956,react,SUCCESS,3,500,3.0,3.0,1587.31,1775017783.815951,1775017785.403605
sess-0081-201112bf,react,SUCCESS,4,500,8.0,8.0,2450.37,1775017782.997404,1775017785.448319
sess-0074-9821e92b,react,SUCCESS,7,500,7.0,7.0,2987.10,1775017782.582758,1775017785.570760
sess-0087-b3ce9225,react,SUCCESS,4,500,4.0,4.0,1448.33,1775017784.181445,1775017785.630546
sess-0077-2f78debc,react,SUCCESS,7,500,7.0,7.0,2914.30,1775017782.729342,1775017785.644514
sess-0090-e2690291,react,SUCCESS,3,500,3.0,3.0,910.77,1775017784.797542,1775017785.708742
sess-0080-f62c669d,plan_and_solve,SUCCESS,5,500,9.0,9.0,2771.87,1775017782.938059,1775017785.710788
sess-0097-25adad15,react,SUCCESS,1,500,5.0,5.0,972.96,1775017785.448468,1775017786.421587
sess-0095-31f7da94,react,SUCCESS,2,500,6.0,6.0,1213.01,1775017785.313015,1775017786.526269
sess-0078-fa71ede6,react,SUCCESS,6,500,14.0,14.0,3708.62,1775017782.832712,1775017786.542061
sess-0100-f777ab84,react,SUCCESS,2,500,2.0,2.0,1006.63,1775017785.644552,1775017786.651449
sess-0071-3d47f033,plan_and_solve,SUCCESS,7,500,19.0,19.0,4711.15,1775017781.998520,1775017786.710753
sess-0084-0968ec34,react,SUCCESS,6,500,10.0,10.0,3254.15,1775017783.557727,1775017786.812567
sess-0075-d50df75d,react,SUCCESS,6,500,18.0,18.0,4509.21,1775017782.599363,1775017787.109511
sess-0102-b1e85771,plan_and_solve,SUCCESS,3,500,3.0,3.0,1449.80,1775017785.710926,1775017787.161099
sess-0076-595f72aa,plan_and_solve,SUCCESS,7,500,19.0,19.0,4574.29,1775017782.705749,1775017787.281168
sess-0096-60feea4d,plan_and_solve,SUCCESS,6,500,6.0,6.0,2220.31,1775017785.403692,1775017787.624887
sess-0098-26073d3e,react,SUCCESS,4,500,8.0,8.0,2258.31,1775017785.570912,1775017787.829796
sess-0101-eb0a575e,react,SUCCESS,3,500,7.0,7.0,2269.72,1775017785.708838,1775017787.979097
sess-0093-c9fa7b0a,plan_and_solve,SUCCESS,4,500,8.0,8.0,2725.28,1775017785.285665,1775017788.011523
sess-0089-e19c1cfb,react,SUCCESS,6,500,14.0,14.0,3447.97,1775017784.564429,1775017788.013281
sess-0103-cc7fdf77,react,SUCCESS,4,500,4.0,4.0,1605.80,1775017786.421682,1775017788.028256
sess-0107-f47f6f2d,react,SUCCESS,4,500,4.0,4.0,1371.25,1775017786.710895,1775017788.082776
sess-0094-0abdc246,react,SUCCESS,5,500,13.0,13.0,2860.71,1775017785.302012,1775017788.163438
sess-0082-e9315a9d,react,SUCCESS,5,500,17.0,17.0,4694.12,1775017783.500257,1775017788.195162
sess-0088-7d01b38c,plan_and_solve,SUCCESS,6,500,14.0,14.0,3652.77,1775017784.543367,1775017788.196958
sess-0099-ada2a414,plan_and_solve,SUCCESS,5,500,9.0,9.0,2646.73,1775017785.630612,1775017788.278240
sess-0115-d17d88c7,react,SUCCESS,1,500,1.0,1.0,350.09,1775017788.011575,1775017788.361797
sess-0091-9210999a,react,SUCCESS,5,500,17.0,17.0,3976.79,1775017784.936937,1775017788.914424
sess-0092-40f39b70,react,SUCCESS,6,500,18.0,18.0,4150.56,1775017784.953948,1775017789.105239
sess-0117-d06cf09c,react,SUCCESS,4,500,4.0,4.0,1193.32,1775017788.028339,1775017789.222416
sess-0120-c750ea7b,plan_and_solve,SUCCESS,3,500,3.0,3.0,1043.47,1775017788.195275,1775017789.239354
sess-0116-0c7e1ead,plan_and_solve,SUCCESS,5,500,5.0,5.0,1452.29,1775017788.013454,1775017789.466587
sess-0110-cc48b99c,react,SUCCESS,4,500,8.0,8.0,2388.63,1775017787.161256,1775017789.550570
sess-0127-0478127e,react,SUCCESS,1,500,1.0,1.0,327.10,1775017789.239461,1775017789.566747
