session_id,mode,state,n_steps,budget,raw_goodput,effective_goodput,total_latency_ms,start_time,end_time
sess-0000-79d3f6fd,react,SUCCESS,1,500,1.0,1.0,6.64,1775018231.193366,1775018231.200066
sess-0005-00a27793,react,SUCCESS,1,500,1.0,1.0,5.80,1775018231.591557,1775018231.597507
sess-0009-66580dff,react,SUCCESS,1,500,1.0,1.0,8.28,1775018231.806214,1775018231.814664
sess-0001-b9ce49d4,plan_and_solve,SUCCESS,3,500,7.0,7.0,815.71,1775018231.225457,1775018232.041490
sess-0011-d0eaa767,react,SUCCESS,1,500,1.0,1.0,158.07,1775018231.892117,1775018232.050434
sess-0010-8e0deff4,plan_and_solve,SUCCESS,4,500,4.0,4.0,510.86,1775018231.889213,1775018232.400780
sess-0017-06ee1003,plan_and_solve,SUCCESS,3,500,3.0,3.0,627.24,1775018232.318000,1775018232.945718
sess-0016-80a8dc4e,plan_and_solve,SUCCESS,3,500,7.0,7.0,1028.64,1775018232.292609,1775018233.321720
sess-0003-25d10f38,react,SUCCESS,3,500,11.0,11.0,2434.77,1775018231.516208,1775018233.951437
sess-0023-3730b999,react,SUCCESS,2,500,6.0,6.0,1967.96,1775018232.528689,1775018234.496928
sess-0012-57314900,react,SUCCESS,3,500,11.0,11.0,2585.71,1775018232.127102,1775018234.713315
sess-0027-127036cb,react,SUCCESS,2,500,2.0,2.0,1569.43,1775018233.321776,1775018234.891572
sess-0006-9a3ccdbd,plan_and_solve,SUCCESS,6,500,14.0,14.0,3367.82,1775018231.603733,1775018234.972358
sess-0025-b991c0e5,react,SUCCESS,3,500,7.0,7.0,2386.85,1775018232.601607,1775018234.988924
sess-0015-3f6f6040,react,SUCCESS,5,500,9.0,9.0,2868.08,1775018232.278029,1775018235.146858
sess-0030-8bc8dd08,react,SUCCESS,2,500,2.0,2.0,784.96,1775018234.713396,1775018235.498615
sess-0008-6459823e,plan_and_solve,SUCCESS,6,500,14.0,14.0,3768.02,1775018231.743813,1775018235.513213
sess-0018-6844a2b0,react,SUCCESS,6,500,14.0,14.0,3208.08,1775018232.368073,1775018235.576975
sess-0004-b267f51f,react,SUCCESS,5,500,17.0,17.0,4180.45,1775018231.579007,1775018235.760217
sess-0002-200cd274,plan_and_solve,SUCCESS,7,500,19.0,19.0,4415.48,1775018231.427639,1775018235.844413
sess-0019-f89211dd,react,SUCCESS,6,500,14.0,14.0,3544.56,1775018232.406409,1775018235.951827
sess-0029-12f07872,plan_and_solve,SUCCESS,4,500,4.0,4.0,1499.88,1775018234.497024,1775018235.997592
sess-0007-3004a5a7,plan_and_solve,SUCCESS,6,500,18.0,18.0,4418.96,1775018231.608591,1775018236.028476
sess-0041-8431c4a3,react,SUCCESS,1,500,1.0,1.0,174.23,1775018235.997651,1775018236.171998
sess-0032-a35b5f70,plan_and_solve,SUCCESS,3,500,7.0,7.0,1648.41,1775018234.972443,1775018236.621414
sess-0024-c3f9d26a,plan_and_solve,SUCCESS,5,500,13.0,13.0,4077.46,1775018232.559564,1775018236.638393
sess-0022-2e736c32,plan_and_solve,SUCCESS,7,500,15.0,15.0,4206.48,1775018232.504828,1775018236.712366
sess-0033-0f20541a,plan_and_solve,CASCADE_FAILED,4,500,7.0,0.0,1817.65,1775018234.989081,1775018236.807399
sess-0047-ce9cd90f,react,REJECTED_AT_STEP_0,5,500,0.0,0.0,1.69,1775018236.807491,1775018236.809294
sess-0048-7857cf62,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1.73,1775018236.809369,1775018236.811294
sess-0049-f250fea5,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,1.75,1775018236.811364,1775018236.813440
sess-0050-8ce35321,react,REJECTED_AT_STEP_0,2,500,0.0,0.0,1.65,1775018236.813519,1775018236.815263
sess-0051-db958960,react,REJECTED_AT_STEP_0,6,500,0.0,0.0,1.48,1775018236.815322,1775018236.816895
sess-0052-4a24c68a,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1.49,1775018236.817017,1775018236.818763
sess-0053-3e87252b,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1.48,1775018236.818824,1775018236.820539
sess-0054-002a38c5,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,1.53,1775018236.820606,1775018236.822510
sess-0055-47b58768,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1.84,1775018236.822580,1775018236.824615
sess-0056-a9e8afec,react,REJECTED_AT_STEP_0,6,500,0.0,0.0,1.73,1775018236.824692,1775018236.826500
