session_id,mode,state,n_steps,budget,raw_goodput,effective_goodput,total_latency_ms,start_time,end_time
sess-0000-045a8894,react,SUCCESS,1,500,1.0,1.0,5.34,1775016798.645045,1775016798.650463
sess-0002-1746510f,react,SUCCESS,1,500,1.0,1.0,9.03,1775016798.880225,1775016798.889404
sess-0005-07bd1525,react,SUCCESS,1,500,1.0,1.0,3.78,1775016799.043017,1775016799.046872
sess-0011-e8e91513,react,SUCCESS,4,500,4.0,4.0,317.60,1775016799.343615,1775016799.661479
sess-0013-4085ba7f,react,SUCCESS,1,500,1.0,1.0,155.11,1775016799.698795,1775016799.853983
sess-0017-8388899f,react,SUCCESS,1,500,1.0,1.0,95.60,1775016799.768981,1775016799.864717
sess-0007-3652b5a2,react,SUCCESS,2,500,6.0,6.0,808.32,1775016799.060039,1775016799.868489
sess-0019-78943ff6,react,SUCCESS,1,500,1.0,1.0,154.49,1775016799.858186,1775016800.012755
sess-0010-b5e7be15,react,SUCCESS,4,500,8.0,8.0,833.19,1775016799.341717,1775016800.175525
sess-0018-97cbbd2b,react,SUCCESS,1,500,5.0,5.0,855.61,1775016799.819550,1775016800.675262
sess-0003-6cbb1552,react,SUCCESS,3,500,11.0,11.0,2167.32,1775016798.968821,1775016801.136487
sess-0021-5b15e373,react,SUCCESS,2,500,6.0,6.0,1691.99,1775016799.946411,1775016801.638570
sess-0014-0797f9d2,react,SUCCESS,5,500,9.0,9.0,1940.69,1775016799.715665,1775016801.656819
sess-0020-3f0ca92e,react,SUCCESS,3,500,7.0,7.0,1804.16,1775016799.883034,1775016801.687397
sess-0009-2fd132d2,react,SUCCESS,4,500,12.0,12.0,2839.80,1775016799.257520,1775016802.097949
sess-0006-d0da1ed5,react,CASCADE_FAILED,4,500,11.0,0.0,3046.18,1775016799.055185,1775016802.101595
sess-0008-5c08d3b1,react,SUCCESS,6,500,14.0,14.0,3091.46,1775016799.195766,1775016802.287699
sess-0030-ee564bd3,react,SUCCESS,2,500,6.0,6.0,1567.60,1775016801.136715,1775016802.704507
sess-0012-ac6a6454,react,SUCCESS,5,500,13.0,13.0,3235.13,1775016799.577722,1775016802.813272
sess-0016-2bd8f2f9,react,SUCCESS,5,500,9.0,9.0,3170.99,1775016799.743488,1775016802.914968
sess-0029-6289336d,react,SUCCESS,4,500,4.0,4.0,2255.57,1775016800.675303,1775016802.931221
sess-0037-26c2d7f8,react,SUCCESS,1,500,1.0,1.0,275.18,1775016802.704591,1775016802.979855
sess-0004-96df7988,react,SUCCESS,7,500,15.0,15.0,3960.49,1775016799.030589,1775016802.991680
sess-0027-18627619,react,SUCCESS,3,500,11.0,11.0,2821.73,1775016800.173765,1775016802.995909
sess-0032-1c963619,react,SUCCESS,1,500,5.0,5.0,1446.10,1775016801.656862,1775016803.103031
sess-0028-35601a7b,react,SUCCESS,5,500,9.0,9.0,2950.42,1775016800.223499,1775016803.174323
sess-0001-42091d05,react,SUCCESS,6,500,22.0,22.0,4627.88,1775016798.677840,1775016803.306148
sess-0026-aaba6102,react,SUCCESS,6,500,10.0,10.0,3329.97,1775016800.157761,1775016803.488276
sess-0035-58044b12,react,SUCCESS,5,500,5.0,5.0,1565.77,1775016802.101638,1775016803.667862
sess-0034-17ec532b,react,SUCCESS,6,500,6.0,6.0,1643.87,1775016802.097994,1775016803.742547
sess-0033-58fda802,react,SUCCESS,3,500,7.0,7.0,2087.52,1775016801.687436,1775016803.775183
sess-0046-3864eb7f,react,SUCCESS,2,500,2.0,2.0,535.70,1775016803.306199,1775016803.842148
sess-0041-6bfa6e4c,react,SUCCESS,3,500,3.0,3.0,878.24,1775016802.979892,1775016803.858437
sess-0025-5c18a4e4,react,SUCCESS,5,500,17.0,17.0,3961.23,1775016800.054672,1775016804.016330
sess-0036-0bc5aa15,react,SUCCESS,3,500,7.0,7.0,1736.19,1775016802.287798,1775016804.024362
sess-0050-ecba13c2,react,SUCCESS,1,500,1.0,1.0,250.60,1775016803.775255,1775016804.025970
sess-0042-22aa74d1,react,SUCCESS,4,500,4.0,4.0,1042.33,1775016802.991786,1775016804.034487
sess-0022-de74547d,react,SUCCESS,6,500,18.0,18.0,4080.09,1775016799.957231,1775016804.037832
sess-0023-d6bbb48e,react,SUCCESS,7,500,15.0,15.0,4225.31,1775016799.980616,1775016804.206619
sess-0024-6876c8f8,react,SUCCESS,4,500,20.0,20.0,4320.88,1775016800.012008,1775016804.333275
sess-0015-ac1e01fc,react,SUCCESS,7,500,23.0,23.0,4894.71,1775016799.729640,1775016804.624981
