session_id,mode,state,n_steps,budget,raw_goodput,effective_goodput,total_latency_ms,start_time,end_time
sess-0000-df93a057,plan_and_solve,SUCCESS,3,500,7.0,7.0,845.21,1774786230.682015,1774786231.527535
sess-0003-d679b4e2,plan_and_solve,SUCCESS,3,500,7.0,7.0,972.34,1774786231.005265,1774786231.978026
sess-0014-63789acb,plan_and_solve,SUCCESS,3,500,3.0,3.0,849.27,1774786231.754764,1774786232.604600
sess-0010-84d2be3f,plan_and_solve,SUCCESS,5,500,9.0,9.0,1497.47,1774786231.380309,1774786232.878605
sess-0001-6ff3e442,plan_and_solve,SUCCESS,3,500,11.0,11.0,2194.91,1774786230.714298,1774786232.909694
sess-0008-7ea029cd,plan_and_solve,SUCCESS,3,500,7.0,7.0,1901.98,1774786231.234384,1774786233.136848
sess-0004-3c226acc,plan_and_solve,SUCCESS,7,500,11.0,11.0,2606.05,1774786231.067440,1774786233.674594
sess-0009-0843d77d,plan_and_solve,SUCCESS,6,500,14.0,14.0,2429.09,1774786231.297016,1774786233.727022
sess-0005-cf4f2ad6,plan_and_solve,SUCCESS,5,500,13.0,13.0,3113.91,1774786231.080523,1774786234.195370
sess-0012-358ee2b9,plan_and_solve,SUCCESS,6,500,10.0,10.0,2834.01,1774786231.617016,1774786234.451864
sess-0007-224638ed,plan_and_solve,SUCCESS,6,500,14.0,14.0,3431.15,1774786231.098576,1774786234.530640
sess-0025-b5fd77a6,plan_and_solve,SUCCESS,4,500,4.0,4.0,1404.64,1774786233.136901,1774786234.542107
sess-0013-40f82c04,plan_and_solve,SUCCESS,4,500,12.0,12.0,2806.02,1774786231.737585,1774786234.544522
sess-0016-054ac057,plan_and_solve,SUCCESS,5,500,9.0,9.0,2776.18,1774786231.783396,1774786234.560636
sess-0020-c6237ff9,plan_and_solve,SUCCESS,4,500,12.0,12.0,2677.74,1774786231.921524,1774786234.599814
sess-0015-c14635a5,plan_and_solve,SUCCESS,7,500,11.0,11.0,3001.72,1774786231.769453,1774786234.772273
sess-0011-5eedf328,plan_and_solve,SUCCESS,7,500,15.0,15.0,3680.98,1774786231.383214,1774786235.065107
sess-0019-6a9095b0,plan_and_solve,SUCCESS,7,500,15.0,15.0,3857.67,1774786231.897386,1774786235.756087
sess-0006-2eb72625,plan_and_solve,SUCCESS,7,500,23.0,23.0,4800.37,1774786231.093625,1774786235.895101
sess-0031-79996854,plan_and_solve,SUCCESS,5,500,5.0,5.0,1368.54,1774786234.542197,1774786235.911991
sess-0032-6e3ee4ca,plan_and_solve,SUCCESS,4,500,4.0,4.0,1368.32,1774786234.544610,1774786235.913579
sess-0024-c193683c,plan_and_solve,SUCCESS,5,500,13.0,13.0,3151.93,1774786232.909817,1774786236.062600
sess-0002-0a8449c2,plan_and_solve,SUCCESS,7,500,23.0,23.0,5211.47,1774786230.916239,1774786236.128714
sess-0021-8a56e231,plan_and_solve,SUCCESS,7,500,15.0,15.0,4179.61,1774786231.985531,1774786236.166010
sess-0018-a87c438c,plan_and_solve,SUCCESS,7,500,19.0,19.0,4504.43,1774786231.858674,1774786236.364429
sess-0023-bf8220fa,plan_and_solve,SUCCESS,5,500,13.0,13.0,3545.30,1774786232.878703,1774786236.424765
sess-0017-0d61094b,plan_and_solve,SUCCESS,7,500,19.0,19.0,4782.81,1774786231.807983,1774786236.591889
sess-0028-95f3e2ae,plan_and_solve,SUCCESS,4,500,8.0,8.0,2398.17,1774786234.195466,1774786236.594291
sess-0026-ef9f8f60,plan_and_solve,SUCCESS,7,500,11.0,11.0,2930.61,1774786233.674741,1774786236.606449
