gateway,run_idx,sweep_key,sweep_val,success,rejected_s0,cascade_failed,raw_goodput,effective_goodput,raw_goodput_s,effective_goodput_s,p50_ms,p95_ms,p99_ms,e2e_p50_ms,e2e_p95_ms,e2e_p99_ms,csv,error
plangate_full,1,,,102,398,0,756.0,756.0,60.06,60.06,5.9,809.8,882.1,827.0,2158.7,3583.8,plangate_full_run1.csv,
plangate_full,2,,,106,394,0,827.0,827.0,65.09,65.09,6.6,815.0,1243.1,1119.4,3353.4,3841.1,plangate_full_run2.csv,
plangate_full,3,,,101,399,0,761.0,761.0,54.5,54.5,6.3,809.2,879.3,851.4,2160.9,3586.4,plangate_full_run3.csv,
plangate_full,4,,,97,403,0,734.0,734.0,58.88,58.88,5.1,809.4,1120.9,976.6,2907.7,4052.0,plangate_full_run4.csv,
plangate_full,5,,,99,401,0,756.0,756.0,57.45,57.45,5.5,808.5,819.7,889.1,2252.5,3650.6,plangate_full_run5.csv,
wo_budgetlock,1,,,20,470,10,173.0,126.0,16.4,11.94,3.2,158.6,810.2,827.7,1442.3,1442.3,wo_budgetlock_run1.csv,
wo_budgetlock,2,,,20,470,10,172.0,125.0,16.24,11.8,3.3,158.4,810.8,818.0,1288.3,1288.3,wo_budgetlock_run2.csv,
wo_budgetlock,3,,,20,470,10,173.0,126.0,16.38,11.93,3.2,158.9,809.0,824.7,1440.3,1440.3,wo_budgetlock_run3.csv,
wo_budgetlock,4,,,20,470,10,172.0,125.0,16.24,11.8,3.3,159.4,810.3,826.8,1282.3,1282.3,wo_budgetlock_run4.csv,
wo_budgetlock,5,,,20,470,10,173.0,126.0,16.38,11.93,3.2,158.4,809.2,823.6,1438.2,1438.2,wo_budgetlock_run5.csv,
wo_sessioncap,1,,,98,401,1,805.0,803.0,62.35,62.2,6.6,828.4,1313.3,1282.9,3684.5,4091.0,wo_sessioncap_run1.csv,
wo_sessioncap,2,,,107,393,0,725.0,725.0,64.72,64.72,4.1,806.7,820.8,809.3,1791.6,3571.2,wo_sessioncap_run2.csv,
wo_sessioncap,3,,,104,396,0,884.0,884.0,60.67,60.67,7.1,945.2,1460.4,1280.5,3925.4,4723.8,wo_sessioncap_run3.csv,
wo_sessioncap,4,,,110,390,0,850.0,850.0,63.25,63.25,6.6,813.0,1095.6,1063.4,3442.0,3658.0,wo_sessioncap_run4.csv,
wo_sessioncap,5,,,103,397,0,728.0,728.0,60.8,60.8,6.5,808.8,872.6,826.6,1844.3,3589.7,wo_sessioncap_run5.csv,
rajomon,1,,,1,433,66,196.0,7.0,18.3,0.65,2.4,1394.4,2080.5,978.5,978.5,978.5,rajomon_run1.csv,
rajomon,2,,,2,436,62,182.0,14.0,17.04,1.31,2.5,1389.8,2001.3,1903.2,1903.2,1903.2,rajomon_run2.csv,
rajomon,3,,,3,434,63,188.0,17.0,17.53,1.59,2.6,1400.1,2001.7,1901.7,3311.6,3311.6,rajomon_run3.csv,
rajomon,4,,,2,428,70,191.0,14.0,18.01,1.32,2.5,1450.2,2000.9,1901.1,1901.1,1901.1,rajomon_run4.csv,
rajomon,5,,,3,435,62,195.0,17.0,18.17,1.58,2.6,1434.8,2001.7,978.3,1957.6,1957.6,rajomon_run5.csv,
