timestamp,status,latency_ms,budget,tool_name
1773924232.712123,success,177.95,100,web_fetch
1773924232.714750,success,9.94,100,calculate
1773924232.760851,success,179.46,100,web_fetch
1773924232.791651,success,913.37,100,mock_heavy
1773924232.793446,success,334.01,100,web_fetch
1773924232.794437,success,178.22,100,calculate
1773924232.796830,success,331.69,100,calculate
1773924232.838076,success,1137.84,100,mock_heavy
1773924232.839101,success,1308.85,100,mock_heavy
1773924232.842302,success,1396.28,100,mock_heavy
1773924232.843810,error,5.00,100,web_fetch
1773924232.887431,rejected,2.64,100,mock_heavy
1773924232.888690,error,5.74,100,calculate
1773924232.890966,success,892.72,100,calculate
1773924232.938597,rejected,1.72,100,mock_heavy
1773924232.939762,rejected,2.87,100,mock_heavy
1773924232.941493,rejected,1.23,100,mock_heavy
1773924232.970545,success,1072.31,100,web_fetch
1773924232.972114,error,2.66,100,calculate
1773924232.973528,rejected,1.25,100,mock_heavy
1773924233.015774,error,2.47,100,calculate
1773924233.045414,rejected,3.50,100,mock_heavy
1773924233.047107,success,1192.60,100,web_fetch
1773924233.048370,error,2.20,100,calculate
1773924233.049828,error,1.24,100,calculate
1773924233.101099,rejected,1.32,100,mock_heavy
1773924233.126083,success,1112.37,100,web_fetch
1773924233.127997,error,2.11,100,calculate
1773924233.156873,error,3.30,100,calculate
1773924233.158540,error,2.04,100,calculate
1773924233.159084,rejected,2.03,100,mock_heavy
1773924233.203692,error,2.32,100,calculate
1773924233.204832,rejected,2.25,100,mock_heavy
1773924233.205398,error,1.68,100,web_fetch
1773924233.281313,success,1070.21,100,web_fetch
1773924233.282503,rejected,1.19,100,mock_heavy
1773924233.348252,error,2.80,100,web_fetch
1773924233.380767,error,2.29,100,web_fetch
1773924233.420568,rejected,1.76,100,mock_heavy
1773924233.461396,error,2.16,100,web_fetch
1773924233.515158,success,876.70,100,web_fetch
1773924233.516183,rejected,3.48,100,mock_heavy
1773924233.516183,error,6.49,100,web_fetch
1773924233.518589,rejected,4.63,100,mock_heavy
1773924233.520776,error,2.45,100,calculate
1773924233.562023,rejected,1.88,100,mock_heavy
1773924233.611291,error,2.79,100,web_fetch
1773924233.612617,error,2.59,100,calculate
1773924233.613512,rejected,1.70,100,mock_heavy
1773924233.614656,error,2.16,100,web_fetch
1773924233.674114,rejected,1.16,100,mock_heavy
1773924233.705021,error,2.16,100,web_fetch
1773924233.746105,rejected,1.63,100,mock_heavy
1773924233.782307,rejected,1.38,100,mock_heavy
1773924233.801936,rejected,1.29,100,mock_heavy
1773924233.832916,success,561.25,100,web_fetch
1773924233.911021,rejected,2.44,100,mock_heavy
1773924233.912047,success,483.26,100,web_fetch
1773924233.912817,error,1.84,100,web_fetch
1773924233.949686,rejected,2.27,100,mock_heavy
1773924233.950847,error,2.46,100,calculate
1773924233.976473,error,2.26,100,web_fetch
1773924234.042854,success,354.01,100,web_fetch
1773924234.043898,rejected,1.45,100,mock_heavy
1773924234.045343,error,2.15,100,calculate
1773924234.072174,error,2.01,100,calculate
1773924234.117185,success,130.97,100,calculate
1773924234.118234,error,2.07,100,calculate
1773924234.213822,error,2.31,100,calculate
1773924234.276041,success,156.48,100,web_fetch
1773924234.322599,success,156.19,100,web_fetch
1773924234.351519,success,156.81,100,web_fetch
1773924234.384768,success,7.09,100,calculate
1773924234.385767,success,158.49,100,web_fetch
1773924234.432518,success,156.36,100,web_fetch
1773924234.433433,success,157.00,100,web_fetch
1773924234.434355,success,157.76,100,web_fetch
1773924234.462567,success,157.42,100,web_fetch
1773924234.507558,success,156.74,100,web_fetch
1773924234.539828,rejected,2.75,100,mock_heavy
1773924234.541514,rejected,1.09,100,mock_heavy
1773924234.592117,success,155.83,100,web_fetch
1773924234.592818,success,157.62,100,web_fetch
1773924234.618983,success,6.25,100,calculate
1773924234.664297,rejected,1.72,100,mock_heavy
1773924234.712598,rejected,1.81,100,mock_heavy
1773924234.747952,rejected,3.05,100,mock_heavy
1773924234.748496,rejected,3.50,100,mock_heavy
